,date,nopat,freecashflow,roe,ebitdagrowth,ebitdamargin,cashdividendspershare,bookvaluepershare,capex,currentratio,debttoequity,epsgrowth,investedcapitalgrowth,fcffgrowth,finleverage,netincomegrowth,roa,revenuegrowth,basiceps,operatingrevenue,ebitda,totalassets,totalliabilities,debt,netincome,netcashfromoperatingactivities,netcashfrominvestingactivities,netcashfromfinancingactivities,longterminvestments
0,2019-03-30,55547452228.4,43960452228.4,0.491282,0.006515,0.306619,2.92,22.5203,12026000000.0,1.3154,1.0637,0.150434,0.626054,-0.039001,-1.1093,0.072246,0.161156,0.044754,12.03,258490000000.0,79258000000.0,341998000000.0,236138000000.0,112606000000.0,57170000000.0,71856000000.0,20138000000.0,-97236000000.0,145319000000.0
1,2018-12-29,57890268848.8,47805268848.8,0.460543,0.058266,0.310888,2.82,24.6985,13858000000.0,1.3006,0.9732,0.252567,0.448262,0.065912,-1.1353,0.176269,0.152287,0.093805,12.31,261612000000.0,81332000000.0,373719000000.0,255827000000.0,114730000000.0,59431000000.0,75831000000.0,35500000000.0,-94051000000.0,158608000000.0
2,2018-09-29,57893760723.2,54195760723.2,0.493636,0.128761,0.315541,2.72,21.4289,13313000000.0,1.1329,1.0688,0.29316,0.192926,0.256158,-1.1436,0.231226,0.160668,0.15862,12.01,265595000000.0,83806000000.0,365725000000.0,258578000000.0,114519000000.0,59531000000.0,77434000000.0,16066000000.0,-87876000000.0,170799000000.0
3,2018-06-30,54127871134.5,47569871134.5,0.453726,0.116435,0.317431,2.62,23.3323,14137000000.0,1.3073,0.997,0.248869,0.316018,0.043604,-1.1413,0.202975,0.161643,0.14213,11.13,255274000000.0,81032000000.0,349197000000.0,234248000000.0,114600000000.0,56120000000.0,73660000000.0,9125000000.0,-69385000000.0,172773000000.0
4,2018-03-31,51473536793.2,45744536793.2,0.40863,0.094988,0.318268,2.52,25.0327,13147000000.0,1.456,0.9603,0.185143,0.236374,0.000243,-1.1638,0.16593,0.151896,0.122291,10.45,247417000000.0,78745000000.0,367502000000.0,240624000000.0,121840000000.0,53318000000.0,67844000000.0,1998000000.0,-39940000000.0,179286000000.0
5,2017-12-30,48502158308.3,44849158308.3,0.370705,0.074626,0.321328,2.46,27.182,11927000000.0,1.242,0.873,0.141852,0.139689,-0.015359,-1.1785,0.117389,0.136936,0.096544,9.81,239176000000.0,76854000000.0,406794000000.0,266595000000.0,122400000000.0,50525000000.0,65284000000.0,-40914000000.0,-13250000000.0,207944000000.0
6,2017-09-30,46280075270.3,43144075270.3,0.368675,0.032959,0.323887,2.4,25.5245,12451000000.0,1.2761,0.863,0.108303,0.140603,-0.041339,-1.1581,0.05831,0.138739,0.063045,9.27,229234000000.0,74246000000.0,375319000000.0,241272000000.0,115680000000.0,48351000000.0,64225000000.0,-46446000000.0,-17974000000.0,194714000000.0
7,2017-07-01,44874282152.0,45582282152.0,0.360287,-0.03639,0.324737,2.34,25.3033,12563000000.0,1.3883,0.8181,0.006834,-0.035322,0.03417,-1.1575,-0.023976,0.143371,0.014613,8.88,223507000000.0,72581000000.0,345173000000.0,212748000000.0,108339000000.0,46651000000.0,65009000000.0,-43901000000.0,-20774000000.0,184757000000.0
8,2017-04-01,44095431803.8,45733431803.8,0.345734,-0.09977,0.326204,2.38,25.4827,13095000000.0,1.3906,0.7348,-0.047878,-0.072481,-0.11345,-1.177,-0.097636,0.142949,-0.031107,8.75,220457000000.0,71914000000.0,334532000000.0,200450000000.0,98522000000.0,45730000000.0,66971000000.0,-45191000000.0,-28137000000.0,189740000000.0
9,2016-12-31,43906738450.9,45548738450.9,0.346946,-0.151718,0.327882,2.32,24.848,12456000000.0,1.2282,0.6613,-0.11789,-0.066996,-0.226603,-1.1944,-0.158456,0.144828,-0.071791,8.53,218118000000.0,71517000000.0,331141000000.0,198751000000.0,87549000000.0,45217000000.0,66002000000.0,-44649000000.0,-21671000000.0,185638000000.0
10,2016-09-24,44683511829.5,45004511829.5,0.369033,-0.141993,0.333321,2.18,23.3168,12734000000.0,1.3527,0.6786,-0.098698,-0.014602,-0.318463,-1.1789,-0.144342,0.149296,-0.077342,8.35,215639000000.0,71877000000.0,321686000000.0,193437000000.0,87032000000.0,45687000000.0,66231000000.0,-45977000000.0,-20890000000.0,170430000000.0
11,2016-06-25,46785202845.3,44076202845.3,0.379013,-0.046943,0.341925,2.21,23.1219,12375000000.0,1.3116,0.6712,-0.00791,0.119061,-0.267,-1.1697,-0.057946,0.165172,-0.018049,8.78,220288000000.0,75322000000.0,305602000000.0,179061000000.0,84935000000.0,47797000000.0,63173000000.0,-39955000000.0,-20300000000.0,169764000000.0
12,2016-03-26,49648846769.2,51585846769.2,0.390638,0.080901,0.351084,2.16,23.5444,11609000000.0,1.2831,0.6122,0.113939,-0.093747,-0.050186,-1.1667,0.060032,0.178925,0.072449,9.19,227535000000.0,79884000000.0,305277000000.0,174820000000.0,79872000000.0,50678000000.0,67527000000.0,-46888000000.0,-13614000000.0,177645000000.0
13,2015-12-26,52609386077.2,58894386077.2,0.427123,0.229571,0.358776,2.11,22.9289,11642000000.0,1.0017,0.4909,0.270696,-0.344875,0.182114,-1.1698,0.20847,0.193563,0.176116,9.67,234988000000.0,84308000000.0,293284000000.0,165017000000.0,62963000000.0,53731000000.0,75007000000.0,-55559000000.0,-22237000000.0,177665000000.0
14,2015-09-26,52447833138.0,66033833138.0,0.462482,0.363721,0.358437,1.98,20.6031,11247000000.0,1.1088,0.539,0.429457,-1.617959,0.613295,-1.1316,0.351405,0.204503,0.278563,9.28,233715000000.0,83772000000.0,290345000000.0,170990000000.0,64329000000.0,53394000000.0,81266000000.0,-56274000000.0,-17716000000.0,164065000000.0
15,2015-06-27,49888254827.7,60131254827.7,0.411464,0.319091,0.352291,1.99,21.7694,11455000000.0,1.0868,0.433,0.380655,-0.818785,0.361176,-1.143,0.315964,0.20472,0.259301,8.85,224337000000.0,79032000000.0,273151000000.0,147474000000.0,54418000000.0,50737000000.0,81041000000.0,-51902000000.0,-26797000000.0,168145000000.0
16,2015-03-28,47097535542.7,54311535542.7,0.383715,0.260898,0.348339,1.94,22.1095,11790000000.0,1.156,0.3401,0.339286,-0.536437,0.313318,-1.1369,0.267881,0.204665,0.205238,8.25,212164000000.0,73905000000.0,261194000000.0,132188000000.0,43871000000.0,47808000000.0,76308000000.0,-62713000000.0,-18055000000.0,160443000000.0
