date,date,nopat,freecashflow,roe,ebitdagrowth,ebitdamargin,cashdividendspershare,bookvaluepershare,capex,currentratio,debttoequity,epsgrowth,investedcapitalgrowth,fcffgrowth,finleverage,netincomegrowth,roa,revenuegrowth,basiceps,operatingrevenue,ebitda,totalassets,totalliabilities,debt,netincome,netcashfromoperatingactivities,netcashfrominvestingactivities,netcashfromfinancingactivities,longterminvestments
07/08/2019,30/03/2019,55547452228,43960452228,0.491282,0.006515,0.306619,2.92,22.5203,12026000000,1.3154,1.0637,0.150434,0.626054,-0.039001,-1.1093,0.072246,0.161156,0.044754,12.03,2.58E+11,79258000000,3.42E+11,2.36E+11,1.13E+11,57170000000,71856000000,20138000000,-97236000000,1.45E+11
06/08/2019,30/03/2019,55547452228,43960452228,0.491282,0.006515,0.306619,2.92,22.5203,12026000000,1.3154,1.0637,0.150434,0.626054,-0.039001,-1.1093,0.072246,0.161156,0.044754,12.03,2.58E+11,79258000000,3.42E+11,2.36E+11,1.13E+11,57170000000,71856000000,20138000000,-97236000000,1.45E+11
05/08/2019,30/03/2019,55547452228,43960452228,0.491282,0.006515,0.306619,2.92,22.5203,12026000000,1.3154,1.0637,0.150434,0.626054,-0.039001,-1.1093,0.072246,0.161156,0.044754,12.03,2.58E+11,79258000000,3.42E+11,2.36E+11,1.13E+11,57170000000,71856000000,20138000000,-97236000000,1.45E+11
02/08/2019,30/03/2019,55547452228,43960452228,0.491282,0.006515,0.306619,2.92,22.5203,12026000000,1.3154,1.0637,0.150434,0.626054,-0.039001,-1.1093,0.072246,0.161156,0.044754,12.03,2.58E+11,79258000000,3.42E+11,2.36E+11,1.13E+11,57170000000,71856000000,20138000000,-97236000000,1.45E+11
01/08/2019,30/03/2019,55547452228,43960452228,0.491282,0.006515,0.306619,2.92,22.5203,12026000000,1.3154,1.0637,0.150434,0.626054,-0.039001,-1.1093,0.072246,0.161156,0.044754,12.03,2.58E+11,79258000000,3.42E+11,2.36E+11,1.13E+11,57170000000,71856000000,20138000000,-97236000000,1.45E+11
31/07/2019,30/03/2019,55547452228,43960452228,0.491282,0.006515,0.306619,2.92,22.5203,12026000000,1.3154,1.0637,0.150434,0.626054,-0.039001,-1.1093,0.072246,0.161156,0.044754,12.03,2.58E+11,79258000000,3.42E+11,2.36E+11,1.13E+11,57170000000,71856000000,20138000000,-97236000000,1.45E+11
30/07/2019,30/03/2019,55547452228,43960452228,0.491282,0.006515,0.306619,2.92,22.5203,12026000000,1.3154,1.0637,0.150434,0.626054,-0.039001,-1.1093,0.072246,0.161156,0.044754,12.03,2.58E+11,79258000000,3.42E+11,2.36E+11,1.13E+11,57170000000,71856000000,20138000000,-97236000000,1.45E+11
29/07/2019,30/03/2019,55547452228,43960452228,0.491282,0.006515,0.306619,2.92,22.5203,12026000000,1.3154,1.0637,0.150434,0.626054,-0.039001,-1.1093,0.072246,0.161156,0.044754,12.03,2.58E+11,79258000000,3.42E+11,2.36E+11,1.13E+11,57170000000,71856000000,20138000000,-97236000000,1.45E+11
26/07/2019,30/03/2019,55547452228,43960452228,0.491282,0.006515,0.306619,2.92,22.5203,12026000000,1.3154,1.0637,0.150434,0.626054,-0.039001,-1.1093,0.072246,0.161156,0.044754,12.03,2.58E+11,79258000000,3.42E+11,2.36E+11,1.13E+11,57170000000,71856000000,20138000000,-97236000000,1.45E+11
25/07/2019,30/03/2019,55547452228,43960452228,0.491282,0.006515,0.306619,2.92,22.5203,12026000000,1.3154,1.0637,0.150434,0.626054,-0.039001,-1.1093,0.072246,0.161156,0.044754,12.03,2.58E+11,79258000000,3.42E+11,2.36E+11,1.13E+11,57170000000,71856000000,20138000000,-97236000000,1.45E+11
24/07/2019,30/03/2019,55547452228,43960452228,0.491282,0.006515,0.306619,2.92,22.5203,12026000000,1.3154,1.0637,0.150434,0.626054,-0.039001,-1.1093,0.072246,0.161156,0.044754,12.03,2.58E+11,79258000000,3.42E+11,2.36E+11,1.13E+11,57170000000,71856000000,20138000000,-97236000000,1.45E+11
