date,date,marketcap,pricetobook,pricetoearnings,dividendyield,earningsyield,one_yr_monthly_beta
06/08/2019,06/08/2019,9.06E+11,9.3978,16.2756,0.018731,0.061442,1.144517306
05/08/2019,05/08/2019,8.90E+11,9.2232,15.9733,0.019086,0.062605,1.144517306
02/08/2019,02/08/2019,9.39E+11,9.7327,16.8556,0.018086,0.059327,1.144517306
01/08/2019,01/08/2019,9.59E+11,9.943,17.22,0.017704,0.058072,1.144517306
31/07/2019,31/07/2019,9.80E+11,10.163,17.6008,0.017321,0.056816,1.3926
30/07/2019,30/07/2019,9.61E+11,9.9597,17.2489,0.017674,0.057975,1.3855
29/07/2019,29/07/2019,9.65E+11,10.0027,17.3232,0.017598,0.057726,1.3855
26/07/2019,26/07/2019,9.56E+11,9.9101,17.163,0.017763,0.058265,1.3855
25/07/2019,25/07/2019,9.53E+11,9.8758,17.1035,0.017824,0.058468,1.3855
24/07/2019,24/07/2019,9.60E+11,9.9545,17.2398,0.017683,0.058005,1.3855
23/07/2019,23/07/2019,9.61E+11,9.9626,17.2538,0.017669,0.057958,1.3855
22/07/2019,22/07/2019,9.53E+11,9.8853,17.12,0.017807,0.058411,1.3855
19/07/2019,19/07/2019,9.32E+11,9.6644,16.7375,0.018214,0.059746,1.3855
18/07/2019,18/07/2019,9.46E+11,9.8109,16.9911,0.017942,0.058854,1.3855
17/07/2019,17/07/2019,9.36E+11,9.7007,16.8003,0.018146,0.059523,1.3855
16/07/2019,16/07/2019,9.41E+11,9.7556,16.8953,0.018044,0.059188,1.3855
15/07/2019,15/07/2019,9.44E+11,9.7894,16.9539,0.017982,0.058983,1.3855
12/07/2019,12/07/2019,9.35E+11,9.6983,16.7961,0.018151,0.059538,1.3855
11/07/2019,11/07/2019,9.28E+11,9.6244,16.6681,0.01829,0.059995,1.3855
10/07/2019,10/07/2019,9.35E+11,9.695,16.7903,0.018157,0.059558,1.3855
09/07/2019,09/07/2019,9.26E+11,9.6,16.6259,0.018336,0.060147,1.3855
08/07/2019,08/07/2019,9.20E+11,9.5418,16.5251,0.018448,0.060514,1.3855
05/07/2019,05/07/2019,9.40E+11,9.7427,16.873,0.018068,0.059266,1.3855
03/07/2019,03/07/2019,9.41E+11,9.7513,16.8878,0.018052,0.059214,1.3855
02/07/2019,02/07/2019,9.33E+11,9.6711,16.749,0.018202,0.059705,1.3855
01/07/2019,01/07/2019,9.27E+11,9.6148,16.6516,0.018308,0.060054,1.3855
28/06/2019,28/06/2019,9.30E+11,8.7885,16.2734,0.018644,0.06145,1.3855
27/06/2019,27/06/2019,9.39E+11,8.8693,16.4231,0.018474,0.06089,1.3553
26/06/2019,26/06/2019,9.39E+11,8.872,16.428,0.018468,0.060872,1.3553
25/06/2019,25/06/2019,9.19E+11,8.6842,16.0802,0.018868,0.062188,1.3553
24/06/2019,24/06/2019,9.33E+11,8.8178,16.3277,0.018582,0.061246,1.3553
21/06/2019,21/06/2019,9.34E+11,8.8267,16.3441,0.018563,0.061184,1.3553
20/06/2019,20/06/2019,9.38E+11,8.8569,16.4,0.0185,0.060975,1.3553
19/06/2019,19/06/2019,9.30E+11,8.7863,16.2693,0.018649,0.061465,1.3553
18/06/2019,18/06/2019,9.33E+11,8.812,16.317,0.018594,0.061286,1.3553
17/06/2019,17/06/2019,9.11E+11,8.6096,15.9421,0.019031,0.062727,1.3553
14/06/2019,14/06/2019,9.06E+11,8.5585,15.8475,0.019145,0.063101,1.3553
13/06/2019,13/06/2019,9.13E+11,8.6211,15.9634,0.019006,0.062643,1.3553
12/06/2019,12/06/2019,9.13E+11,8.6229,15.9667,0.019002,0.06263,1.3553
11/06/2019,11/06/2019,9.16E+11,8.6504,16.0177,0.018942,0.062431,1.3553
