,date,value
0,2019-07-31,1.3926
1,2019-06-30,1.3855
2,2019-05-31,1.3553
3,2019-04-30,1.2003
4,2019-03-31,1.2472
5,2019-02-28,1.0178
6,2019-01-31,0.8567
7,2018-12-31,0.8803
8,2018-11-30,0.5345
9,2018-10-31,0.814
10,2018-09-30,0.6712
11,2018-08-31,0.4864
12,2018-07-31,0.0645
13,2018-06-30,0.1165
14,2018-05-31,0.1066
15,2018-04-30,-0.1165
16,2018-03-31,-0.1958
17,2018-02-28,-0.2959
18,2018-01-31,0.1328
19,2017-12-31,1.6635
20,2017-11-30,0.503
21,2017-10-31,0.8117
22,2017-09-30,0.3769
23,2017-08-31,0.7229
24,2017-07-31,1.2745
25,2017-06-30,1.5229
26,2017-05-31,1.3718
27,2017-04-30,1.8329
28,2017-03-31,1.8918
29,2017-02-28,2.0117
30,2017-01-31,1.7025
31,2016-12-31,1.8908
32,2016-11-30,1.8557
33,2016-10-31,1.7402
34,2016-09-30,1.7627
35,2016-08-31,1.6265
36,2016-07-31,1.5961
37,2016-06-30,1.48
38,2016-05-31,1.5054
39,2016-04-30,1.457
40,2016-03-31,1.4719
41,2016-02-29,1.4054
42,2016-01-31,1.2384
43,2015-12-31,1.2063
44,2015-11-30,1.2114
45,2015-10-31,1.252
46,2015-09-30,1.4303
47,2015-08-31,1.4747
48,2015-07-31,1.4245
49,2015-06-30,1.5436
50,2015-05-31,1.4723
51,2015-04-30,1.447
52,2015-03-31,1.4516
53,2015-02-28,1.1443
54,2015-01-31,1.7267
