,compound,headline,neg,neu,pos,label
0,0.8268,"Fortnite is the most popular battle-royale game world wide, and generates huge revenues even though its offered for free by developer, Epic Games.",0.0,0.697,0.303,1
1,0.5106,"Walmart (WMT) looks strong heading into the release of its Q2 fiscal 2020 financial results that are due out before the opening bell on Thursday, August 15.",0.0,0.887,0.113,1
2,0.6514,"(Bloomberg) -- Amazon.com Inc., Facebook Inc. and Alphabet Inc.’s Google defended their business practices to U.S. lawmakers conducting a broad antitrust inquiry, seeking to underscore their companies face stiff competition in their respective industries.Amazon, for example, argued that much of the data it keeps regarding third-party merchants who use its online marketplace is public and that analyzing aggregate sales data to bolster its private-label strategy is a common practice in the retail industry.“Customers’ shopping behavior in our store is just one of many inputs to Amazon’s private-label strategy,” David Zapolsky, Amazon’s general counsel, wrote in the letter dated July 26 to U.S. Representative David Cicilline, head of the House antitrust subcommittee. “We also use other factors employed across the retail industry, such as fashion and shopping trends highlighted in the press and on social media, suggestions from our manufacturers for new or complementary product lines, and gaps in our product assortment relative to our competitors.”Amazon said that while it uses aggregate data from merchants, it prohibits the use of individual vendor data in its private-label strategy.The antitrust subcommittee is scrutinizing how Amazon treats its third-party sellers as part of larger probe into the technology industry. Cicilline, a Rhode Island Democrat, expressed dissatisfaction with Amazon’s answers at a July 16 hearing before the panel, especially testimony that the company doesn’t use data it collects on sales to favor its products over third-party sellers. The companies, in letters released Tuesday by Cicilline’s office, responded to follow-up questions from the subcommittee.Facebook made the case that it isn’t as dominant as it seems, providing Cicilline with a long list of competitors in different areas. In messaging, for example, the company said it competes with SMS texting, which is used by 4.2 billion people worldwide.Facebook also noted that it’s still possible for outside companies to gain traction quickly in social media. In 2018, TikTok, the Chinese app for short-form video owned by ByteDance Ltd., was downloaded more times than either Facebook or Instagram, becoming a “significant competitor” to Facebook, the Menlo Park, California-based company said.Google maintained that it strives to give users the most relevant information as quickly as possible, which often directs them to other sites. The company also highlighted steps it takes to fight copyright infringement on its video-sharing platform, YouTube.In its response, Google also tried to refute charges that the company favors its own products in search results and on YouTube. In recent years, Google has filled search with more direct answers and Google-run services, like flight bookings, rather than links to outside websites. That trend has prompted several complaints from small companies that depend on Google traffic. Kent Walker, Google’s chief lawyer, wrote that Google “will deliver more traffic to sites across the web,” without citing numbers.Asked how much Google pays Apple Inc to place Google search on iPhones, Walker declined to answer.&#92;--With assistance from Sarah Frier, Ben Brody and Mark Bergen.To contact the reporters on this story: Naomi Nix in Washington at nnix1@bloomberg.net;Spencer Soper in Seattle at ssoper@bloomberg.netTo contact the editors responsible for this story: Sara Forden at sforden@bloomberg.net, ;Jillian Ward at jward56@bloomberg.net, Andrew PollackFor more articles like this, please visit us at bloomberg.com©2019 Bloomberg L.P.",0.03,0.929,0.041,1
3,0.6808,"After much anticipation, Apple is finally releasing its new credit card to the public.  Some of those who signed up to be notified about the Apple Card will be able to sign up starting Tuesday.  The card is being offered in partnership with Goldman Sachs  (GS) , marking the bank’s first credit card offering, and card network Mastercard  (MA) .",0.0,0.893,0.107,1
4,-0.3818,"The calling feature in the apps runs in the background even when not in use, which means the apps can connect calls faster while performing other tasks such as data collection, according to the report.  The report http://bit.ly/2TexDPN said that Apple is restricting the background access to apps while users make internet calls.  Both Apple and Facebook did not immediately respond to a request for comment.",0.039,0.961,0.0,-1
5,-0.296,"Apple Inc.  subsidiary FileMaker Inc. has a new name, sort of. The database-software company, which started as Claris in 1987, is going back to that moniker in a move to rebrand the company, it announced on Tuesday. &quot;It's a sign of change,&quot; new Claris CEO Brad Freitag told MarketWatch over the phone. As part of its rebirth, Claris also announced the acquisition of Stamplay, an API integration developer. The renamed Claris will have no impact on its relationship with parent company Apple, Freitag said.",0.027,0.973,0.0,-1
6,-0.7906,"The stock market today rebounded after suffering its worst loss of the year on Monday. Apple, Microsoft and Disney boosted the Dow Jones industrials.",0.297,0.625,0.078,-1
7,-0.3182,"The stock market has been volatile, causing confusion among investors.  It started last week when President Trump announced the imposition of new duties on $300 billion worth of Chinese goods.  China retaliated by lowering its currency below a key level.",0.1,0.855,0.045,-1
8,0.0,Guru's largest sales of the 2nd quarter Continue reading...,0.0,1.0,0.0,0
9,0.3818,"The Apple credit card designed primarily for mobile use is here.  Some iPhone users who requested a notification about Apple Card will get invites Tuesday to apply through Apple’s Wallet app.  The card, announced in March in partnership with Goldman Sachs  (GS) , is available only in the U.S.",0.0,0.947,0.053,1
10,0.992,"Remembering the old adage about stocks falling faster than they rise, investors should be dismayed that Tuesday's rebound did not recoup all of Monday's losses. However, the reasons behind the Tuesday bounce back are, arguably, flimsy.For example, one of today's catalysts was China saying it will not let the yuan depreciate further. That helped for today, but some market observers believe there are trust issues that need to be resolved when it comes to the U.S. and its dealings with China. Another reason equities surged today is the belief that the trade war cannot get much worse. That's a belief rooted in hope, not empirical evidence.Still, the Nasdaq Composite added 1.39% on Tuesday while the S&P 500 rose by 1.31%. Following a day in which all 30 of its components finished in the red, the Dow Jones Industrial Average posted a Tuesday gain of 1.22%.InvestorPlace - Stock Market News, Stock Advice & Trading TipsSome of today's Dow winners were of the predictable variety and that is OK. Nike (NYSE:NKE) one of the more tariff-sensitive names, jumped 2.95% today. If trade tensions ebb, the athletic apparel maker is likely to recoup some of its recent losses and then some as market participants realize Nike is much more than a China story.  * 10 Generation Z Stocks to Buy Long Dow tech names, including Cisco Systems (NASDAQ:CSCO) and Apple (NASDAQ:APPL), the latter of which is highly tariff-sensitive, finished higher today. Analysts are calling attention to the fact that while the trade war is not good news for Apple, the company is prepared for it. Those preparations may not be factored into Apple stock.&quot;Apple has planned ahead for the protracted trade war and should be able to offset the costs even with higher import costs,&quot; said TF International Securities analyst Ming-Chi Kuo. Dow Today: Boeing's BackUnfortunately, I don't mean that the stock is back, though shares of Boeing Co. (NYSE:BA) gained 0.47% today. I mean that the Dow's largest component is back in this space. Boeing's recent slide, one that has seen the stock tumble 7% over the past month, has the shares residing below its key moving averages, prompting some questions about the stock's technical health.&quot;The 50-day moving average price of Boeing shares also dipped below the 200-day moving average in June--a signal technical traders will look at for signs of a shift in investor sentiment,&quot; reports Barron's. &quot;When the shorter-term moving average is above the longer-term moving average, it is a sign that a stock has positive momentum and that good news is propelling shares higher.&quot; Dow After The BellAs I noted yesterday, Walt Disney (NYSE:DIS) reports quarterly results today after the close of U.S. markets. The stock gained 2.64% today in advance of that update. For its fiscal third quarter, Disney is expected to earn $1.72 a share on revenue of $21.4 billion. A year earlier, the company earned $1.87 a share on revenue of $15.4 billion.Disney has a history of retreating immediately following its earnings reports. If history repeats, that could be a buying opportunity in the entertainment giant's shares because the stock closed more than 10% below the average analyst price target today. Bottom Line on Dow Jones TodaySomething interesting about China's effort to devalue its currency: the Invesco DB US Dollar Index Bullish Fund (NYSEARCA:UUP), which measures the greenback against a basket of major currencies, is lower by a third of percent over the past week.Behind the scenes, China was likely hoping that its yuan devaluation efforts would send the dollar soaring, further crimping U.S. exporters, but that has not yet materialized. Even if the greenback gains strength on the back of the trade war, that is an impetus for the Federal Reserve to get involved and lower interest rates again, also known as good news for stocks.Todd Shriber doesn't own any of the aforementioned securities. More From InvestorPlace  * 2 Toxic Pot Stocks You Should Avoid   * 10 Cyclical Stocks to Buy (or Sell) Now   * 7 Biotech ETFs That Should Remain Healthy   * 7 of the Hottest AI Stocks to Buy Now The post Dow Jones Today: Recovery, Sort Of appeared first on InvestorPlace.",0.069,0.807,0.124,1
11,-0.7269,"On today's episode of Free Lunch here at Zacks, Associate Stock Strategist Ben Rains dives into the escalating trade war between the U.S. and China that turned into a currency fight Monday. The shows then moves onto Amazon's recent woes, a Disney earnings preview, and more.",0.178,0.759,0.063,-1
12,0.9695,"Every time the stock market dips -- even slightly, the bears come out. You see them on the cable business channels, warning, with a wild look in their eyes, of a &quot;stock market crash.&quot;Source: Shutterstock But then you look at your portfolio and note that we're in the middle of perhaps the greatest bull run in history.Plus, we've got low interest rates, an economy firing on all cylinders, and a business-friendly administration in the White House. The Dow Jones Industrial Average recently hit 27,000 for the first time ever -- and remains near record highs.InvestorPlace - Stock Market News, Stock Advice & Trading TipsBut the bears have a point.As sure as you can count on the moon and the seasons moving in cycles, you can count on the stock market moving in cycles. It's been doing it for hundreds of years. Times of economic boom and soaring stock prices are followed by times of economic bust and plummeting stock prices.The pattern has been repeating itself since the founding of the United States.  * 10 Generation Z Stocks to Buy Long Economic recessions… real estate busts… stock market crashes… wars… financial shocks. These aren't aberrations. In fact, they are common occurrences. A quick tour of American history shows how this is the case.During the 110 years from 1900 to 2010, we've had…  * The Great Depression  * Two world wars  * More than 30 bear markets (market drops of more than 20%)  * The runaway inflation of the 1970s  * The savings and loan crisis of the 1980s  * The 2000-'02 dot-com crash  * The 2007-'08 financial crisis and resulting Great RecessionThat's not even mentioning the 22 other &quot;run of the mill&quot; recessions that cropped up along the way. Any student of economic and stock market history will tell you that massive financial shocks and stock market crashes happen a lot more often than most people think. In fact, you should expect to see at least one economic shock and bear market per decade.With this in mind, let's go back to 2007… right before the stock market crashed. The 2008 Financial Crisis and Stock Market CrashIn 2007, we had a strong recovery after a crisis. We had excessive levels of debt.If that scenario sounds familiar, it's because the current economic and stock market climate has some important things in common with the one in 2007.We've recovered from a crisis and enjoyed years of good times. Student debt, consumer debt, and risky corporate debt levels are very high. And just like in 2007, stock valuations are near record highs. While the stock market could continue rising for months or even a year or more, it makes a lot of sense to create or review your plan for surviving a bear market. History shows it's just a matter of time before one strikes.While I don't think we're going to get a &quot;whopper&quot; like the 2007-'09 stock market crash anytime soon, a relatively mild drop of 25% or so is overdue.So what should you do to prepare for the next stock market crash?Smart investors prepare themselves for all possibilities -- especially when their retirement savings are at stake. Even a relatively minor market dip of 20% could set your retirement back several years or more. That's why I've put together this three-part plan to insure your investments if the stock market plunges.Knowing about and using these strategies could mean the difference between having an abundant retirement and barely getting by in your old age. Bear Market Survival Strategy 1: Diverse Asset AllocationOf all the concepts that can help you survive and thrive during tough times and full stock market crashes, few are more powerful than &quot;asset allocation.&quot;Intelligent asset allocation means you don't bet the farm on a single stock or a single asset class. Intelligent asset allocation can prevent you from suffering catastrophic losses.Consider people who went &quot;all in&quot; on real estate in 2005 and '06&#92;. Back then, the U.S. real estate mania was in full force. Real estate was a &quot;can't lose&quot; bet. Many people put all their savings into real estate and even took on loads of debt to &quot;leverage&quot; their returns.When the real estate market crashed, these all-in real-estate players were wiped out. At the heart of their downfall was poor asset allocation. They bet the farm on one asset class and it was a bubble.There's no &quot;one size fits all&quot; asset allocation strategy that is right for everyone.However, most of us have similar end goals. We want to own a diversified collection of assets that throws off lots of income… even when we are not actively working. We want to buy high-quality assets for bargain prices. We want our portfolio to be crisis-proof and inflation-proof. Bear Market Survival Strategy No 2: Buy Some GoldThere are hundreds of wealth-insurance policies out there. They involve intricate details, lots of forms to sign, and payments of big fees to advisors and salesmen (which are often the same thing).But I'd rather keep things simple and keep money in my pocket instead of a salesman's pocket.Put a small portion of your wealth in gold bullion.People would likely flock to gold in a global financial disaster or stock market crash and cause its price to soar. For example, the 1970s were marked by war, recession, and high inflation. This made the 1970s a terrible decade for stocks and bonds. But it was terrific for gold owners. As people fled stocks for precious metals, gold gained more than 2,000% during the decade.Stocks Zig, Gold Zags : The rolling two-year investment returns of the S&P 500 and goldThe good news is that you don't have to buy a huge amount of gold to have a good insurance policy. You can place just 5% of your portfolio into gold.Gold's place in your portfolio could be the difference between your family struggling to get by and or doing well. Bear Market Survival Strategy 3: Invest for the Long TermFinding real stock market bargains is usually difficult because financial markets correctly price most assets most of the time.However, a crisis creates massive empire-building opportunities because it introduces tremendous amounts of emotion into the financial markets.A crisis creates panic. When people panic, they dump their ownership stakes in stocks, bonds, real estate, and commodities with little regard to their real values or ability to produce income. They sell first and ask questions later. This creates huge declines in asset prices and huge volatility.This, of course, means that if you can keep your head while others are losing theirs, you can buy assets at fire-sale prices.For example, the wake of the 2008 credit crisis was an amazing time to buy business like Apple Inc. (NASDAQ:AAPL), Altria Group (NYSE:MO) (the world's largest cigarette maker), and Starbucks (NASDAQ:SBUX). Apple tripled in value off its 2009 bottom in less than two years. Altria doubled off its bottom in about two years. Starbucks more than tripled in value off its bottom in about two years.During a financial crisis, essential assets like factories, skyscrapers, mines, oil fields, farms, pipelines and power plants don't dry up and blow away. The only thing that changes about these valuable, lasting assets is who owns them.The financial markets are like a chess game. During a crisis, the ownership of essential assets moves from weak players to strong players. One More Way to Prepare for the Next Stock Market CrashAs I mentioned at the start of this report, it's just a matter of time before we experience another bear market or full stock market crash.That's why I've spent the past year and more developing Bear Market 2020: The Survival Blueprint.This book is full of hard-won knowledge and more advanced strategies than the ones I've shared with you so far. I've tested these tactics in the bloody trenches of firsthand investing, and in it I tell some of my &quot;war stories&quot;… and prove these tactics work. Part &quot;diary&quot; and part &quot;owner's manual,&quot; Bear Market 2020 takes you by the hand and walks you, step-by-step, through the six tactics that will help you and your family navigate America's next bear market.  * 10 Cyclical Stocks to Buy (or Sell) Now History shows that it's only a matter of time before the next financial shock. So if you'd like to insure you and your family's financial well-being from a stock market crash, this is the perfect book for you.Eric Fry is a 30-year international finance expert, former hedge fund manager, and InvestorPlace's resident expert on global investment trends. He founded his own investment management firm and served as a partner several others. In 2016, he won the Portfolios With Purpose stock-picking contest - Wall Street's most prestigious investment competition - making him America's Top Trader. With Fry's Investment Report, Eric's goal is to track the world's biggest macroeconomic and geopolitical events - and help investors make big gains from those emerging opportunities. Click here to learn more. More From InvestorPlace  * 2 Toxic Pot Stocks You Should Avoid   * 10 Cyclical Stocks to Buy (or Sell) Now   * 7 Biotech ETFs That Should Remain Healthy   * 7 of the Hottest AI Stocks to Buy Now The post 3 Steps Every Investor Should Take Before the Next Stock Market Crash appeared first on InvestorPlace.",0.088,0.797,0.114,1
