date,marketcap,pricetobook,pricetoearnings,dividendyield,earningsyield,Quarter,nopat,freecashflow,roe,ebitdagrowth,ebitdamargin,cashdividendspershare,bookvaluepershare,capex,currentratio,debttoequity,epsgrowth,investedcapitalgrowth,fcffgrowth,finleverage,netincomegrowth,roa,revenuegrowth,basiceps,operatingrevenue,ebitda,totalassets,totalliabilities,debt,netincome,netcashfromoperatingactivities,netcashfrominvestingactivities,netcashfromfinancingactivities,longterminvestments,one_yr_monthly_beta
19/07/2019,2.15E+11,2.39,15.9482,0.018591,0.062703,Q2-2019,10280000000,10110000000,0.1788,0.207136108,0.2339,1.76,50.5,4255875000,0.77,0.5402,0.2139,0.045414813,0.102087814,0.2560875,0.219790843,0.059,0.006297781,8.91,59760000000,21720000000,2.14E+11,1.09E+11,55565000000,13880000000,13510000000,-14210000000,6740000000,4080000000,0.7429
18/07/2019,2.18E+11,2.4204,16.1512,0.018358,0.061915,Q2-2019,10280000000,10110000000,0.1788,0.207136108,0.2339,1.76,50.5,4255875000,0.77,0.5402,0.2139,0.045414813,0.102087814,0.2560875,0.219790843,0.059,0.006297781,8.91,59760000000,21720000000,2.14E+11,1.09E+11,55565000000,13880000000,13510000000,-14210000000,6740000000,4080000000,0.7429
17/07/2019,2.19E+11,2.4365,16.2584,0.018237,0.061507,Q2-2019,10280000000,10110000000,0.1788,0.207136108,0.2339,1.76,50.5,4255875000,0.77,0.5402,0.2139,0.045414813,0.102087814,0.2560875,0.219790843,0.059,0.006297781,8.91,59760000000,21720000000,2.14E+11,1.09E+11,55565000000,13880000000,13510000000,-14210000000,6740000000,4080000000,0.7429
16/07/2019,2.22E+11,2.466,16.4556,0.018018,0.060769,Q2-2019,10280000000,10110000000,0.1788,0.207136108,0.2339,1.76,50.5,4255875000,0.77,0.5402,0.2139,0.045414813,0.102087814,0.2560875,0.219790843,0.059,0.006297781,8.91,59760000000,21720000000,2.14E+11,1.09E+11,55565000000,13880000000,13510000000,-14210000000,6740000000,4080000000,0.7429
15/07/2019,2.23E+11,2.479,16.5423,0.017924,0.060451,Q2-2019,10280000000,10110000000,0.1788,0.207136108,0.2339,1.76,50.5,4255875000,0.77,0.5402,0.2139,0.045414813,0.102087814,0.2560875,0.219790843,0.059,0.006297781,8.91,59760000000,21720000000,2.14E+11,1.09E+11,55565000000,13880000000,13510000000,-14210000000,6740000000,4080000000,0.7429
12/07/2019,2.23E+11,2.4759,16.5218,0.017946,0.060526,Q2-2019,10280000000,10110000000,0.1788,0.207136108,0.2339,1.76,50.5,4255875000,0.77,0.5402,0.2139,0.045414813,0.102087814,0.2560875,0.219790843,0.059,0.006297781,8.91,59760000000,21720000000,2.14E+11,1.09E+11,55565000000,13880000000,13510000000,-14210000000,6740000000,4080000000,0.7429
11/07/2019,2.21E+11,2.4534,16.3713,0.018111,0.061083,Q2-2019,10280000000,10110000000,0.1788,0.207136108,0.2339,1.76,50.5,4255875000,0.77,0.5402,0.2139,0.045414813,0.102087814,0.2560875,0.219790843,0.059,0.006297781,8.91,59760000000,21720000000,2.14E+11,1.09E+11,55565000000,13880000000,13510000000,-14210000000,6740000000,4080000000,0.7429
10/07/2019,2.21E+11,2.453,16.369,0.018113,0.061091,Q2-2019,10280000000,10110000000,0.1788,0.207136108,0.2339,1.76,50.5,4255875000,0.77,0.5402,0.2139,0.045414813,0.102087814,0.2560875,0.219790843,0.059,0.006297781,8.91,59760000000,21720000000,2.14E+11,1.09E+11,55565000000,13880000000,13510000000,-14210000000,6740000000,4080000000,0.7429
09/07/2019,2.18E+11,2.4201,16.1489,0.01836,0.061924,Q2-2019,10280000000,10110000000,0.1788,0.207136108,0.2339,1.76,50.5,4255875000,0.77,0.5402,0.2139,0.045414813,0.102087814,0.2560875,0.219790843,0.059,0.006297781,8.91,59760000000,21720000000,2.14E+11,1.09E+11,55565000000,13880000000,13510000000,-14210000000,6740000000,4080000000,0.7429
08/07/2019,2.11E+11,4.1984,19.2692,0.018437,0.051896,Q2-2019,10280000000,10110000000,0.1788,0.207136108,0.2339,1.76,50.5,4255875000,0.77,0.5402,0.2139,0.045414813,0.102087814,0.2560875,0.219790843,0.059,0.006297781,8.91,59760000000,21720000000,2.14E+11,1.09E+11,55565000000,13880000000,13510000000,-14210000000,6740000000,4080000000,0.7429
