,date,one_yr_monthly_beta
0,30/06/2019,0.7401
1,31/05/2019,0.7429
2,30/04/2019,0.7068
3,31/03/2019,0.4564
4,28/02/2019,0.5443
5,31/01/2019,0.5058
6,31/12/2018,0.6191
7,30/11/2018,0.7129
8,31/10/2018,0.6868
9,30/09/2018,0.8316
10,31/08/2018,1.018
11,31/07/2018,1.143
12,30/06/2018,0.9096
13,31/05/2018,0.9405
14,30/04/2018,0.9593
15,31/03/2018,0.9033
16,28/02/2018,0.8631
17,31/01/2018,0.7438
18,31/12/2017,1.5286
19,30/11/2017,2.0496
20,31/10/2017,1.0971
21,30/09/2017,1.2308
22,31/08/2017,1.3976
23,31/07/2017,0.7287
24,30/06/2017,0.7202
25,31/05/2017,0.6274
26,30/04/2017,0.5216
27,31/03/2017,0.5294
28,28/02/2017,0.6202
29,31/01/2017,1.1345
30,31/12/2016,1.1935
31,30/11/2016,1.1169
32,31/10/2016,1.2472
33,30/09/2016,1.1988
34,31/08/2016,1.4393
35,31/07/2016,1.4814
36,30/06/2016,1.4742
37,31/05/2016,1.4779
38,30/04/2016,1.5347
39,31/03/2016,1.5
40,29/02/2016,1.9273
41,31/01/2016,1.9119
42,31/12/2015,1.8715
43,30/11/2015,1.7439
44,31/10/2015,1.7087
45,30/09/2015,1.9857
46,31/08/2015,1.9384
47,31/07/2015,1.4071
48,30/06/2015,1.3397
49,31/05/2015,1.5512
50,30/04/2015,1.567
51,31/03/2015,1.5747
52,28/02/2015,1.8516
53,31/01/2015,1.5317
