date,marketcap,pricetobook,pricetoearnings,dividendyield,earningsyield,nopat,freecashflow,roe,ebitdagrowth,ebitdamargin,cashdividendspershare,bookvaluepershare,debttoequity,epsgrowth,investedcapitalgrowth,fcffgrowth,finleverage,netincomegrowth,roa,revenuegrowth,basiceps,ebitda,totalassets,totalliabilities,debt,netincome,netcashfromoperatingactivities,netcashfrominvestingactivities,netcashfromfinancingactivities,longterminvestments,one_yr_monthly_beta
01/07/2016,3.67E+11,1.4334,14.79,0.020655,0.067613,23958000000,38881000000,0.09707,0.011099,0.387687,1.8,68.1083,1.3186,0.066787,-0.024864,1.128949,1.4015,0.055419,0.009748,-0.019065,5.95,36165000000,2.47E+12,2.21E+12,3.33E+11,23958000000,23958000000,-22555000000,77000000,77000000,1.0578
04/07/2016,3.70E+11,1.4451,14.9104,0.020488,0.067067,23958000000,38881000000,0.09707,0.011099,0.387687,1.8,68.1083,1.3186,0.066787,-0.024864,1.128949,1.4015,0.055419,0.009748,-0.019065,5.95,36165000000,2.47E+12,2.21E+12,3.33E+11,23958000000,23958000000,-22555000000,77000000,77000000,1.0578
05/07/2016,3.70E+11,1.4451,14.9104,0.020488,0.067067,23958000000,38881000000,0.09707,0.011099,0.387687,1.8,68.1083,1.3186,0.066787,-0.024864,1.128949,1.4015,0.055419,0.009748,-0.019065,5.95,36165000000,2.47E+12,2.21E+12,3.33E+11,23958000000,23958000000,-22555000000,77000000,77000000,1.0578
06/07/2016,3.71E+11,1.4462,14.9226,0.020472,0.067012,23958000000,38881000000,0.09707,0.011099,0.387687,1.8,68.1083,1.3186,0.066787,-0.024864,1.128949,1.4015,0.055419,0.009748,-0.019065,5.95,36165000000,2.47E+12,2.21E+12,3.33E+11,23958000000,23958000000,-22555000000,77000000,77000000,1.0578
07/07/2016,3.81E+11,1.4865,15.3379,0.019917,0.065198,23958000000,38881000000,0.09707,0.011099,0.387687,1.8,68.1083,1.3186,0.066787,-0.024864,1.128949,1.4015,0.055419,0.009748,-0.019065,5.95,36165000000,2.47E+12,2.21E+12,3.33E+11,23958000000,23958000000,-22555000000,77000000,77000000,1.0578
08/07/2016,3.72E+11,1.4504,14.9659,0.020412,0.066819,23958000000,38881000000,0.09707,0.011099,0.387687,1.8,68.1083,1.3186,0.066787,-0.024864,1.128949,1.4015,0.055419,0.009748,-0.019065,5.95,36165000000,2.47E+12,2.21E+12,3.33E+11,23958000000,23958000000,-22555000000,77000000,77000000,1.0578
11/07/2016,3.78E+11,1.4752,15.2216,0.02007,0.065696,23958000000,38881000000,0.09707,0.011099,0.387687,1.8,68.1083,1.3186,0.066787,-0.024864,1.128949,1.4015,0.055419,0.009748,-0.019065,5.95,36165000000,2.47E+12,2.21E+12,3.33E+11,23958000000,23958000000,-22555000000,77000000,77000000,1.0578
12/07/2016,3.71E+11,1.4476,14.9361,0.020453,0.066952,23958000000,38881000000,0.09707,0.011099,0.387687,1.8,68.1083,1.3186,0.066787,-0.024864,1.128949,1.4015,0.055419,0.009748,-0.019065,5.95,36165000000,2.47E+12,2.21E+12,3.33E+11,23958000000,23958000000,-22555000000,77000000,77000000,1.0578
13/07/2016,3.66E+11,1.4304,14.7589,0.020699,0.067756,23958000000,38881000000,0.09707,0.011099,0.387687,1.8,68.1083,1.3186,0.066787,-0.024864,1.128949,1.4015,0.055419,0.009748,-0.019065,5.95,36165000000,2.47E+12,2.21E+12,3.33E+11,23958000000,23958000000,-22555000000,77000000,77000000,1.0578
14/07/2016,3.76E+11,1.467,15.1364,0.020183,0.066066,23958000000,38881000000,0.09707,0.011099,0.387687,1.8,68.1083,1.3186,0.066787,-0.024864,1.128949,1.4015,0.055419,0.009748,-0.019065,5.95,36165000000,2.47E+12,2.21E+12,3.33E+11,23958000000,23958000000,-22555000000,77000000,77000000,1.0578
