date,date,nopat,freecashflow,roe,ebitdagrowth,ebitdamargin,cashdividendspershare,bookvaluepershare,capex,debttoequity,epsgrowth,investedcapitalgrowth,fcffgrowth,finleverage,netincomegrowth,roa,revenuegrowth,basiceps,ebitda,totalassets,totalliabilities,debt,netincome,netcashfromoperatingactivities,netcashfrominvestingactivities,netcashfromfinancingactivities,longterminvestments
31/03/2019,31/03/2019,32941000000,4223000000,0.127669,0.103592,0.447794,2.96,78.5433,0,1.3939,0.320057,0.048402,-0.765298,1.3552,0.233514,0.012321,0.063392,9.31,49367000000,2.73719E+12,2.47735E+12,3.62198E+11,32941000000,32941000000,-1.16671E+11,43004000000,43004000000
31/12/2018,31/12/2018,32474000000,16227000000,0.1268,0.153901,0.44534,2.72,75.1362,0,1.3695,0.426307,0.027464,-0.030877,1.3416,0.328669,0.012596,0.082657,9.04,48555000000,2.62253E+12,2.36602E+12,3.51307E+11,32474000000,32474000000,-1.97993E+11,34158000000,34158000000
30/09/2018,30/09/2018,29640000000,36856000000,0.114587,0.123045,0.442599,2.48,76.2914,0,1.2927,0.164265,-0.012008,0.391265,1.3092,0.100386,0.011448,0.068162,8.13,47525000000,2.61518E+12,2.35623E+12,3.34759E+11,29640000000,29640000000,-59239000000,-5444000000,-5444000000
30/06/2018,30/06/2018,27992000000,38101000000,0.108509,0.107154,0.435016,2.24,74.9579,0,1.3091,0.109467,-0.01672,4.317655,1.3241,0.056701,0.010864,0.060982,7.55,45979000000,2.59005E+12,2.33259E+12,3.37032E+11,27992000000,27992000000,-35264000000,-19503000000,-19503000000
31/03/2018,31/03/2018,26705000000,17993000000,0.104303,0.092328,0.431482,2.18,73.6316,0,1.3158,0.083205,0.014902,-0.060908,1.3003,0.040684,0.010359,0.054992,7.07,44733000000,2.60979E+12,2.35358E+12,3.37116E+11,26705000000,26705000000,-63884000000,31626000000,31626000000
31/12/2017,31/12/2017,24441000000,16744000000,0.095869,0.051607,0.417844,2.12,71.4865,0,1.3136,0.019386,0.013183,0.2181,1.3053,-0.011806,0.009729,0.042829,6.35,42079000000,2.5336E+12,2.27791E+12,3.35882E+11,24441000000,24441000000,28249000000,14642000000,14642000000
30/09/2017,30/09/2017,26936000000,26491000000,0.105072,0.098227,0.42097,2.04,72.5874,0,1.3257,0.194492,0.000741,2.132435,1.3433,0.149147,0.010596,0.05619,6.98,42318000000,2.56307E+12,2.30469E+12,3.42549E+11,26936000000,26936000000,70606000000,2977000000,2977000000
30/06/2017,30/06/2017,26490000000,7165000000,0.103698,0.14832,0.416874,1.96,71.8208,0,1.339,0.143824,0.033019,-0.81572,1.3289,0.105685,0.010534,0.067922,6.81,41529000000,2.56317E+12,2.30469E+12,3.46116E+11,26490000000,26490000000,-12599000000,72023000000,72023000000
31/03/2017,31/03/2017,25661000000,19160000000,0.101423,0.166591,0.416734,1.94,70.4779,0,1.2848,0.1,0.011245,-0.593258,1.2978,0.067074,0.010326,0.059893,6.54,40952000000,2.54629E+12,2.29043E+12,3.28742E+11,25661000000,25661000000,-7509000000,88292000000,88292000000
31/12/2016,31/12/2016,24733000000,13746000000,0.098584,0.122664,0.414357,1.88,68.8862,0,1.297,0.031667,0.019178,-0.755509,1.3054,0.011906,0.010215,0.032349,6.24,40014000000,2.49097E+12,2.23678E+12,3.29688E+11,24733000000,24733000000,-89202000000,98271000000,98271000000
30/09/2016,30/09/2016,23440000000,8457000000,0.093749,0.110941,0.404856,1.84,69.3038,0,1.361,-0.010221,0.02559,-0.720762,1.3717,-0.020845,0.009493,0.018938,5.85,38533000000,2.52103E+12,2.2667E+12,3.46155E+11,23440000000,23440000000,-84844000000,87701000000,87701000000
30/06/2016,30/06/2016,23958000000,38881000000,0.097069,0.011099,0.387687,1.8,68.1083,0,1.3186,0.066787,-0.024864,1.128949,1.4015,0.055419,0.009748,-0.019065,5.95,36165000000,2.4661E+12,2.21367E+12,3.32851E+11,23958000000,23958000000,-22555000000,77000000,77000000
31/03/2016,31/03/2016,24048000000,47106000000,0.098959,-0.02288,0.378619,1.76,66.9298,0,1.311,0.080586,-0.038356,4.765023,1.4264,0.074051,0.009617,-0.033836,5.95,35104000000,2.42381E+12,2.17365E+12,3.27947E+11,24048000000,24048000000,96549000000,-1.38264E+11,-1.38264E+11
31/12/2015,31/12/2015,24442000000,56223000000,0.10199,0.005189,0.381023,1.72,65.6066,0,1.314,0.134216,-0.052559,4.12038,1.4568,0.124029,0.009928,-0.016496,6.05,35642000000,2.3517E+12,2.10413E+12,3.25318E+11,24442000000,24442000000,1.0698E+11,-1.87511E+11,-1.87511E+11
30/09/2015,30/09/2015,23939000000,30286000000,0.100372,-0.069558,0.371328,1.68,58.9596,0,1.3827,0.085028,-0.010724,2.944402,1.4682,0.085423,0.009684,-0.02982,5.92,34685000000,2.41712E+12,2.17139E+12,3.39775E+11,23939000000,23939000000,9716000000,-99346000000,-99346000000
30/06/2015,30/06/2015,22700000000,18263000000,0.096901,0.196174,0.376121,1.64,57.7751,0,1.4883,0.424165,0.007448,2.062853,1.5526,0.409063,0.009135,0.001791,5.59,35768000000,2.4496E+12,2.20839E+12,3.58992E+11,22700000000,22700000000,9773000000,-70637000000,-70637000000
31/03/2015,31/03/2015,22390000000,8171000000,0.098305,0.164085,0.374373,1.6,57.0515,0,1.5488,0.354839,0.024226,1.924844,1.6082,0.346686,0.00886,0.005269,5.5,35926000000,2.57715E+12,2.34128E+12,3.65298E+11,22390000000,22390000000,-1.21376E+11,82247000000,82247000000
