date,date,marketcap,pricetobook,pricetoearnings,dividendyield,earningsyield
2019-08-07,2019-08-07,352145391000.0,1.3379,10.8233,0.034805,0.092394
2019-08-06,2019-08-06,359968671000.0,1.3676,11.0637,0.034049,0.090386
2019-08-05,2019-08-05,357165329000.0,1.3569,10.9775,0.034316,0.091095
2019-08-02,2019-08-02,368117921000.0,1.3985,11.3142,0.033295,0.088385
2019-08-01,2019-08-01,368150518000.0,1.3987,11.3152,0.033292,0.088377
2019-07-31,2019-07-31,378125200000.0,1.4366,11.6217,0.032414,0.086046
2019-07-30,2019-07-30,376788723000.0,1.4315,11.5807,0.032529,0.086351
2019-07-29,2019-07-29,383254970000.0,1.475,12.2744,0.032456,0.081471
2019-07-26,2019-07-26,384479004000.0,1.4797,12.3136,0.032352,0.081211
2019-07-25,2019-07-25,382791822000.0,1.4732,12.2595,0.032495,0.081569
2019-07-24,2019-07-24,386497006000.0,1.4875,12.3782,0.032184,0.080787
2019-07-23,2019-07-23,384942152000.0,1.4815,12.3284,0.032314,0.081113
2019-07-22,2019-07-22,378028014000.0,1.4549,12.107,0.032905,0.082597
2019-07-19,2019-07-19,375613028000.0,1.4456,12.0296,0.033116,0.083128
2019-07-18,2019-07-18,379351294000.0,1.46,12.1493,0.03279,0.082309
2019-07-17,2019-07-17,377101718000.0,1.4513,12.0773,0.032985,0.0828
2019-07-16,2019-07-16,380839984000.0,1.4657,12.197,0.032662,0.081987
2019-07-15,2019-07-15,376803980000.0,1.4502,12.0678,0.033011,0.082865
2019-07-12,2019-07-12,381435460000.0,1.468,12.2161,0.032611,0.081859
2019-07-11,2019-07-11,377465620000.0,1.4527,12.089,0.032954,0.08272
2019-07-10,2019-07-10,373892764000.0,1.439,11.9745,0.033268,0.083511
2019-07-09,2019-07-09,374984470000.0,1.4432,12.0095,0.033172,0.083267
2019-07-08,2019-07-08,373396534000.0,1.437,11.9586,0.033313,0.083622
2019-07-05,2019-07-05,375447618000.0,1.4449,12.0243,0.033131,0.083165
2019-07-03,2019-07-03,373231124000.0,1.4364,11.9533,0.033327,0.083659
2019-07-02,2019-07-02,373826600000.0,1.4387,11.9724,0.03115,0.083525
2019-07-01,2019-07-01,373432406749.0,1.4372,11.9598,0.031183,0.083614
2019-06-28,2019-06-28,367256712478.0,1.4134,11.762,0.031708,0.08502
2019-06-27,2019-06-27,357533278946.0,1.376,11.4506,0.03257,0.087332
2019-06-26,2019-06-26,356350699192.0,1.3714,11.4127,0.032678,0.087622
2019-06-25,2019-06-25,353985539684.0,1.3623,11.337,0.032896,0.088207
2019-06-24,2019-06-24,356941989069.0,1.3737,11.4317,0.032624,0.087476
2019-06-21,2019-06-21,359504245202.0,1.3836,11.5137,0.032391,0.086853
2019-06-20,2019-06-20,361967953023.0,1.3931,11.5926,0.032171,0.086262
2019-06-19,2019-06-19,361048168770.0,1.3895,11.5632,0.032253,0.086482
2019-06-18,2019-06-18,363676123779.0,1.3996,11.6473,0.03202,0.085857
2019-06-17,2019-06-17,358781557575.0,1.3808,11.4906,0.032457,0.087028
2019-06-14,2019-06-14,360752523831.0,1.3884,11.5537,0.032279,0.086552
2019-06-13,2019-06-13,359832739578.0,1.3848,11.5242,0.032362,0.086774
2019-06-12,2019-06-12,358945804763.0,1.3814,11.4958,0.032442,0.086988
2019-06-11,2019-06-11,363577575466.0,1.3993,11.6442,0.032029,0.08588
2019-06-10,2019-06-10,362460694587.0,1.395,11.6084,0.032127,0.086145
2019-06-07,2019-06-07,358584460949.0,1.38,11.4843,0.032475,0.087076
2019-06-06,2019-06-06,362559242900.0,1.3953,11.6116,0.032119,0.086121
2019-06-05,2019-06-05,361770856397.0,1.3923,11.5863,0.032189,0.086309
2019-06-04,2019-06-04,360489728330.0,1.3874,11.5453,0.032303,0.086616
2019-06-03,2019-06-03,349715112794.0,1.3459,11.2002,0.033298,0.089284
2019-05-31,2019-05-31,348072640914.0,1.3396,11.1476,0.033455,0.089705
2019-05-30,2019-05-30,351686079051.0,1.3535,11.2633,0.033112,0.088784
2019-05-29,2019-05-29,355496613814.0,1.3682,11.3854,0.032757,0.087832
2019-05-28,2019-05-28,356482096942.0,1.3719,11.4169,0.032666,0.087589
2019-05-24,2019-05-24,360391180018.0,1.387,11.5421,0.032312,0.086639
2019-05-23,2019-05-23,356876290193.0,1.3735,11.4296,0.03263,0.087493
2019-05-22,2019-05-22,364037467592.0,1.401,11.6589,0.031988,0.085771
2019-05-21,2019-05-21,367026766415.0,1.4125,11.7546,0.031728,0.085073
2019-05-20,2019-05-20,365778487786.0,1.4077,11.7147,0.031836,0.085363
2019-05-17,2019-05-17,363873220404.0,1.4004,11.6536,0.032003,0.08581
2019-05-16,2019-05-16,365647090035.0,1.4072,11.7104,0.031847,0.085394
2019-05-15,2019-05-15,361015319332.0,1.3894,11.5621,0.032256,0.086489
2019-05-14,2019-05-14,362394995712.0,1.3947,11.6063,0.032133,0.08616
2019-05-13,2019-05-13,359537094640.0,1.3837,11.5148,0.032388,0.086845
2019-05-10,2019-05-10,369589022548.0,1.4224,11.8367,0.031508,0.084483
2019-05-09,2019-05-09,369621871986.0,1.4225,11.8377,0.031505,0.084476
2019-05-08,2019-05-08,369917516924.0,1.4237,11.8472,0.03148,0.084408
2019-05-07,2019-05-07,371888483181.0,1.4312,11.9103,0.031313,0.083961
2019-05-06,2019-05-06,378064177452.0,1.455,12.1081,0.030801,0.082589
2019-05-03,2019-05-03,381447669525.0,1.468,12.2165,0.030528,0.081857
2019-05-02,2019-05-02,379115359455.0,1.4591,12.1418,0.030716,0.08236
2019-05-01,2019-05-01,378294123515.0,1.4559,12.1155,0.030783,0.082539
2019-04-30,2019-04-30,381217723462.0,1.4671,12.2091,0.030546,0.081906
2019-04-29,2019-04-29,381447669525.0,1.468,12.2165,0.030528,0.081857
2019-04-26,2019-04-26,376027512320.0,1.4472,12.0429,0.030968,0.083036
2019-04-25,2019-04-25,373202460685.0,1.4363,11.9524,0.031203,0.083665
2019-04-24,2019-04-24,373005364060.0,1.4355,11.9461,0.031219,0.083709
2019-04-23,2019-04-23,373629503374.0,1.4379,11.9661,0.031167,0.083569
2019-04-22,2019-04-22,373169611248.0,1.4362,11.9514,0.031205,0.083672
2019-04-18,2019-04-18,372709719121.0,1.4344,11.9366,0.031244,0.083776
2019-04-17,2019-04-17,375469071880.0,1.445,12.025,0.031014,0.08316
2019-04-16,2019-04-16,364957251845.0,1.4046,11.6884,0.031907,0.085555
2019-04-15,2019-04-15,361146717083.0,1.3899,11.5663,0.032244,0.086458
2019-04-12,2019-04-12,365318595659.0,1.406,11.6999,0.031876,0.085471
2019-04-11,2019-04-11,348959575729.0,1.343,11.176,0.03337,0.089477
2019-04-10,2019-04-10,346035975782.0,1.3317,11.0824,0.033652,0.090233
2019-04-09,2019-04-09,344492052214.0,1.3258,11.0329,0.033803,0.090638
2019-04-08,2019-04-08,347054308348.0,1.3357,11.115,0.033553,0.089969
2019-04-05,2019-04-05,345937427469.0,1.3314,11.0792,0.033662,0.090259
2019-04-04,2019-04-04,346758663409.0,1.3345,11.1055,0.033582,0.090045
2019-04-03,2019-04-03,343440870211.0,1.3218,10.9993,0.031595,0.090915
2019-04-02,2019-04-02,342756270470.0,1.3191,10.9773,0.031658,0.091097
2019-04-01,2019-04-01,341126271086.0,1.3128,10.9251,0.031809,0.091532
2019-03-29,2019-03-29,340563760180.0,1.3277,11.09,0.032881,0.090171
2019-03-28,2019-03-28,338814346417.0,1.3208,11.0331,0.03305,0.090637
2019-03-27,2019-03-27,335012735738.0,1.306,10.9093,0.033425,0.091665
2019-03-26,2019-03-26,336156583199.0,1.3105,10.9465,0.033312,0.091353
2019-03-25,2019-03-25,332825968533.0,1.2975,10.8381,0.033645,0.092267
2019-03-22,2019-03-22,335618302041.0,1.3084,10.929,0.033365,0.0915
2019-03-21,2019-03-21,346081142050.0,1.3492,11.2697,0.032356,0.088734
2019-03-20,2019-03-20,351632166493.0,1.3708,11.4505,0.031846,0.087333
2019-03-19,2019-03-19,359302672995.0,1.4007,11.7002,0.031166,0.085468
2019-03-18,2019-03-18,360614733318.0,1.4058,11.743,0.031052,0.085157
2019-03-15,2019-03-15,358461608685.0,1.3974,11.6729,0.031239,0.085669
2019-03-14,2019-03-14,354390857428.0,1.3816,11.5403,0.031598,0.086653
2019-03-13,2019-03-13,351194813052.0,1.3691,11.4362,0.031885,0.087441
2019-03-12,2019-03-12,350017323019.0,1.3645,11.3979,0.031992,0.087736
2019-03-11,2019-03-11,351060242762.0,1.3686,11.4318,0.031897,0.087475
2019-03-08,2019-03-08,346552138064.0,1.351,11.285,0.032312,0.088613
2019-03-07,2019-03-07,346417567774.0,1.3505,11.2807,0.032325,0.088647
2019-03-06,2019-03-06,348940760702.0,1.3603,11.3628,0.032091,0.088006
2019-03-05,2019-03-05,350252821025.0,1.3654,11.4055,0.031971,0.087677
2019-03-04,2019-03-04,350521961604.0,1.3665,11.4143,0.031946,0.087609
2019-03-01,2019-03-01,351329383341.0,1.3696,11.4406,0.031873,0.087408
2019-02-28,2019-02-28,351093885335.0,1.3687,11.4329,0.031894,0.087467
2019-02-27,2019-02-27,353785291125.0,1.3792,11.5206,0.031652,0.086801
2019-02-26,2019-02-26,354222644566.0,1.3809,11.5348,0.031613,0.086694
2019-02-25,2019-02-25,356947692928.0,1.3915,11.6236,0.031371,0.086032
2019-02-22,2019-02-22,353247009967.0,1.3771,11.503,0.0317,0.086934
2019-02-21,2019-02-21,354828210869.0,1.3833,11.5545,0.031559,0.086546
