,date,value
0,2019-07-31,1.2136
1,2019-06-30,1.2125
2,2019-05-31,1.2381
3,2019-04-30,1.2075
4,2019-03-31,1.0531
5,2019-02-28,1.0033
6,2019-01-31,1.1031
7,2018-12-31,1.1567
8,2018-11-30,0.972
9,2018-10-31,1.0165
10,2018-09-30,1.3929
11,2018-08-31,1.3879
12,2018-07-31,1.4897
13,2018-06-30,1.1836
14,2018-05-31,1.1289
15,2018-04-30,1.2245
16,2018-03-31,1.2654
17,2018-02-28,1.1717
18,2018-01-31,1.769
19,2017-12-31,1.9161
20,2017-11-30,3.0391
21,2017-10-31,1.703
22,2017-09-30,1.7962
23,2017-08-31,1.5768
24,2017-07-31,1.2437
25,2017-06-30,1.5527
26,2017-05-31,1.7651
27,2017-04-30,1.5871
28,2017-03-31,1.0015
29,2017-02-28,1.102
30,2017-01-31,1.4772
31,2016-12-31,1.5352
32,2016-11-30,1.4748
33,2016-10-31,0.9415
34,2016-09-30,1.1296
35,2016-08-31,1.1187
36,2016-07-31,1.1356
37,2016-06-30,1.0578
38,2016-05-31,1.0727
39,2016-04-30,1.0787
40,2016-03-31,1.0667
41,2016-02-29,1.3582
42,2016-01-31,1.5012
43,2015-12-31,1.3993
44,2015-11-30,1.3359
45,2015-10-31,1.3144
46,2015-09-30,1.6365
47,2015-08-31,1.4714
48,2015-07-31,1.5229
49,2015-06-30,1.5607
50,2015-05-31,1.6956
51,2015-04-30,1.7196
52,2015-03-31,1.7045
53,2015-02-28,1.6361
54,2015-01-31,1.1817
