publication_date,compound,headline,neg,neu,pos,label
2015-07-21 19:12:17,0.296,Citi ordered to pay $770 million over credit card practices,0.117,0.667,0.217,1
2015-08-14 17:16:07,-0.3182,BNP Paribas to pay $115 mln to settle currency-rigging lawsuit - source,0.268,0.732,0.0,-1
2015-09-17 22:39:02,0.0,Wall Street banks eye December for Fed liftoff - Reuters poll,0.0,1.0,0.0,0
2015-10-05 16:43:23,-0.1779,Global business growth at weakest pace this year in Sept - PMI,0.221,0.604,0.174,-1
2015-10-13 14:09:06,0.0,Barclays set to name former JPMorgan banker Staley as new CEO,0.0,1.0,0.0,0
2015-10-14 00:17:23,0.2732,JPMorgan goes on a diet to appease regulators,0.0,0.741,0.259,1
2015-10-15 18:19:27,0.1027,Goldman profit plunges as market turmoil hits bond trading,0.202,0.565,0.234,1
2015-12-02 22:37:26,0.128,Exclusive: Barclays' boss wants Blythe Masters to run investment bank - source,0.0,0.87,0.13,1
2015-12-28 21:14:43,0.0,JPMorgan to raise deposit rates for some big clients in Jan - WSJ,0.0,1.0,0.0,0
2016-01-14 17:54:08,0.1779,JPMorgan strikes confident tone after better-than-expected results,0.234,0.467,0.299,1
2016-01-29 00:20:44,0.1531,"Wells Fargo, BofA look to integrate Apple Pay into ATMs -TechCrunch",0.113,0.726,0.161,1
2016-02-22 10:06:00,-0.1695,JPMorgan may hold steady on cost target despite low interest rates,0.187,0.677,0.136,-1
2016-03-16 22:11:24,0.0,"JPMorgan, Citi shareholders to vote on potential breakup plans",0.0,1.0,0.0,0
2016-03-22 14:11:33,0.0,Edelweiss buys J.P. Morgan's India mutual funds business,0.0,1.0,0.0,0
2016-05-05 15:47:13,0.0,JPMorgan becomes first global bank to fall foul of Hong Kong's stricter IPO sponsorship rules,0.0,1.0,0.0,0
2016-06-01 16:53:13,0.0,JPMorgan exec sees 'mid-teens' percentage rise in Q2 markets revenue,0.0,1.0,0.0,0
2016-06-23 22:54:27,0.0,US bank JPMorgan says UK jobs could move abroad,0.0,1.0,0.0,0
2016-06-27 14:51:01,0.4019,"JPMorgan Chase & Co. Announces $175,000 to Help Bring 8,000 Summer Jobs to Baltimore",0.0,0.816,0.184,1
2016-06-28 16:06:02,0.0,France's Macron demands quick EDF decision on UK's Hinkley Point,0.0,1.0,0.0,0
2016-06-30 06:00:00,0.0,JPMorgan Chase announces 2016 CCAR results,0.0,1.0,0.0,0
2016-07-01 10:38:36,0.7783,JPMorgan wins approval to open three new branches in India,0.0,0.541,0.459,1
2016-07-04 16:51:02,0.0,Overseas regulatory announcement JPMorgan Chase & Co 4 July 2016 (1-page PDF 8KB),0.0,1.0,0.0,0
2016-07-05 01:31:03,0.0,Overseas regulatory announcement JPMorgan Chase & Co 5 July 2016 - Announcement made to the HK stock exchange (2-page PDF 53KB),0.0,1.0,0.0,0
2016-07-06 15:21:03,0.0,Overseas regulatory announcement JPMorgan Chase & Co 6 July 2016 (1-page PDF 8KB),0.0,1.0,0.0,0
2016-07-07 01:31:05,0.0,Overseas regulatory announcement JPMorgan Chase & Co 6 July 2016 - Announcement made to the HK stock exchange (2-page PDF 76KB),0.0,1.0,0.0,0
2016-07-07 07:20:04,0.0,JPMorgan could move thousands of staff out of UK - report,0.0,1.0,0.0,0
2016-07-07 11:03:50,0.4019,Investment banks tell UK's Osborne they will help London after Brexit vote,0.0,0.803,0.197,1
2016-07-07 14:45:49,-0.2732,Germany predicts drop in exports to Britain due to EU exit,0.174,0.826,0.0,-1
2016-07-07 20:14:33,0.25,The Latest: EU's Tusk hints at chance for UK to stay in EU,0.0,0.857,0.143,1
2016-07-12 06:25:59,0.0,"After recent declines, are Barclays plc and Standard Chartered plc bid targets?",0.0,1.0,0.0,0
