date,marketcap,pricetobook,pricetoearnings,dividendyield,earningsyield,nopat,freecashflow,roe,ebitdagrowth,ebitdamargin,cashdividendspershare,bookvaluepershare,capex,currentratio,debttoequity,epsgrowth,investedcapitalgrowth,fcffgrowth,finleverage,netincomegrowth,roa,revenuegrowth,basiceps,operatingrevenue,ebitda,totalassets,totalliabilities,debt,netincome,netcashfromoperatingactivities,netcashfrominvestingactivities,netcashfromfinancingactivities,longterminvestments,one_yr_monthly_beta
01/07/2019,1.05E+12,10.2456,26.7185,0.016417,0.037427,34224503447,21589503447,0.401211,0.209991,0.434053,1.8,12.25,13854000000,2.9685,0.7706,1.26,0.59297,0.526061,-0.6827,1.215133,0.137294,0.154241,4.55,1.22E+11,53046000000,2.63E+11,1.68E+11,73100000000,34926000000,47495000000,-11186000000,-34240000000,2403000000,1.1005
28/06/2019,1.03E+12,10.8992,29.6038,0.016627,0.033779,34224503447,21589503447,0.401211,0.209991,0.434053,1.8,12.25,13854000000,2.9685,0.7706,1.26,0.59297,0.526061,-0.6827,1.215133,0.137294,0.154241,4.55,1.22E+11,53046000000,2.63E+11,1.68E+11,73100000000,34926000000,47495000000,-11186000000,-34240000000,2403000000,1.1059
27/06/2019,1.04E+12,10.9147,29.6458,0.016604,0.033732,34224503447,21589503447,0.401211,0.209991,0.434053,1.8,12.25,13854000000,2.9685,0.7706,1.26,0.59297,0.526061,-0.6827,1.215133,0.137294,0.154241,4.55,1.22E+11,53046000000,2.63E+11,1.68E+11,73100000000,34926000000,47495000000,-11186000000,-34240000000,2403000000,1.1059
26/06/2019,1.03E+12,10.8968,29.5972,0.016631,0.033787,34224503447,21589503447,0.401211,0.209991,0.434053,1.8,12.25,13854000000,2.9685,0.7706,1.26,0.59297,0.526061,-0.6827,1.215133,0.137294,0.154241,4.55,1.22E+11,53046000000,2.63E+11,1.68E+11,73100000000,34926000000,47495000000,-11186000000,-34240000000,2403000000,1.1059
25/06/2019,1.03E+12,10.8561,29.4867,0.016693,0.033914,34224503447,21589503447,0.401211,0.209991,0.434053,1.8,12.25,13854000000,2.9685,0.7706,1.26,0.59297,0.526061,-0.6827,1.215133,0.137294,0.154241,4.55,1.22E+11,53046000000,2.63E+11,1.68E+11,73100000000,34926000000,47495000000,-11186000000,-34240000000,2403000000,1.1059
24/06/2019,1.06E+12,11.21,30.448,0.016166,0.032843,34224503447,21589503447,0.401211,0.209991,0.434053,1.8,12.25,13854000000,2.9685,0.7706,1.26,0.59297,0.526061,-0.6827,1.215133,0.137294,0.154241,4.55,1.22E+11,53046000000,2.63E+11,1.68E+11,73100000000,34926000000,47495000000,-11186000000,-34240000000,2403000000,1.1059
21/06/2019,1.06E+12,11.1441,30.269,0.016262,0.033037,34224503447,21589503447,0.401211,0.209991,0.434053,1.8,12.25,13854000000,2.9685,0.7706,1.26,0.59297,0.526061,-0.6827,1.215133,0.137294,0.154241,4.55,1.22E+11,53046000000,2.63E+11,1.68E+11,73100000000,34926000000,47495000000,-11186000000,-34240000000,2403000000,1.1059
20/06/2019,1.06E+12,11.1425,30.2646,0.016264,0.033042,34224503447,21589503447,0.401211,0.209991,0.434053,1.8,12.25,13854000000,2.9685,0.7706,1.26,0.59297,0.526061,-0.6827,1.215133,0.137294,0.154241,4.55,1.22E+11,53046000000,2.63E+11,1.68E+11,73100000000,34926000000,47495000000,-11186000000,-34240000000,2403000000,1.1059
19/06/2019,1.05E+12,11.04,29.9861,0.016415,0.033349,34224503447,21589503447,0.401211,0.209991,0.434053,1.8,12.25,13854000000,2.9685,0.7706,1.26,0.59297,0.526061,-0.6827,1.215133,0.137294,0.154241,4.55,1.22E+11,53046000000,2.63E+11,1.68E+11,73100000000,34926000000,47495000000,-11186000000,-34240000000,2403000000,1.1059
18/06/2019,1.04E+12,10.9969,29.869,0.01648,0.03348,34224503447,21589503447,0.401211,0.209991,0.434053,1.8,12.25,13854000000,2.9685,0.7706,1.26,0.59297,0.526061,-0.6827,1.215133,0.137294,0.154241,4.55,1.22E+11,53046000000,2.63E+11,1.68E+11,73100000000,34926000000,47495000000,-11186000000,-34240000000,2403000000,1.1059
17/06/2019,1.03E+12,10.8089,29.3585,0.016766,0.034062,34224503447,21589503447,0.401211,0.209991,0.434053,1.8,12.25,13854000000,2.9685,0.7706,1.26,0.59297,0.526061,-0.6827,1.215133,0.137294,0.154241,4.55,1.22E+11,53046000000,2.63E+11,1.68E+11,73100000000,34926000000,47495000000,-11186000000,-34240000000,2403000000,1.1059
14/06/2019,1.02E+12,10.7764,29.2701,0.016817,0.034165,34224503447,21589503447,0.401211,0.209991,0.434053,1.8,12.25,13854000000,2.9685,0.7706,1.26,0.59297,0.526061,-0.6827,1.215133,0.137294,0.154241,4.55,1.22E+11,53046000000,2.63E+11,1.68E+11,73100000000,34926000000,47495000000,-11186000000,-34240000000,2403000000,1.1059
13/06/2019,1.02E+12,10.7658,29.2414,0.016833,0.034198,34224503447,21589503447,0.401211,0.209991,0.434053,1.8,12.25,13854000000,2.9685,0.7706,1.26,0.59297,0.526061,-0.6827,1.215133,0.137294,0.154241,4.55,1.22E+11,53046000000,2.63E+11,1.68E+11,73100000000,34926000000,47495000000,-11186000000,-34240000000,2403000000,1.1059
12/06/2019,1.01E+12,10.6983,29.058,0.01694,0.034414,34224503447,21589503447,0.401211,0.209991,0.434053,1.8,12.25,13854000000,2.9685,0.7706,1.26,0.59297,0.526061,-0.6827,1.215133,0.137294,0.154241,4.55,1.22E+11,53046000000,2.63E+11,1.68E+11,73100000000,34926000000,47495000000,-11186000000,-34240000000,2403000000,1.1059
11/06/2019,1.02E+12,10.7479,29.1928,0.016861,0.034255,34224503447,21589503447,0.401211,0.209991,0.434053,1.8,12.25,13854000000,2.9685,0.7706,1.26,0.59297,0.526061,-0.6827,1.215133,0.137294,0.154241,4.55,1.22E+11,53046000000,2.63E+11,1.68E+11,73100000000,34926000000,47495000000,-11186000000,-34240000000,2403000000,1.1059
10/06/2019,1.02E+12,10.7886,29.3033,0.016798,0.034126,34224503447,21589503447,0.401211,0.209991,0.434053,1.8,12.25,13854000000,2.9685,0.7706,1.26,0.59297,0.526061,-0.6827,1.215133,0.137294,0.154241,4.55,1.22E+11,53046000000,2.63E+11,1.68E+11,73100000000,34926000000,47495000000,-11186000000,-34240000000,2403000000,1.1059
07/06/2019,1.01E+12,10.6909,29.0381,0.016951,0.034438,34224503447,21589503447,0.401211,0.209991,0.434053,1.8,12.25,13854000000,2.9685,0.7706,1.26,0.59297,0.526061,-0.6827,1.215133,0.137294,0.154241,4.55,1.22E+11,53046000000,2.63E+11,1.68E+11,73100000000,34926000000,47495000000,-11186000000,-34240000000,2403000000,1.1059
