date,date,nopat,freecashflow,roe,ebitdagrowth,ebitdamargin,cashdividendspershare,bookvaluepershare,capex,currentratio,debttoequity,epsgrowth,investedcapitalgrowth,fcffgrowth,finleverage,netincomegrowth,roa,revenuegrowth,basiceps,operatingrevenue,ebitda,totalassets,totalliabilities,debt,netincome,netcashfromoperatingactivities,netcashfrominvestingactivities,netcashfromfinancingactivities,longterminvestments
2019-03-31,2019-03-31,34224503447.3,21589503447.3,0.401211,0.209991,0.434053,1.8,12.25,13854000000.0,2.9685,0.7706,1.26,0.59297,0.526061,-0.6827,1.215133,0.137294,0.154241,4.55,122211000000.0,53046000000.0,263281000000.0,168417000000.0,73100000000.0,34926000000.0,47495000000.0,-11186000000.0,-34240000000.0,2403000000.0
2018-12-31,2018-12-31,32664819395.4,18182819395.4,0.393471,0.212889,0.430402,1.76,11.8599,14223000000.0,3.1177,0.7942,1.474286,0.693616,0.260136,-0.6701,1.42541,0.130291,0.158263,4.36,118459000000.0,50985000000.0,258859000000.0,166731000000.0,73169000000.0,33541000000.0,46126000000.0,-5979000000.0,-46297000000.0,2274000000.0
2018-09-30,2018-09-30,18135485908.4,25160485908.4,0.214322,0.21696,0.429133,1.72,11.0697,13102000000.0,2.9176,0.8867,-0.278932,-0.224384,4.087193,-0.6834,-0.287105,0.074278,0.158549,2.45,114906000000.0,49310000000.0,257619000000.0,171652000000.0,76230000000.0,18819000000.0,45101000000.0,-2110000000.0,-34633000000.0,2034000000.0
2018-06-30,2018-06-30,15927677743.0,27500677743.0,0.194462,0.208278,0.423478,1.68,10.613,11632000000.0,2.9008,0.9217,-0.344615,-0.331595,4.28494,-0.6583,-0.349876,0.065092,0.142786,2.15,110360000000.0,46735000000.0,258848000000.0,176130000000.0,76240000000.0,16571000000.0,43884000000.0,-6061000000.0,-33590000000.0,1862000000.0
2018-03-31,2018-03-31,15117204521.2,14147204521.2,0.211683,0.109228,0.414054,1.65,10.1667,9935000000.0,3.3958,0.9737,-0.350649,0.047694,0.85928,-0.7204,-0.350698,0.06702,0.086907,2.03,105880000000.0,43840000000.0,245497000000.0,166258000000.0,77157000000.0,15767000000.0,43471000000.0,-10760000000.0,-30252000000.0,2818000000.0
2017-12-31,2017-12-31,13222250209.6,14429250209.6,0.187934,0.144802,0.411018,1.62,10.1634,8696000000.0,2.8853,1.1391,-0.385965,-0.05465,0.967084,-0.7081,-0.386822,0.057547,0.079592,1.78,102273000000.0,42036000000.0,256003000000.0,177643000000.0,89260000000.0,13829000000.0,41980000000.0,-20795000000.0,-16830000000.0,3961000000.0
2017-09-30,2017-09-30,25514043531.5,-8149956468.5,0.329936,0.194194,0.408536,1.59,11.4947,8098000000.0,3.1198,0.9535,0.262172,14.288625,-1.281848,-0.8191,0.23911,0.114371,0.069879,3.41,99181000000.0,40519000000.0,249097000000.0,159450000000.0,85475000000.0,26398000000.0,40398000000.0,-35215000000.0,-12262000000.0,5343000000.0
2017-06-30,2017-06-30,24742256947.9,-8371743052.099998,0.319195,0.19894,0.400524,1.56,11.1991,8129000000.0,2.9186,0.9827,0.269531,18.530498,-1.323237,-0.7703,0.241005,0.114872,0.059427,3.29,96571000000.0,38679000000.0,250312000000.0,162601000000.0,86194000000.0,25489000000.0,39507000000.0,-46781000000.0,8408000000.0,6023000000.0
2017-03-31,2017-03-31,23613967445.0,7608967445.0,0.336015,0.895315,0.405722,1.53,8.9247,8501000000.0,2.8134,1.2048,1.333333,3.693746,-0.637287,-0.8293,1.316859,0.11936,0.12117,3.12,97414000000.0,39523000000.0,225017000000.0,155288000000.0,84008000000.0,24283000000.0,36966000000.0,-49485000000.0,12080000000.0,7381000000.0
2016-12-31,2016-12-31,22366349141.5,7335349141.5,0.309817,0.658342,0.387605,1.5,8.7879,9114000000.0,2.0477,1.2349,0.952055,2.130546,-0.668019,-0.7998,0.925961,0.111453,0.075485,2.89,94733000000.0,36719000000.0,224610000000.0,155801000000.0,84970000000.0,22553000000.0,36673000000.0,-48777000000.0,13400000000.0,8912000000.0
2016-09-30,2016-09-30,21341149408.2,28916149408.2,0.288248,0.407066,0.366008,1.47,8.935,9150000000.0,2.6851,1.0614,0.722581,-1.451427,0.599318,-0.9806,0.696854,0.11055,0.021431,2.71,92703000000.0,33930000000.0,212524000000.0,142152000000.0,74690000000.0,21304000000.0,35998000000.0,-37354000000.0,9866000000.0,10486000000.0
2016-06-30,2016-06-30,20890676001.4,25899676001.4,0.270108,0.318713,0.353918,1.44,8.985,8343000000.0,2.3529,0.7425,0.72973,-0.737051,0.49778,-0.9436,0.684491,0.111643,-0.025924,2.59,91154000000.0,32261000000.0,193468000000.0,121471000000.0,53461000000.0,20539000000.0,33325000000.0,-23950000000.0,-8393000000.0,10431000000.0
2016-03-31,2016-03-31,10767925245.8,20977925245.8,0.12709,-0.368971,0.240004,1.39,9.3683,7469000000.0,2.8954,0.6202,-0.452282,-0.702056,0.714485,-0.8856,-0.47595,0.058463,-0.083307,1.34,86886000000.0,20853000000.0,181869000000.0,107063000000.0,46394000000.0,10481000000.0,31710000000.0,-18944000000.0,-12968000000.0,11315000000.0
2015-12-31,2015-12-31,11877710955.4,22095710955.4,0.13886,-0.333594,0.251374,1.34,9.5367,6552000000.0,2.9973,0.5787,-0.41129,-0.591559,0.729959,-0.8558,-0.433615,0.065982,-0.057482,1.47,88084000000.0,22142000000.0,180098000000.0,103318000000.0,44429000000.0,11710000000.0,31468000000.0,-18942000000.0,-11672000000.0,11514000000.0
2015-09-30,2015-09-30,12545301809.8,18080301809.8,0.149808,-0.26914,0.265696,1.29,9.58,6018000000.0,2.4627,0.498,-0.392157,-0.514692,0.167113,-0.9047,-0.412494,0.073303,-0.008163,1.55,90758000000.0,24114000000.0,172896000000.0,95451000000.0,38567000000.0,12555000000.0,30190000000.0,-20330000000.0,-10620000000.0,11438000000.0
2015-06-30,2015-06-30,11965044199.5,17292044199.5,0.143559,-0.259385,0.261423,1.24,9.7023,5944000000.0,2.4734,0.4407,-0.437262,-0.439413,0.042908,-0.8886,-0.447631,0.070306,0.077701,1.49,93580000000.0,24464000000.0,174472000000.0,94389000000.0,35292000000.0,12193000000.0,29668000000.0,-23001000000.0,-9668000000.0,12053000000.0
2015-03-31,2015-03-31,19892697466.5,12235697466.5,0.225281,0.037844,0.348653,1.21,10.9423,5493000000.0,2.9056,0.3536,-0.090566,1.111966,-0.409385,-0.8793,-0.108218,0.120192,0.137197,2.43,94782000000.0,33046000000.0,176683000000.0,86551000000.0,31868000000.0,20000000000.0,32604000000.0,-26844000000.0,-9644000000.0,12019000000.0
