date,date,nopat,freecashflow,roe,ebitdagrowth,ebitdamargin,cashdividendspershare,bookvaluepershare,capex,currentratio,debttoequity,epsgrowth,investedcapitalgrowth,fcffgrowth,finleverage,netincomegrowth,roa,revenuegrowth,basiceps,operatingrevenue,ebitda,totalassets,totalliabilities,debt,netincome,netcashfromoperatingactivities,netcashfrominvestingactivities,netcashfromfinancingactivities,longterminvestments
2015-03-31,2015-03-31,19892697466.5,12235697466.5,0.225281,0.037844,0.348653,1.21,10.9423,5493000000.0,2.9056,0.3536,-0.090566,1.111966,-0.409385,-0.8793,-0.108218,0.120192,0.137197,2.43,94782000000.0,33046000000.0,176683000000.0,86551000000.0,31868000000.0,20000000000.0,32604000000.0,-26844000000.0,-9644000000.0,12019000000.0
2015-04-01,2015-03-31,19892697466.5,12235697466.5,0.225281,0.037844,0.348653,1.21,10.9423,5493000000.0,2.9056,0.3536,-0.090566,1.111966,-0.409385,-0.8793,-0.108218,0.120192,0.137197,2.43,94782000000.0,33046000000.0,176683000000.0,86551000000.0,31868000000.0,20000000000.0,32604000000.0,-26844000000.0,-9644000000.0,12019000000.0
2015-04-02,2015-03-31,19892697466.5,12235697466.5,0.225281,0.037844,0.348653,1.21,10.9423,5493000000.0,2.9056,0.3536,-0.090566,1.111966,-0.409385,-0.8793,-0.108218,0.120192,0.137197,2.43,94782000000.0,33046000000.0,176683000000.0,86551000000.0,31868000000.0,20000000000.0,32604000000.0,-26844000000.0,-9644000000.0,12019000000.0
2015-04-03,2015-03-31,19892697466.5,12235697466.5,0.225281,0.037844,0.348653,1.21,10.9423,5493000000.0,2.9056,0.3536,-0.090566,1.111966,-0.409385,-0.8793,-0.108218,0.120192,0.137197,2.43,94782000000.0,33046000000.0,176683000000.0,86551000000.0,31868000000.0,20000000000.0,32604000000.0,-26844000000.0,-9644000000.0,12019000000.0
2015-04-06,2015-03-31,19892697466.5,12235697466.5,0.225281,0.037844,0.348653,1.21,10.9423,5493000000.0,2.9056,0.3536,-0.090566,1.111966,-0.409385,-0.8793,-0.108218,0.120192,0.137197,2.43,94782000000.0,33046000000.0,176683000000.0,86551000000.0,31868000000.0,20000000000.0,32604000000.0,-26844000000.0,-9644000000.0,12019000000.0
2015-04-07,2015-03-31,19892697466.5,12235697466.5,0.225281,0.037844,0.348653,1.21,10.9423,5493000000.0,2.9056,0.3536,-0.090566,1.111966,-0.409385,-0.8793,-0.108218,0.120192,0.137197,2.43,94782000000.0,33046000000.0,176683000000.0,86551000000.0,31868000000.0,20000000000.0,32604000000.0,-26844000000.0,-9644000000.0,12019000000.0
2015-04-08,2015-03-31,19892697466.5,12235697466.5,0.225281,0.037844,0.348653,1.21,10.9423,5493000000.0,2.9056,0.3536,-0.090566,1.111966,-0.409385,-0.8793,-0.108218,0.120192,0.137197,2.43,94782000000.0,33046000000.0,176683000000.0,86551000000.0,31868000000.0,20000000000.0,32604000000.0,-26844000000.0,-9644000000.0,12019000000.0
2015-04-09,2015-03-31,19892697466.5,12235697466.5,0.225281,0.037844,0.348653,1.21,10.9423,5493000000.0,2.9056,0.3536,-0.090566,1.111966,-0.409385,-0.8793,-0.108218,0.120192,0.137197,2.43,94782000000.0,33046000000.0,176683000000.0,86551000000.0,31868000000.0,20000000000.0,32604000000.0,-26844000000.0,-9644000000.0,12019000000.0
2015-04-10,2015-03-31,19892697466.5,12235697466.5,0.225281,0.037844,0.348653,1.21,10.9423,5493000000.0,2.9056,0.3536,-0.090566,1.111966,-0.409385,-0.8793,-0.108218,0.120192,0.137197,2.43,94782000000.0,33046000000.0,176683000000.0,86551000000.0,31868000000.0,20000000000.0,32604000000.0,-26844000000.0,-9644000000.0,12019000000.0
2015-04-13,2015-03-31,19892697466.5,12235697466.5,0.225281,0.037844,0.348653,1.21,10.9423,5493000000.0,2.9056,0.3536,-0.090566,1.111966,-0.409385,-0.8793,-0.108218,0.120192,0.137197,2.43,94782000000.0,33046000000.0,176683000000.0,86551000000.0,31868000000.0,20000000000.0,32604000000.0,-26844000000.0,-9644000000.0,12019000000.0
2015-04-14,2015-03-31,19892697466.5,12235697466.5,0.225281,0.037844,0.348653,1.21,10.9423,5493000000.0,2.9056,0.3536,-0.090566,1.111966,-0.409385,-0.8793,-0.108218,0.120192,0.137197,2.43,94782000000.0,33046000000.0,176683000000.0,86551000000.0,31868000000.0,20000000000.0,32604000000.0,-26844000000.0,-9644000000.0,12019000000.0
2015-04-15,2015-03-31,19892697466.5,12235697466.5,0.225281,0.037844,0.348653,1.21,10.9423,5493000000.0,2.9056,0.3536,-0.090566,1.111966,-0.409385,-0.8793,-0.108218,0.120192,0.137197,2.43,94782000000.0,33046000000.0,176683000000.0,86551000000.0,31868000000.0,20000000000.0,32604000000.0,-26844000000.0,-9644000000.0,12019000000.0
