date,one_yr_monthly_beta
2015-01-30,
2015-02-02,1.055
2015-02-03,1.055
2015-02-04,1.055
2015-02-05,1.055
2015-02-06,1.055
2015-02-09,1.055
2015-02-10,1.055
2015-02-11,1.055
2015-02-12,1.055
2015-02-13,1.055
2015-02-16,1.055
2015-02-17,1.055
2015-02-18,1.055
2015-02-19,1.055
2015-02-20,1.055
2015-02-23,1.055
2015-02-24,1.055
2015-02-25,1.055
2015-02-26,1.055
2015-02-27,1.055
2015-03-02,1.5756
2015-03-03,1.5756
2015-03-04,1.5756
2015-03-05,1.5756
2015-03-06,1.5756
2015-03-09,1.5756
2015-03-10,1.5756
2015-03-11,1.5756
2015-03-12,1.5756
2015-03-13,1.5756
2015-03-16,1.5756
2015-03-17,1.5756
2015-03-18,1.5756
2015-03-19,1.5756
2015-03-20,1.5756
2015-03-23,1.5756
2015-03-24,1.5756
2015-03-25,1.5756
2015-03-26,1.5756
2015-03-27,1.5756
2015-03-30,1.5756
2015-03-31,1.9462
2015-04-01,1.9462
2015-04-02,1.9462
2015-04-03,1.9462
2015-04-06,1.9462
2015-04-07,1.9462
2015-04-08,1.9462
2015-04-09,1.9462
2015-04-10,1.9462
2015-04-13,1.9462
2015-04-14,1.9462
2015-04-15,1.9462
2015-04-16,1.9462
2015-04-17,1.9462
2015-04-20,1.9462
2015-04-21,1.9462
2015-04-22,1.9462
2015-04-23,1.9462
2015-04-24,1.9462
2015-04-27,1.9462
2015-04-28,1.9462
2015-04-29,1.9462
2015-04-30,1.9596
2015-05-01,1.9596
2015-05-04,1.9596
2015-05-05,1.9596
2015-05-06,1.9596
2015-05-07,1.9596
2015-05-08,1.9596
2015-05-11,1.9596
2015-05-12,1.9596
2015-05-13,1.9596
2015-05-14,1.9596
2015-05-15,1.9596
2015-05-18,1.9596
2015-05-19,1.9596
2015-05-20,1.9596
2015-05-21,1.9596
2015-05-22,1.9596
2015-05-25,1.9596
2015-05-26,1.9596
2015-05-27,1.9596
2015-05-28,1.9596
2015-05-29,1.9596
2015-06-01,1.9361
2015-06-02,1.9361
2015-06-03,1.9361
2015-06-04,1.9361
2015-06-05,1.9361
2015-06-08,1.9361
2015-06-09,1.9361
2015-06-10,1.9361
2015-06-11,1.9361
2015-06-12,1.9361
2015-06-15,1.9361
2015-06-16,1.9361
2015-06-17,1.9361
2015-06-18,1.9361
2015-06-19,1.9361
2015-06-22,1.9361
2015-06-23,1.9361
2015-06-24,1.9361
2015-06-25,1.9361
2015-06-26,1.9361
2015-06-29,1.9361
2015-06-30,2.0511
2015-07-01,2.0511
2015-07-02,2.0511
2015-07-03,2.0511
2015-07-06,2.0511
2015-07-07,2.0511
2015-07-08,2.0511
2015-07-09,2.0511
2015-07-10,2.0511
2015-07-13,2.0511
2015-07-14,2.0511
2015-07-15,2.0511
2015-07-16,2.0511
2015-07-17,2.0511
2015-07-20,2.0511
2015-07-21,2.0511
2015-07-22,2.0511
2015-07-23,2.0511
2015-07-24,2.0511
2015-07-27,2.0511
2015-07-28,2.0511
2015-07-29,2.0511
2015-07-30,2.0511
2015-07-31,2.1224
2015-08-03,2.1224
2015-08-04,2.1224
2015-08-05,2.1224
2015-08-06,2.1224
2015-08-07,2.1224
2015-08-10,2.1224
2015-08-11,2.1224
2015-08-12,2.1224
2015-08-13,2.1224
2015-08-14,2.1224
2015-08-17,2.1224
2015-08-18,2.1224
2015-08-19,2.1224
2015-08-20,2.1224
2015-08-21,2.1224
2015-08-24,2.1224
2015-08-25,2.1224
2015-08-26,2.1224
2015-08-27,2.1224
2015-08-28,2.1224
2015-08-31,1.8782
2015-09-01,1.8782
2015-09-02,1.8782
2015-09-03,1.8782
2015-09-04,1.8782
2015-09-07,1.8782
2015-09-08,1.8782
2015-09-09,1.8782
2015-09-10,1.8782
2015-09-11,1.8782
2015-09-14,1.8782
2015-09-15,1.8782
2015-09-16,1.8782
2015-09-17,1.8782
2015-09-18,1.8782
2015-09-21,1.8782
2015-09-22,1.8782
2015-09-23,1.8782
2015-09-24,1.8782
2015-09-25,1.8782
2015-09-28,1.8782
2015-09-29,1.8782
2015-09-30,1.7765
2015-10-01,1.7765
2015-10-02,1.7765
2015-10-05,1.7765
2015-10-06,1.7765
2015-10-07,1.7765
2015-10-08,1.7765
2015-10-09,1.7765
2015-10-12,1.7765
2015-10-13,1.7765
2015-10-14,1.7765
2015-10-15,1.7765
2015-10-16,1.7765
2015-10-19,1.7765
2015-10-20,1.7765
2015-10-21,1.7765
2015-10-22,1.7765
2015-10-23,1.7765
2015-10-26,1.7765
2015-10-27,1.7765
2015-10-28,1.7765
2015-10-29,1.7765
2015-10-30,1.7765
2015-11-02,2.042
2015-11-03,2.042
2015-11-04,2.042
2015-11-05,2.042
2015-11-06,2.042
2015-11-09,2.042
2015-11-10,2.042
2015-11-11,2.042
2015-11-12,2.042
2015-11-13,2.042
2015-11-16,2.042
2015-11-17,2.042
2015-11-18,2.042
2015-11-19,2.042
2015-11-20,2.042
2015-11-23,2.042
2015-11-24,2.042
2015-11-25,2.042
2015-11-26,2.042
2015-11-27,2.042
2015-11-30,2.0854
2015-12-01,2.0854
2015-12-02,2.0854
2015-12-03,2.0854
2015-12-04,2.0854
2015-12-07,2.0854
2015-12-08,2.0854
2015-12-09,2.0854
2015-12-10,2.0854
2015-12-11,2.0854
2015-12-14,2.0854
2015-12-15,2.0854
2015-12-16,2.0854
2015-12-17,2.0854
2015-12-18,2.0854
2015-12-21,2.0854
2015-12-22,2.0854
2015-12-23,2.0854
2015-12-24,2.0854
2015-12-25,2.0854
2015-12-28,2.0854
2015-12-29,2.0854
2015-12-30,2.0854
2015-12-31,2.094
2016-01-01,2.094
2016-01-04,2.094
2016-01-05,2.094
2016-01-06,2.094
2016-01-07,2.094
2016-01-08,2.094
2016-01-11,2.094
2016-01-12,2.094
2016-01-13,2.094
2016-01-14,2.094
2016-01-15,2.094
2016-01-18,2.094
2016-01-19,2.094
2016-01-20,2.094
2016-01-21,2.094
2016-01-22,2.094
2016-01-25,2.094
2016-01-26,2.094
2016-01-27,2.094
2016-01-28,2.094
2016-01-29,2.094
2016-02-01,1.9036
2016-02-02,1.9036
2016-02-03,1.9036
2016-02-04,1.9036
2016-02-05,1.9036
2016-02-08,1.9036
2016-02-09,1.9036
2016-02-10,1.9036
2016-02-11,1.9036
2016-02-12,1.9036
2016-02-15,1.9036
2016-02-16,1.9036
2016-02-17,1.9036
2016-02-18,1.9036
2016-02-19,1.9036
2016-02-22,1.9036
2016-02-23,1.9036
2016-02-24,1.9036
2016-02-25,1.9036
2016-02-26,1.9036
2016-02-29,1.7428
2016-03-01,1.7428
2016-03-02,1.7428
2016-03-03,1.7428
2016-03-04,1.7428
2016-03-07,1.7428
2016-03-08,1.7428
2016-03-09,1.7428
2016-03-10,1.7428
2016-03-11,1.7428
2016-03-14,1.7428
2016-03-15,1.7428
2016-03-16,1.7428
2016-03-17,1.7428
2016-03-18,1.7428
2016-03-21,1.7428
2016-03-22,1.7428
