date,date,marketcap,pricetobook,pricetoearnings,dividendyield,earningsyield
2019-08-19,2019-08-19,1073092730000.0,10.4866,27.3469,0.016328,0.036567
2019-08-16,2019-08-16,1055415890000.0,10.3138,26.8964,0.016602,0.03718
2019-08-15,2019-08-15,1036421040000.0,10.1282,26.4124,0.016906,0.037861
2019-08-14,2019-08-14,1038746940000.0,10.151,26.4716,0.016868,0.037776
2019-08-13,2019-08-13,1070999420000.0,10.4661,27.2936,0.016071,0.036639
2019-08-12,2019-08-12,1049285795395.0,10.2539,26.7402,0.016403,0.037397
2019-08-09,2019-08-09,1064122150997.0,10.3989,27.1183,0.016175,0.036875
2019-08-08,2019-08-08,1073240327877.0,10.488,27.3507,0.016037,0.036562
2019-08-07,2019-08-07,1045344888439.0,10.2154,26.6398,0.016465,0.037538
2019-08-06,2019-08-06,1040785799999.0,10.1709,26.5236,0.016537,0.037702
2019-08-05,2019-08-05,1021622174013.0,9.9836,26.0352,0.016847,0.03841
2019-08-02,2019-08-02,1057863063478.0,10.3378,26.9588,0.01627,0.037094
2019-08-01,2019-08-01,1066826694987.0,10.4254,27.1872,0.016134,0.036782
2019-07-31,2019-07-31,1052994884296.0,10.2902,26.8347,0.016345,0.037265
2019-07-30,2019-07-30,1084522139949.0,10.5983,27.6382,0.01587,0.036182
2019-07-29,2019-07-29,1089776682558.0,10.6496,27.7721,0.015794,0.036007
2019-07-26,2019-07-26,1092172135807.0,10.673,27.8331,0.015759,0.035928
2019-07-25,2019-07-25,1083285776983.0,10.5862,27.6067,0.015888,0.036223
2019-07-24,2019-07-24,1087381229310.0,10.6262,27.711,0.015829,0.036087
2019-07-23,2019-07-23,1076331235294.0,10.5182,27.4294,0.015991,0.036457
2019-07-22,2019-07-22,1069685784348.0,10.4533,27.2601,0.01609,0.036684
2019-07-19,2019-07-19,1055699428286.0,10.3166,26.9037,0.016304,0.03717
2019-07-18,2019-07-18,1054153974577.0,10.3015,26.8643,0.016327,0.037224
2019-07-17,2019-07-17,1052994884296.0,10.2902,26.8347,0.016345,0.037265
2019-07-16,2019-07-16,1059253971815.0,10.3514,26.9942,0.016249,0.037045
2019-07-15,2019-07-15,1073317600563.0,10.4888,27.3526,0.016036,0.03656
2019-07-12,2019-07-12,1073317600563.0,10.4888,27.3526,0.016036,0.03656
2019-07-11,2019-07-11,1069453966291.0,10.451,27.2542,0.016094,0.036692
2019-07-10,2019-07-10,1065203968593.0,10.4095,27.1459,0.016158,0.036838
2019-07-09,2019-07-09,1054463065319.0,10.3045,26.8721,0.016323,0.037213
2019-07-08,2019-07-08,1058326699590.0,10.3423,26.9706,0.016263,0.037077
2019-07-05,2019-07-05,1059099426444.0,10.3498,26.9903,0.016251,0.03705
2019-07-03,2019-07-03,1062190333861.0,10.38,27.0691,0.016204,0.036943
2019-07-02,2019-07-02,1055390337544.0,10.3136,26.8958,0.016308,0.037181
2019-07-01,2019-07-01,1048435795856.0,10.2456,26.7185,0.016417,0.037427
2019-06-28,2019-06-28,1033943255365.0,10.8992,29.6038,0.016627,0.033779
2019-06-27,2019-06-27,1035409732063.0,10.9147,29.6458,0.016604,0.033732
2019-06-26,2019-06-26,1033711706413.0,10.8968,29.5972,0.016631,0.033787
2019-06-25,2019-06-25,1029852557206.0,10.8561,29.4867,0.016693,0.033914
2019-06-24,2019-06-24,1063427155302.0,11.21,30.448,0.016166,0.032843
2019-06-21,2019-06-21,1057175333587.0,11.1441,30.269,0.016262,0.033037
2019-06-20,2019-06-20,1057020967619.0,11.1425,30.2646,0.016264,0.033042
2019-06-19,2019-06-19,1047295911619.0,11.04,29.9861,0.016415,0.033349
2019-06-18,2019-06-18,1043205213460.0,10.9969,29.869,0.01648,0.03348
2019-06-17,2019-06-17,1025375944127.0,10.8089,29.3585,0.016766,0.034062
2019-06-14,2019-06-14,1022288624762.0,10.7764,29.2701,0.016817,0.034165
2019-06-13,2019-06-13,1021285245968.0,10.7658,29.2414,0.016833,0.034198
2019-06-12,2019-06-12,1014879058286.0,10.6983,29.058,0.01694,0.034414
2019-06-11,2019-06-11,1019587220317.0,10.7479,29.1928,0.016861,0.034255
2019-06-10,2019-06-10,1023446369524.0,10.7886,29.3033,0.016798,0.034126
2019-06-07,2019-06-07,1014184411429.0,10.6909,29.0381,0.016951,0.034438
2019-06-06,2019-06-06,986552903111.0,10.3997,28.2469,0.017426,0.035402
2019-06-05,2019-06-05,971193489270.0,10.2377,27.8072,0.017702,0.035962
2019-06-04,2019-06-04,950585632508.0,10.0205,27.2171,0.018085,0.036742
2019-06-03,2019-06-03,924960881778.0,9.7504,26.4834,0.018586,0.037759
2019-05-31,2019-05-31,954599147683.0,10.0628,27.332,0.018009,0.036587
2019-05-30,2019-05-30,970421659429.0,10.2296,27.7851,0.017716,0.035991
2019-05-29,2019-05-29,964324203683.0,10.1653,27.6105,0.017828,0.036218
2019-05-28,2019-05-28,973740527746.0,10.2646,27.8801,0.017655,0.035868
2019-05-24,2019-05-24,974357991619.0,10.2711,27.8978,0.017644,0.035845
2019-05-23,2019-05-23,973894893714.0,10.2662,27.8845,0.017653,0.035862
2019-05-22,2019-05-22,985395158349.0,10.3875,28.2138,0.017446,0.035444
2019-05-21,2019-05-21,979452068571.0,10.3248,28.0436,0.017552,0.035659
2019-05-20,2019-05-20,974203625651.0,10.2695,27.8934,0.017647,0.035851
2019-05-17,2019-05-17,988482477714.0,10.42,28.3022,0.017392,0.035333
2019-05-16,2019-05-16,995120214349.0,10.49,28.4922,0.017276,0.035097
2019-05-15,2019-05-15,972659965968.0,10.2532,27.8492,0.017675,0.035908
2019-05-14,2019-05-14,959152943746.0,10.1108,27.4624,0.01421,0.036413
2019-05-13,2019-05-13,948540973391.0,9.999,27.1586,0.014369,0.036821
2019-05-10,2019-05-10,977608544363.0,10.3054,27.9909,0.013942,0.035726
2019-05-09,2019-05-09,965074115611.0,10.1732,27.632,0.014123,0.03619
2019-05-08,2019-05-08,965151013947.0,10.174,27.6342,0.014122,0.036187
