,date,value
0,2019-07-31,1.1005
1,2019-06-30,1.1059
2,2019-05-31,1.1335
3,2019-04-30,1.1286
4,2019-03-31,1.0848
5,2019-02-28,1.0468
6,2019-01-31,1.097
7,2018-12-31,1.3688
8,2018-11-30,1.379
9,2018-10-31,1.4656
10,2018-09-30,1.4823
11,2018-08-31,1.4492
12,2018-07-31,1.4518
13,2018-06-30,1.4506
14,2018-05-31,1.4281
15,2018-04-30,1.3983
16,2018-03-31,1.3839
17,2018-02-28,0.9988
18,2018-01-31,1.1706
19,2017-12-31,0.0818
20,2017-11-30,-0.1822
21,2017-10-31,-0.1856
22,2017-09-30,-0.3868
23,2017-08-31,-0.2778
24,2017-07-31,0.4176
25,2017-06-30,0.5581
26,2017-05-31,0.5275
27,2017-04-30,0.8601
28,2017-03-31,1.0818
29,2017-02-28,1.389
30,2017-01-31,1.1265
31,2016-12-31,1.0252
32,2016-11-30,1.003
33,2016-10-31,1.6038
34,2016-09-30,1.6087
35,2016-08-31,1.5484
36,2016-07-31,1.56
37,2016-06-30,1.538
38,2016-05-31,1.5088
39,2016-04-30,1.5527
40,2016-03-31,1.6376
41,2016-02-29,1.7428
42,2016-01-31,1.9036
43,2015-12-31,2.094
44,2015-11-30,2.0854
45,2015-10-31,2.042
46,2015-09-30,1.7765
47,2015-08-31,1.8782
48,2015-07-31,2.1224
49,2015-06-30,2.0511
50,2015-05-31,1.9361
51,2015-04-30,1.9596
52,2015-03-31,1.9462
53,2015-02-28,1.5756
54,2015-01-31,1.055
