publication_date,compound,headline,neg,neu,pos,label
2016-04-22 01:05:08,0.0772,Intel and Microsoft face different challenges in shifts to cloud,0.0,0.874,0.126,0
2016-04-22 02:18:28,0.25,"Microsoft revenue, profit misses estimates",0.244,0.385,0.372,1
2016-04-27 07:36:08,0.3612,Is India ready for the 'thinnest' laptop age?,0.0,0.737,0.263,1
2016-05-11 06:32:13,0.3612,"Are we ready for chatbots, the next technology wave?",0.0,0.762,0.238,1
2016-05-25 21:13:59,-0.5994,"Microsoft to cut 1,850 jobs at struggling smartphone unit",0.412,0.588,0.0,-1
2016-05-30 07:50:04,0.0,Microsoft seeks to empower every Indian: Satya Nadella,0.0,1.0,0.0,0
2016-05-31 11:26:04,0.0,Newgen Software's unique app now on Windows platform,0.0,1.0,0.0,0
2016-06-13 10:12:03,0.0,Microsoft launches its online store with Tata CLiQ,0.0,1.0,0.0,0
2016-06-14 00:19:02,0.0,Microsoft to buy LinkedIn for $26.2 billion in its largest deal,0.0,1.0,0.0,0
2016-06-16 22:22:43,0.0,Microsoft puts its cloud into cannabis startup,0.0,1.0,0.0,0
2016-06-21 12:54:04,0.0,Edge is most power-efficient browser on Windows 10: Microsoft,0.0,1.0,0.0,0
2016-06-22 12:26:04,0.1779,Microsoft showcases SaaS cloud solutions in India,0.0,0.779,0.221,1
2016-06-29 04:38:04,-0.2115,"All may not be lost for struggling Nokia, BlackBerry",0.238,0.595,0.167,-1
2016-06-29 17:43:46,0.0,Windows 10 anniversary update set for August,0.0,1.0,0.0,0
2016-07-07 12:00:00,0.5859,SoftwareONE recognized as Winner for 2016 Microsoft Volume Licensing Partner,0.0,0.703,0.297,1
2016-07-07 17:12:37,0.0,Microsoft leadership shake-up as veteran exec departs,0.0,1.0,0.0,0
2016-07-14 19:11:06,0.6124,Microsoft wins landmark appeal over seizure of foreign emails,0.0,0.583,0.417,1
2016-07-14 21:06:25,0.743,Microsoft wins appeal to protect overseas data,0.0,0.442,0.558,1
2016-07-15 20:52:58,0.0258,Windows 10 to take longer to reach billion-device goal,0.0,0.879,0.121,0
2016-07-18 14:00:00,0.8442,Autotask Helps MSPs Improve Efficiency and Profitability of Microsoft® Cloud Service Delivery,0.0,0.442,0.558,1
2016-07-19 20:52:32,0.1531,Microsoft returns to profit one year after big loss,0.189,0.574,0.238,1
2016-07-19 21:49:14,0.6808,Strong cloud business boosts Microsoft's quarterly results,0.0,0.472,0.528,1
2016-07-19 21:52:40,0.2732,"Microsoft delivers earnings surprise, stock rises",0.0,0.704,0.296,1
2016-07-20 04:14:25,0.5423,"Cloud business boosts Microsoft's quarterly revenue, shares rise",0.0,0.571,0.429,1
2016-07-20 12:05:00,0.4019,Sprinklr Raises $105 Million at $1.8 Billion Valuation to Help Enterprises Unify Their Front Office,0.0,0.838,0.162,1
2016-07-20 18:32:53,0.0,France serves notice to Mircosoft on data tracking,0.0,1.0,0.0,0
2016-07-20 18:52:06,0.0,US STOCKS-Microsoft propels Wall Street to new record highs,0.0,1.0,0.0,0
2016-07-20 20:22:15,0.3818,US STOCKS-Microsoft helps Wall St to another day of record highs,0.0,0.794,0.206,1
2016-07-20 23:12:23,0.0,France serves notice to Microsoft on data tracking,0.0,1.0,0.0,0
2016-07-21 02:08:39,0.4215,Asians stocks mostly higher as Japan leads on stimulus hopes,0.0,0.763,0.237,1
2016-07-21 02:37:04,-0.296,France orders Microsoft to stop collecting excessive user data,0.216,0.784,0.0,-1
2016-07-21 23:49:00,-0.5267,Silicon Valley's Yahoo diaspora mourns company's decline,0.362,0.638,0.0,-1
2016-07-26 12:14:03,0.4019,Blackberry offers secured apps via Microsoft's Azure platform,0.0,0.722,0.278,1
2016-07-26 13:27:26,0.0,EU privacy watchdogs keep open mind on new U.S. data pact,0.0,1.0,0.0,0
2016-07-26 16:15:54,-0.6249,The identity crisis that led to Yahoo's demise,0.369,0.631,0.0,-1
2016-07-27 00:27:18,-0.6249,The identity crisis led to Yahoo's demise,0.406,0.594,0.0,-1
2016-07-27 07:29:29,-0.5719,Mapped: Do you live in a scam hot spot?,0.346,0.654,0.0,-1
2016-07-27 12:48:04,0.0,Edgewater Fullscope Named to Prestigious Microsoft Inner Circle for the 10th Time,0.0,1.0,0.0,0
2016-07-28 19:30:26,0.5267,Oracle to buy NetSuite for $9.3 billion to gain cloud computing clout,0.0,0.764,0.236,1
2016-07-28 21:55:44,0.743,Oracle to gain cloud clout with NetSuite deal; Ellison profits,0.0,0.559,0.441,1
2016-07-28 22:23:14,-0.2732,"Microsoft to cut 2,850 more jobs",0.296,0.704,0.0,-1
2016-07-29 00:23:31,-0.296,Microsoft making additional job cuts in phone business,0.239,0.761,0.0,-1
2016-07-29 02:14:39,0.0,Microsoft further trims smartphone division jobs,0.0,1.0,0.0,0
2016-07-29 11:57:11,-0.296,Microsoft making additional job cuts,0.355,0.645,0.0,-1
2016-07-29 15:06:12,0.1779,Alphabet and Amazon wind up stellar quarter for big tech,0.0,0.841,0.159,1
