date,marketcap,pricetobook,pricetoearnings,dividendyield,earningsyield,nopat,freecashflow,roe,ebitdagrowth,ebitdamargin,cashdividendspershare,bookvaluepershare,capex,currentratio,debttoequity,epsgrowth,investedcapitalgrowth,fcffgrowth,finleverage,netincomegrowth,roa,revenuegrowth,basiceps,operatingrevenue,ebitda,totalassets,totalliabilities,debt,netincome,netcashfromoperatingactivities,netcashfrominvestingactivities,netcashfromfinancingactivities,longterminvestments,one_yr_monthly_beta
01/07/2019,2.49E+11,4.2415,21.7275,0.040125,0.046025,13767905637,24840905637,0.177442,-0.017161,0.342413,1.4,10.2238,2116000000,1.5393,0.7631,-0.455556,-0.119123,1.114375,0.348,-0.472035,0.071919,0.022516,1.99,53859000000,18442000000,1.55E+11,96263000000,45143000000,11507000000,11507000000,2408000000,-18188000000,2859000000,0.2986
28/06/2019,2.47E+11,4.1979,21.5041,0.040542,0.046503,13767905637,24840905637,0.177442,-0.017161,0.342413,1.4,10.2238,2116000000,1.5393,0.7631,-0.455556,-0.119123,1.114375,0.348,-0.472035,0.071919,0.022516,1.99,53859000000,18442000000,1.55E+11,96263000000,45143000000,11507000000,11507000000,2408000000,-18188000000,2859000000,0.3185
27/06/2019,2.47E+11,4.2085,21.5587,0.040439,0.046385,13767905637,24840905637,0.177442,-0.017161,0.342413,1.4,10.2238,2116000000,1.5393,0.7631,-0.455556,-0.119123,1.114375,0.348,-0.472035,0.071919,0.022516,1.99,53859000000,18442000000,1.55E+11,96263000000,45143000000,11507000000,11507000000,2408000000,-18188000000,2859000000,0.3185
26/06/2019,2.45E+11,4.1659,21.3403,0.040853,0.04686,13767905637,24840905637,0.177442,-0.017161,0.342413,1.4,10.2238,2116000000,1.5393,0.7631,-0.455556,-0.119123,1.114375,0.348,-0.472035,0.071919,0.022516,1.99,53859000000,18442000000,1.55E+11,96263000000,45143000000,11507000000,11507000000,2408000000,-18188000000,2859000000,0.3185
25/06/2019,2.49E+11,4.2405,21.7225,0.040134,0.046035,13767905637,24840905637,0.177442,-0.017161,0.342413,1.4,10.2238,2116000000,1.5393,0.7631,-0.455556,-0.119123,1.114375,0.348,-0.472035,0.071919,0.022516,1.99,53859000000,18442000000,1.55E+11,96263000000,45143000000,11507000000,11507000000,2408000000,-18188000000,2859000000,0.3185
24/06/2019,2.49E+11,4.2405,21.7225,0.040134,0.046035,13767905637,24840905637,0.177442,-0.017161,0.342413,1.4,10.2238,2116000000,1.5393,0.7631,-0.455556,-0.119123,1.114375,0.348,-0.472035,0.071919,0.022516,1.99,53859000000,18442000000,1.55E+11,96263000000,45143000000,11507000000,11507000000,2408000000,-18188000000,2859000000,0.3185
21/06/2019,2.49E+11,4.2318,21.6779,0.040217,0.04613,13767905637,24840905637,0.177442,-0.017161,0.342413,1.4,10.2238,2116000000,1.5393,0.7631,-0.455556,-0.119123,1.114375,0.348,-0.472035,0.071919,0.022516,1.99,53859000000,18442000000,1.55E+11,96263000000,45143000000,11507000000,11507000000,2408000000,-18188000000,2859000000,0.3185
20/06/2019,2.48E+11,4.225,21.6431,0.040282,0.046204,13767905637,24840905637,0.177442,-0.017161,0.342413,1.4,10.2238,2116000000,1.5393,0.7631,-0.455556,-0.119123,1.114375,0.348,-0.472035,0.071919,0.022516,1.99,53859000000,18442000000,1.55E+11,96263000000,45143000000,11507000000,11507000000,2408000000,-18188000000,2859000000,0.3185
19/06/2019,2.48E+11,4.2153,21.5935,0.040374,0.04631,13767905637,24840905637,0.177442,-0.017161,0.342413,1.4,10.2238,2116000000,1.5393,0.7631,-0.455556,-0.119123,1.114375,0.348,-0.472035,0.071919,0.022516,1.99,53859000000,18442000000,1.55E+11,96263000000,45143000000,11507000000,11507000000,2408000000,-18188000000,2859000000,0.3185
18/06/2019,2.45E+11,4.1737,21.38,0.040777,0.046773,13767905637,24840905637,0.177442,-0.017161,0.342413,1.4,10.2238,2116000000,1.5393,0.7631,-0.455556,-0.119123,1.114375,0.348,-0.472035,0.071919,0.022516,1.99,53859000000,18442000000,1.55E+11,96263000000,45143000000,11507000000,11507000000,2408000000,-18188000000,2859000000,0.3185
17/06/2019,2.44E+11,4.1553,21.2857,0.040958,0.04698,13767905637,24840905637,0.177442,-0.017161,0.342413,1.4,10.2238,2116000000,1.5393,0.7631,-0.455556,-0.119123,1.114375,0.348,-0.472035,0.071919,0.022516,1.99,53859000000,18442000000,1.55E+11,96263000000,45143000000,11507000000,11507000000,2408000000,-18188000000,2859000000,0.3185
14/06/2019,2.44E+11,4.1436,21.2261,0.041073,0.047112,13767905637,24840905637,0.177442,-0.017161,0.342413,1.4,10.2238,2116000000,1.5393,0.7631,-0.455556,-0.119123,1.114375,0.348,-0.472035,0.071919,0.022516,1.99,53859000000,18442000000,1.55E+11,96263000000,45143000000,11507000000,11507000000,2408000000,-18188000000,2859000000,0.3185
13/06/2019,2.42E+11,4.1184,21.0971,0.041324,0.0474,13767905637,24840905637,0.177442,-0.017161,0.342413,1.4,10.2238,2116000000,1.5393,0.7631,-0.455556,-0.119123,1.114375,0.348,-0.472035,0.071919,0.022516,1.99,53859000000,18442000000,1.55E+11,96263000000,45143000000,11507000000,11507000000,2408000000,-18188000000,2859000000,0.3185
12/06/2019,2.45E+11,4.1746,21.385,0.040768,0.046762,13767905637,24840905637,0.177442,-0.017161,0.342413,1.4,10.2238,2116000000,1.5393,0.7631,-0.455556,-0.119123,1.114375,0.348,-0.472035,0.071919,0.022516,1.99,53859000000,18442000000,1.55E+11,96263000000,45143000000,11507000000,11507000000,2408000000,-18188000000,2859000000,0.3185
11/06/2019,2.43E+11,4.1349,21.1815,0.04116,0.047211,13767905637,24840905637,0.177442,-0.017161,0.342413,1.4,10.2238,2116000000,1.5393,0.7631,-0.455556,-0.119123,1.114375,0.348,-0.472035,0.071919,0.022516,1.99,53859000000,18442000000,1.55E+11,96263000000,45143000000,11507000000,11507000000,2408000000,-18188000000,2859000000,0.3185
10/06/2019,2.45E+11,4.1737,21.38,0.040777,0.046773,13767905637,24840905637,0.177442,-0.017161,0.342413,1.4,10.2238,2116000000,1.5393,0.7631,-0.455556,-0.119123,1.114375,0.348,-0.472035,0.071919,0.022516,1.99,53859000000,18442000000,1.55E+11,96263000000,45143000000,11507000000,11507000000,2408000000,-18188000000,2859000000,0.3185
07/06/2019,2.45E+11,4.1591,21.3056,0.04092,0.046936,13767905637,24840905637,0.177442,-0.017161,0.342413,1.4,10.2238,2116000000,1.5393,0.7631,-0.455556,-0.119123,1.114375,0.348,-0.472035,0.071919,0.022516,1.99,53859000000,18442000000,1.55E+11,96263000000,45143000000,11507000000,11507000000,2408000000,-18188000000,2859000000,0.3185
06/06/2019,2.43E+11,4.1388,21.2013,0.041121,0.047167,13767905637,24840905637,0.177442,-0.017161,0.342413,1.4,10.2238,2116000000,1.5393,0.7631,-0.455556,-0.119123,1.114375,0.348,-0.472035,0.071919,0.022516,1.99,53859000000,18442000000,1.55E+11,96263000000,45143000000,11507000000,11507000000,2408000000,-18188000000,2859000000,0.3185
05/06/2019,2.42E+11,4.1165,21.0871,0.041344,0.047422,13767905637,24840905637,0.177442,-0.017161,0.342413,1.4,10.2238,2116000000,1.5393,0.7631,-0.455556,-0.119123,1.114375,0.348,-0.472035,0.071919,0.022516,1.99,53859000000,18442000000,1.55E+11,96263000000,45143000000,11507000000,11507000000,2408000000,-18188000000,2859000000,0.3185
04/06/2019,2.41E+11,4.0923,20.963,0.041588,0.047703,13767905637,24840905637,0.177442,-0.017161,0.342413,1.4,10.2238,2116000000,1.5393,0.7631,-0.455556,-0.119123,1.114375,0.348,-0.472035,0.071919,0.022516,1.99,53859000000,18442000000,1.55E+11,96263000000,45143000000,11507000000,11507000000,2408000000,-18188000000,2859000000,0.3185
03/06/2019,2.39E+11,4.0622,20.8092,0.041896,0.048056,13767905637,24840905637,0.177442,-0.017161,0.342413,1.4,10.2238,2116000000,1.5393,0.7631,-0.455556,-0.119123,1.114375,0.348,-0.472035,0.071919,0.022516,1.99,53859000000,18442000000,1.55E+11,96263000000,45143000000,11507000000,11507000000,2408000000,-18188000000,2859000000,0.3185
31/05/2019,2.37E+11,4.0235,20.6106,0.0423,0.048519,13767905637,24840905637,0.177442,-0.017161,0.342413,1.4,10.2238,2116000000,1.5393,0.7631,-0.455556,-0.119123,1.114375,0.348,-0.472035,0.071919,0.022516,1.99,53859000000,18442000000,1.55E+11,96263000000,45143000000,11507000000,11507000000,2408000000,-18188000000,2859000000,0.3185
30/05/2019,2.39E+11,4.0603,20.7992,0.041916,0.048079,13767905637,24840905637,0.177442,-0.017161,0.342413,1.4,10.2238,2116000000,1.5393,0.7631,-0.455556,-0.119123,1.114375,0.348,-0.472035,0.071919,0.022516,1.99,53859000000,18442000000,1.55E+11,96263000000,45143000000,11507000000,11507000000,2408000000,-18188000000,2859000000,0.3185
29/05/2019,2.38E+11,4.0428,20.7099,0.042097,0.048286,13767905637,24840905637,0.177442,-0.017161,0.342413,1.4,10.2238,2116000000,1.5393,0.7631,-0.455556,-0.119123,1.114375,0.348,-0.472035,0.071919,0.022516,1.99,53859000000,18442000000,1.55E+11,96263000000,45143000000,11507000000,11507000000,2408000000,-18188000000,2859000000,0.281
28/05/2019,2.39E+11,4.0603,20.7992,0.041916,0.048079,13767905637,24840905637,0.177442,-0.017161,0.342413,1.4,10.2238,2116000000,1.5393,0.7631,-0.455556,-0.119123,1.114375,0.348,-0.472035,0.071919,0.022516,1.99,53859000000,18442000000,1.55E+11,96263000000,45143000000,11507000000,11507000000,2408000000,-18188000000,2859000000,0.281
24/05/2019,2.39E+11,4.0651,20.824,0.041866,0.048021,13767905637,24840905637,0.177442,-0.017161,0.342413,1.4,10.2238,2116000000,1.5393,0.7631,-0.455556,-0.119123,1.114375,0.348,-0.472035,0.071919,0.022516,1.99,53859000000,18442000000,1.55E+11,96263000000,45143000000,11507000000,11507000000,2408000000,-18188000000,2859000000,0.281
