date,date,nopat,freecashflow,roe,ebitdagrowth,ebitdamargin,cashdividendspershare,bookvaluepershare,capex,currentratio,debttoequity,epsgrowth,investedcapitalgrowth,fcffgrowth,finleverage,netincomegrowth,roa,revenuegrowth,basiceps,operatingrevenue,ebitda,totalassets,totalliabilities,debt,netincome,netcashfromoperatingactivities,netcashfrominvestingactivities,netcashfromfinancingactivities,longterminvestments
08/08/2019,31/03/2019,13767905637,24840905637,0.177442,-0.017161,0.342413,1.4,10.2238,2116000000,1.5393,0.7631,-0.455556,-0.119123,1.114375,0.348,-0.472035,0.071919,0.022516,1.99,53859000000,18442000000,1.55E+11,96263000000,45143000000,11507000000,11507000000,2408000000,-18188000000,2859000000
07/08/2019,31/03/2019,13767905637,24840905637,0.177442,-0.017161,0.342413,1.4,10.2238,2116000000,1.5393,0.7631,-0.455556,-0.119123,1.114375,0.348,-0.472035,0.071919,0.022516,1.99,53859000000,18442000000,1.55E+11,96263000000,45143000000,11507000000,11507000000,2408000000,-18188000000,2859000000
06/08/2019,31/03/2019,13767905637,24840905637,0.177442,-0.017161,0.342413,1.4,10.2238,2116000000,1.5393,0.7631,-0.455556,-0.119123,1.114375,0.348,-0.472035,0.071919,0.022516,1.99,53859000000,18442000000,1.55E+11,96263000000,45143000000,11507000000,11507000000,2408000000,-18188000000,2859000000
05/08/2019,31/03/2019,13767905637,24840905637,0.177442,-0.017161,0.342413,1.4,10.2238,2116000000,1.5393,0.7631,-0.455556,-0.119123,1.114375,0.348,-0.472035,0.071919,0.022516,1.99,53859000000,18442000000,1.55E+11,96263000000,45143000000,11507000000,11507000000,2408000000,-18188000000,2859000000
02/08/2019,31/03/2019,13767905637,24840905637,0.177442,-0.017161,0.342413,1.4,10.2238,2116000000,1.5393,0.7631,-0.455556,-0.119123,1.114375,0.348,-0.472035,0.071919,0.022516,1.99,53859000000,18442000000,1.55E+11,96263000000,45143000000,11507000000,11507000000,2408000000,-18188000000,2859000000
01/08/2019,31/03/2019,13767905637,24840905637,0.177442,-0.017161,0.342413,1.4,10.2238,2116000000,1.5393,0.7631,-0.455556,-0.119123,1.114375,0.348,-0.472035,0.071919,0.022516,1.99,53859000000,18442000000,1.55E+11,96263000000,45143000000,11507000000,11507000000,2408000000,-18188000000,2859000000
31/07/2019,31/03/2019,13767905637,24840905637,0.177442,-0.017161,0.342413,1.4,10.2238,2116000000,1.5393,0.7631,-0.455556,-0.119123,1.114375,0.348,-0.472035,0.071919,0.022516,1.99,53859000000,18442000000,1.55E+11,96263000000,45143000000,11507000000,11507000000,2408000000,-18188000000,2859000000
30/07/2019,31/03/2019,13767905637,24840905637,0.177442,-0.017161,0.342413,1.4,10.2238,2116000000,1.5393,0.7631,-0.455556,-0.119123,1.114375,0.348,-0.472035,0.071919,0.022516,1.99,53859000000,18442000000,1.55E+11,96263000000,45143000000,11507000000,11507000000,2408000000,-18188000000,2859000000
29/07/2019,31/03/2019,13767905637,24840905637,0.177442,-0.017161,0.342413,1.4,10.2238,2116000000,1.5393,0.7631,-0.455556,-0.119123,1.114375,0.348,-0.472035,0.071919,0.022516,1.99,53859000000,18442000000,1.55E+11,96263000000,45143000000,11507000000,11507000000,2408000000,-18188000000,2859000000
26/07/2019,31/03/2019,13767905637,24840905637,0.177442,-0.017161,0.342413,1.4,10.2238,2116000000,1.5393,0.7631,-0.455556,-0.119123,1.114375,0.348,-0.472035,0.071919,0.022516,1.99,53859000000,18442000000,1.55E+11,96263000000,45143000000,11507000000,11507000000,2408000000,-18188000000,2859000000
