date,one_yr_monthly_beta
31/07/2019,0.2986
30/07/2019,0.3185
29/07/2019,0.3185
26/07/2019,0.3185
25/07/2019,0.3185
24/07/2019,0.3185
23/07/2019,0.3185
22/07/2019,0.3185
19/07/2019,0.3185
18/07/2019,0.3185
17/07/2019,0.3185
16/07/2019,0.3185
15/07/2019,0.3185
12/07/2019,0.3185
11/07/2019,0.3185
10/07/2019,0.3185
09/07/2019,0.3185
08/07/2019,0.3185
05/07/2019,0.3185
04/07/2019,0.3185
03/07/2019,0.3185
02/07/2019,0.3185
01/07/2019,0.3185
28/06/2019,0.281
27/06/2019,0.281
26/06/2019,0.281
25/06/2019,0.281
24/06/2019,0.281
21/06/2019,0.281
20/06/2019,0.281
19/06/2019,0.281
18/06/2019,0.281
17/06/2019,0.281
14/06/2019,0.281
13/06/2019,0.281
12/06/2019,0.281
11/06/2019,0.281
10/06/2019,0.281
07/06/2019,0.281
06/06/2019,0.281
05/06/2019,0.281
04/06/2019,0.281
03/06/2019,0.281
31/05/2019,0.281
30/05/2019,0.3956
29/05/2019,0.3956
28/05/2019,0.3956
27/05/2019,0.3956
24/05/2019,0.3956
23/05/2019,0.3956
22/05/2019,0.3956
21/05/2019,0.3956
20/05/2019,0.3956
17/05/2019,0.3956
16/05/2019,0.3956
15/05/2019,0.3956
14/05/2019,0.3956
13/05/2019,0.3956
10/05/2019,0.3956
09/05/2019,0.3956
08/05/2019,0.3956
07/05/2019,0.3956
06/05/2019,0.3956
03/05/2019,0.3956
02/05/2019,0.3956
01/05/2019,0.3956
30/04/2019,0.3956
29/04/2019,0.5366
26/04/2019,0.5366
25/04/2019,0.5366
24/04/2019,0.5366
23/04/2019,0.5366
22/04/2019,0.5366
19/04/2019,0.5366
18/04/2019,0.5366
17/04/2019,0.5366
16/04/2019,0.5366
15/04/2019,0.5366
12/04/2019,0.5366
11/04/2019,0.5366
10/04/2019,0.5366
09/04/2019,0.5366
08/04/2019,0.5366
05/04/2019,0.5366
04/04/2019,0.5366
03/04/2019,0.5366
02/04/2019,0.5366
01/04/2019,0.5366
29/03/2019,0.5774
28/03/2019,0.5774
