date,date,marketcap,pricetobook,pricetoearnings,dividendyield,earningsyield
2019-08-07,2019-08-07,210335000000.0,3.5779,18.3283,0.048114,0.054561
2019-08-06,2019-08-06,212462500000.0,3.6141,18.5136,0.047632,0.054014
2019-08-05,2019-08-05,212520000000.0,3.6151,18.5186,0.047619,0.054
2019-08-02,2019-08-02,218500000000.0,3.7168,19.0397,0.046316,0.052522
2019-08-01,2019-08-01,219937500000.0,3.7413,19.165,0.046013,0.052178
2019-07-31,2019-07-31,221260000000.0,3.7638,19.2802,0.045218,0.051867
2019-07-30,2019-07-30,220975164779.0,3.7589,19.2554,0.045277,0.051933
2019-07-29,2019-07-29,236128398558.0,4.0167,20.5758,0.042371,0.048601
2019-07-26,2019-07-26,245470993821.0,4.1756,21.3899,0.040758,0.046751
2019-07-25,2019-07-25,243078377961.0,4.1349,21.1815,0.04116,0.047211
2019-07-24,2019-07-24,244331652935.0,4.1562,21.2907,0.040948,0.046969
2019-07-23,2019-07-23,245470993821.0,4.1756,21.3899,0.040758,0.046751
2019-07-22,2019-07-22,243932883625.0,4.1494,21.2559,0.041015,0.047046
2019-07-19,2019-07-19,243648048404.0,4.1446,21.2311,0.041063,0.047101
2019-07-18,2019-07-18,245300092688.0,4.1727,21.3751,0.040787,0.046784
2019-07-17,2019-07-17,243477147271.0,4.1417,21.2162,0.041092,0.047134
2019-07-16,2019-07-16,244103784758.0,4.1523,21.2708,0.040987,0.047013
2019-07-15,2019-07-15,243534114315.0,4.1427,21.2212,0.041083,0.047123
2019-07-12,2019-07-12,241540267765.0,4.1087,21.0474,0.041422,0.047512
2019-07-11,2019-07-11,244844356334.0,4.1649,21.3353,0.040863,0.046871
2019-07-10,2019-07-10,250996797116.0,4.2696,21.8715,0.039861,0.045722
2019-07-09,2019-07-09,247066071061.0,4.2027,21.5289,0.040495,0.046449
2019-07-08,2019-07-08,246667301751.0,4.1959,21.4942,0.040561,0.046524
2019-07-05,2019-07-05,250199258496.0,4.256,21.802,0.039988,0.045867
2019-07-03,2019-07-03,252933676622.0,4.3025,22.0402,0.039556,0.045372
2019-07-02,2019-07-02,251908269825.0,4.2851,21.9509,0.039717,0.045556
2019-07-01,2019-07-01,249344752832.0,4.2415,21.7275,0.040125,0.046025
2019-06-28,2019-06-28,246781235839.0,4.1979,21.5041,0.040542,0.046503
2019-06-27,2019-06-27,247407873326.0,4.2085,21.5587,0.040439,0.046385
2019-06-26,2019-06-26,244901323378.0,4.1659,21.3403,0.040853,0.04686
2019-06-25,2019-06-25,249287785788.0,4.2405,21.7225,0.040134,0.046035
2019-06-24,2019-06-24,249287785788.0,4.2405,21.7225,0.040134,0.046035
2019-06-21,2019-06-21,248775082389.0,4.2318,21.6779,0.040217,0.04613
2019-06-20,2019-06-20,248376313079.0,4.225,21.6431,0.040282,0.046204
2019-06-19,2019-06-19,247806642636.0,4.2153,21.5935,0.040374,0.04631
2019-06-18,2019-06-18,245357059732.0,4.1737,21.38,0.040777,0.046773
2019-06-17,2019-06-17,244274685891.0,4.1553,21.2857,0.040958,0.04698
2019-06-14,2019-06-14,243591081359.0,4.1436,21.2261,0.041073,0.047112
2019-06-13,2019-06-13,242109938208.0,4.1184,21.0971,0.041324,0.0474
2019-06-12,2019-06-12,245414026777.0,4.1746,21.385,0.040768,0.046762
2019-06-11,2019-06-11,243078377961.0,4.1349,21.1815,0.04116,0.047211
2019-06-10,2019-06-10,245357059732.0,4.1737,21.38,0.040777,0.046773
2019-06-07,2019-06-07,244502554068.0,4.1591,21.3056,0.04092,0.046936
2019-06-06,2019-06-06,243306246138.0,4.1388,21.2013,0.041121,0.047167
2019-06-05,2019-06-05,241996004119.0,4.1165,21.0871,0.041344,0.047422
2019-06-04,2019-06-04,240571828012.0,4.0923,20.963,0.041588,0.047703
2019-06-03,2019-06-03,238805849640.0,4.0622,20.8092,0.041896,0.048056
2019-05-31,2019-05-31,236527167868.0,4.0235,20.6106,0.0423,0.048519
2019-05-30,2019-05-30,238691915551.0,4.0603,20.7992,0.041916,0.048079
2019-05-29,2019-05-29,237666508754.0,4.0428,20.7099,0.042097,0.048286
2019-05-28,2019-05-28,238691915551.0,4.0603,20.7992,0.041916,0.048079
2019-05-24,2019-05-24,238976750772.0,4.0651,20.824,0.041866,0.048021
2019-05-23,2019-05-23,238805849640.0,4.0622,20.8092,0.041896,0.048056
2019-05-22,2019-05-22,239204618950.0,4.069,20.8439,0.041826,0.047976
2019-05-21,2019-05-21,237381673532.0,4.038,20.6851,0.042147,0.048344
2019-05-20,2019-05-20,236925937178.0,4.0302,20.6453,0.042228,0.048437
2019-05-17,2019-05-17,236242332647.0,4.0186,20.5858,0.042351,0.048577
2019-05-16,2019-05-16,237210772400.0,4.0351,20.6702,0.042178,0.048379
2019-05-15,2019-05-15,234419387230.0,3.9876,20.4269,0.04268,0.048955
2019-05-14,2019-05-14,231628002060.0,3.9401,20.1837,0.043194,0.049545
2019-05-13,2019-05-13,231115298661.0,3.9314,20.139,0.04329,0.049655
2019-05-10,2019-05-10,231969804325.0,3.9459,20.2135,0.043131,0.049472
2019-05-09,2019-05-09,231514067971.0,3.9382,20.1738,0.043216,0.049569
2019-05-08,2019-05-08,231229232750.0,3.9333,20.1489,0.042771,0.04963
2019-05-07,2019-05-07,230551637928.0,3.9218,20.0899,0.042897,0.049776
2019-05-06,2019-05-06,235181869207.0,4.0006,20.4934,0.042053,0.048796
2019-05-03,2019-05-03,233713747094.0,3.9756,20.3654,0.042317,0.049103
2019-05-02,2019-05-02,231568030160.0,3.9391,20.1785,0.042709,0.049558
2019-05-01,2019-05-01,230212840518.0,3.9161,20.0604,0.04296,0.04985
2019-04-30,2019-04-30,229309380756.0,3.9007,19.9816,0.04313,0.050046
2019-04-29,2019-04-29,223549824776.0,3.8027,19.4798,0.044241,0.051335
2019-04-26,2019-04-26,225695541710.0,3.8392,19.6667,0.04382,0.050847
2019-04-25,2019-04-25,223662757246.0,3.8046,19.4896,0.044218,0.051309
2019-04-24,2019-04-24,222307567603.0,3.7816,19.3715,0.044488,0.051622
2019-04-23,2019-04-23,222589898779.0,3.7864,19.3961,0.044431,0.051557
2019-04-22,2019-04-22,220105384434.0,3.7441,19.1796,0.044933,0.052139
2019-04-18,2019-04-18,222364033838.0,3.7825,19.3764,0.044477,0.051609
2019-04-17,2019-04-17,225187345594.0,3.8306,19.6225,0.043919,0.050962
2019-04-16,2019-04-16,231059834044.0,3.9305,20.1342,0.042803,0.049667
2019-04-15,2019-04-15,237666383552.0,4.0428,20.7099,0.041613,0.048286
2019-04-12,2019-04-12,235520666618.0,4.0063,20.5229,0.041992,0.048726
2019-04-11,2019-04-11,238682775783.0,4.0601,20.7984,0.041436,0.048081
2019-04-10,2019-04-10,241280222598.0,4.1043,21.0248,0.04099,0.047563
2019-04-09,2019-04-09,241901351184.0,4.1149,21.0789,0.040884,0.047441
2019-04-08,2019-04-08,243595338237.0,4.1437,21.2265,0.0406,0.047111
2019-04-05,2019-04-05,242748344711.0,4.1293,21.1527,0.040742,0.047275
2019-04-04,2019-04-04,241336688833.0,4.1053,21.0297,0.04098,0.047552
2019-04-03,2019-04-03,241901351184.0,4.1149,21.0789,0.040884,0.047441
2019-04-02,2019-04-02,242296614830.0,4.1216,21.1133,0.040818,0.047363
2019-04-01,2019-04-01,241901351184.0,4.1149,21.0789,0.040884,0.047441
2019-03-29,2019-03-29,249279465148.0,3.9325,22.3509,0.041241,0.044741
2019-03-28,2019-03-28,248222947519.0,3.9159,22.2562,0.041416,0.044931
2019-03-27,2019-03-27,246638171074.0,3.8909,22.1141,0.041682,0.04522
2019-03-26,2019-03-26,248985988029.0,3.9279,22.3246,0.041289,0.044794
2019-03-25,2019-03-25,245875130564.0,3.8788,22.0456,0.041812,0.04536
2019-03-22,2019-03-22,245640348869.0,3.8751,22.0246,0.041852,0.045404
2019-03-21,2019-03-21,248575120062.0,3.9214,22.2877,0.041357,0.044868
2019-03-20,2019-03-20,247518602432.0,3.9048,22.193,0.041534,0.045059
2019-03-19,2019-03-19,248281642942.0,3.9168,22.2614,0.041406,0.044921
2019-03-18,2019-03-18,245405567173.0,3.8714,22.0035,0.041892,0.045447
2019-03-15,2019-03-15,245229480902.0,3.8686,21.9878,0.041922,0.04548
2019-03-14,2019-03-14,241766450894.0,3.814,21.6773,0.042522,0.046131
2019-03-13,2019-03-13,246579475650.0,3.8899,22.1088,0.041692,0.045231
2019-03-12,2019-03-12,244936003782.0,3.864,21.9614,0.041972,0.045534
2019-03-11,2019-03-11,243586009033.0,3.8427,21.8404,0.042205,0.045787
2019-03-08,2019-03-08,240005588178.0,3.7862,21.5194,0.042834,0.04647
2019-03-07,2019-03-07,242940359371.0,3.8325,21.7825,0.042317,0.045908
2019-03-06,2019-03-06,245699044292.0,3.8761,22.0299,0.041842,0.045393
2019-03-05,2019-03-05,251744672950.0,3.9714,22.5719,0.040837,0.044303
2019-03-04,2019-03-04,252801190580.0,3.9881,22.6667,0.040666,0.044118
2019-03-01,2019-03-01,254503357872.0,4.0149,22.8193,0.040394,0.043823
2019-02-28,2019-02-28,254444662448.0,4.014,22.814,0.040403,0.043833
2019-02-27,2019-02-27,251979454646.0,3.9751,22.593,0.040799,0.044262
2019-02-26,2019-02-26,252507713461.0,3.9835,22.6403,0.040713,0.044169
2019-02-25,2019-02-25,252859886004.0,3.989,22.6719,0.040657,0.044107
2019-02-22,2019-02-22,252155540917.0,3.9779,22.6088,0.04077,0.044231
