,date,value
0,2019-07-31,0.2986
1,2019-06-30,0.3185
2,2019-05-31,0.281
3,2019-04-30,0.3956
4,2019-03-31,0.5366
5,2019-02-28,0.5774
6,2019-01-31,0.539
7,2018-12-31,0.828
8,2018-11-30,0.7827
9,2018-10-31,0.6698
10,2018-09-30,0.7611
11,2018-08-31,0.7821
12,2018-07-31,0.7016
13,2018-06-30,0.4047
14,2018-05-31,0.3947
15,2018-04-30,0.4385
16,2018-03-31,0.4668
17,2018-02-28,0.6562
18,2018-01-31,0.7983
19,2017-12-31,1.4001
20,2017-11-30,1.2177
21,2017-10-31,1.6105
22,2017-09-30,1.8188
23,2017-08-31,1.8404
24,2017-07-31,2.0899
25,2017-06-30,2.0247
26,2017-05-31,2.1805
27,2017-04-30,1.8589
28,2017-03-31,0.8789
29,2017-02-28,0.9347
30,2017-01-31,0.8418
31,2016-12-31,0.8763
32,2016-11-30,0.89
33,2016-10-31,0.9548
34,2016-09-30,0.8689
35,2016-08-31,1.0419
36,2016-07-31,1.0726
37,2016-06-30,1.0869
38,2016-05-31,1.0957
39,2016-04-30,1.0395
40,2016-03-31,0.9915
41,2016-02-29,1.4176
42,2016-01-31,1.3559
43,2015-12-31,1.3589
44,2015-11-30,1.3742
45,2015-10-31,1.3384
46,2015-09-30,1.6033
47,2015-08-31,1.4606
48,2015-07-31,1.2664
49,2015-06-30,1.1286
50,2015-05-31,0.9076
51,2015-04-30,0.9151
52,2015-03-31,0.9166
53,2015-02-28,1.1445
54,2015-01-31,0.6085
