publication_date,compound,headline,neg,neu,pos,label
2015-11-23 22:32:12,-0.3818,Politicians slam tax-avoiding Pfizer-Allergan mega-deal,0.394,0.606,0.0,-1
2015-11-23 23:14:14,0.0,U.S. Republican Trump calls Pfizer deal to move tax base overseas 'disgusting',0.0,1.0,0.0,0
2015-11-24 03:15:02,-0.3818,U.S. politicians slam tax-avoiding Pfizer-Allergan deal,0.342,0.658,0.0,-1
2015-11-24 03:15:02,0.0,Pfizer to buy Allergan in $160 billion deal,0.0,1.0,0.0,0
2015-11-24 18:00:05,0.0,"Pfizer, IIT-Delhi collaborate for healthcare incubation",0.0,1.0,0.0,0
2016-02-02 14:48:58,-0.128,Pfizer 2016 forecasts disappoint; shares fall,0.303,0.449,0.247,-1
2016-03-11 13:19:04,-0.4404,Medecins Sans Frontieres files to block Pfizer patent on pneumonia vaccine in India,0.195,0.805,0.0,-1
2016-03-14 13:56:07,-0.5574,Delhi High Court stays government ban on Pfizer's Corex cough syrup - TV,0.247,0.753,0.0,-1
2016-03-15 02:34:23,0.1027,Delhi High Court grants Pfizer temporary relief on cough syrup ban,0.217,0.482,0.301,1
2016-04-06 02:52:07,0.0,"Pfizer, Allergan to mutually terminate merger on Wednesday morning, source says",0.0,1.0,0.0,0
2016-04-06 05:51:34,-0.6908,Obama's inversion curbs kill Pfizer's $160 billion Allergan deal,0.37,0.63,0.0,-1
2016-04-06 12:46:21,-0.6908,Obama's inversion curbs kill Pfizer's $160 bln Allergan deal,0.37,0.63,0.0,-1
2016-04-06 18:20:35,0.0,"Pfizer, Allergan scrap $160 billion deal after U.S. tax rule change",0.0,1.0,0.0,0
2016-04-06 20:57:11,0.0,US STOCKS-Wall St rises with healthcare; oil rallies,0.0,1.0,0.0,0
2016-04-06 21:47:47,0.6808,"US and European stocks gain as oil, pharma shares rally",0.0,0.588,0.412,1
2016-04-07 23:20:27,0.0,Investors stick with Pfizer CEO after Allergan deal scrapped,0.0,1.0,0.0,0
2016-04-08 13:55:38,-0.128,INVESTMENT FOCUS-Investors favour European drug stocks in spite of M&A crackdown,0.222,0.588,0.19,-1
2016-04-27 16:05:59,0.0772,Pfizer to pay $784.6 million to resolve Wyeth false claims lawsuit,0.237,0.576,0.187,0
2016-04-27 18:36:26,-0.1027,Pfizer to pay $785 million for overcharging US government on drugs,0.123,0.877,0.0,-1
2016-04-27 20:07:53,-0.1027,Pfizer to pay $785 mn for overcharging US government on drugs,0.123,0.877,0.0,-1
2016-05-03 12:33:10,0.4939,"Pfizer earnings rise, boosted by Hospira assets",0.0,0.543,0.457,1
2016-05-03 19:26:45,-0.0516,"US STOCKS-Wall St declines on growth fears, oil slide",0.226,0.565,0.21,0
2016-05-04 03:10:49,0.3034,EXCLUSIVE: Pfizer approaches Medivation about potential takeover -sources,0.0,0.758,0.242,1
2016-05-14 20:08:43,-0.3818,Pfizer takes 'significant' move to restrict lethal injection drugs,0.245,0.755,0.0,-1
2016-05-16 13:53:22,0.0,Pfizer to buy eczema specialist for $5.2 billion,0.0,1.0,0.0,0
2016-05-16 17:46:19,0.0,Pfizer to buy Anacor in $5.2 billion deal for access to eczema gel,0.0,1.0,0.0,0
2016-05-17 03:36:27,-0.3612,"Asian stocks mixed as crude oil rises, Chinese shares fall",0.266,0.576,0.158,-1
2016-05-17 09:36:21,0.1779,"AstraZeneca asthma drug hits goal, to enter competitive market",0.0,0.825,0.175,1
2016-05-18 06:41:40,0.0,Pascal Soriot's big experiment: reinventing AstraZeneca,0.0,1.0,0.0,0
2016-05-18 20:52:43,-0.4019,U.S. FDA approves Roche's immunotherapy for bladder cancer,0.336,0.458,0.206,-1
2016-05-23 21:53:23,-0.7845,EU lifts suicide warning on Pfizer's smoking-cessation pill,0.535,0.465,0.0,-1
2016-05-26 21:29:00,0.0,Anacor received rival bid before Pfizer deal - filing,0.0,1.0,0.0,0
2016-05-30 13:05:26,0.0,"Pharma sector set for wave of mergers, acquisitions: study",0.0,1.0,0.0,0
2016-06-03 07:22:18,0.0,GSK's modern HIV drug to be rolled out in Botswana,0.0,1.0,0.0,0
2016-06-04 02:28:13,-0.2732,Ex-Oppenheimer & Co. employee faces insider trading charges,0.259,0.741,0.0,-1
2016-06-06 15:28:11,0.0,"Fresenius, Smiths in 2-way race for Pfizer infusion pumps-sources",0.0,1.0,0.0,0
2016-06-06 16:00:02,0.0,"Fresenius, Smiths in two-way race for Pfizer infusion pumps - sources",0.0,1.0,0.0,0
2016-06-14 12:57:02,0.0,Shire buys bowel drug rights from Pfizer,0.0,1.0,0.0,0
2016-06-20 19:16:04,0.5106,Rx pizza: 1 free meal can sway doctor prescribing,0.0,0.68,0.32,1
2016-06-28 10:41:04,0.0,Pfizer Advances Biosimilars Leadership with Investment in a New World-Class Global Biotechnology Center in China,0.0,1.0,0.0,0
2016-06-28 12:51:03,0.5574,Two Additional Phase 3 Lipid-Lowering Studies of Bococizumab Deliver Positive Topline Results,0.0,0.735,0.265,1
2016-07-01 21:51:01,0.5106,BIND Therapeutics Files Motion for Sale of Assets After Accepting Stalking Horse Bid from Pfizer Inc.,0.0,0.765,0.235,1
2016-07-04 14:31:10,-0.296,UK plans lower corporation tax to cushion hit from Brexit,0.196,0.804,0.0,-1
2016-07-05 21:24:43,0.2023,Medivation agrees to open its books to Sanofi,0.0,0.795,0.205,1
2016-07-06 12:11:09,-0.6597,Merck and Pfizer Initiate Phase III Trial to Evaluate Avelumab as First-line Treatment for Ovarian Cancer,0.227,0.773,0.0,-1
2016-07-06 12:21:02,-0.6597,"Merck KGaA, Darmstadt, Germany, and Pfizer Initiate Phase III Trial to Evaluate Avelumab as First-line Treatment for Ovarian Cancer",0.196,0.804,0.0,-1
2016-07-06 18:48:20,-0.0772,Pfizer agrees to note addiction risks in opioid marketing,0.193,0.642,0.165,0
2016-07-08 12:11:05,0.3612,Pfizer Announces Positive Top-Line Results From Phase 3 S-TRAC Trial of SUTENT® (sunitinib) as Adjuvant Therapy in Patients at High Risk of Recurrent Renal Cell Carcinoma,0.073,0.801,0.125,1
2016-07-12 20:33:11,0.4767,Pfizer Receives FDA Approval for Prevnar 13® in Adults Age 18 Through 49,0.0,0.795,0.205,1
2016-07-12 21:39:00,0.0,Lower-cost biotech drug gets thumbs up from FDA panel,0.0,1.0,0.0,0
2016-07-13 12:23:01,0.0,Pfizer Announces the Publication of Final Results from Two Pivotal Phase 3 Studies of Crisaborole Topical Ointment in Patients with Mild to Moderate Atopic Dermatitis,0.0,1.0,0.0,0
2016-07-25 11:58:08,0.4404,BIND Therapeutics Announces Two Bidders Join Pfizer's Stalking Horse Bid in Auction for BIND's Assets,0.0,0.769,0.231,1
2016-07-25 12:48:02,0.2263,"Spark Therapeutics and Pfizer Announce Updated Data from First Cohort in Hemophilia B Phase 1/2 Trial Demonstrating Consistent, Sustained Therapeutic Levels of Factor IX Activity",0.0,0.924,0.076,1
2016-07-25 15:09:25,0.1779,Germany plans to extend price brake for drugs under statutory insurance,0.0,0.855,0.145,1
2016-07-25 23:14:47,0.0,APNewsBreak: Pfizer: Arkansas execution would 'misuse' drug,0.0,1.0,0.0,0
2016-07-26 13:41:56,0.0,"Teva, Mylan eye Pfizer's Brazil venture, sources say",0.0,1.0,0.0,0
2016-07-26 13:51:47,0.128,"Exclusive - Teva, Mylan eye Pfizer's Brazil venture, sources say",0.0,0.842,0.158,1
2016-07-26 21:48:09,0.7096,BIND Therapeutics Determines Pfizer's $40 Million Bid Is Highest and Best in 363 Auction for Substantially All of BIND's Assets,0.0,0.753,0.247,1
2016-07-26 23:11:17,0.2755,Legislator: Pfizer can't complain about execution drug,0.0,0.74,0.26,1
2016-07-28 09:43:43,0.0,AstraZeneca a takeover target again? CEO not commenting,0.0,1.0,0.0,0
2016-07-28 14:08:08,0.3182,Pfizer and Western Oncolytics Announce Immuno-Oncology Research Collaboration to Investigate Novel Oncolytic Virus Technology,0.0,0.85,0.15,1
2016-07-28 20:38:17,0.5574,Pfizer Announces Positive Top-Line Results from Pivotal Phase 3 Maintenance Trial of Oral XELJANZ® (Tofacitinib Citrate) in Ulcerative Colitis,0.0,0.825,0.175,1
2016-08-01 14:11:03,0.0,"Pfizer Aims to Become Industry Leader in Gene Therapy with Acquisition of Bamboo Therapeutics, Inc.",0.0,1.0,0.0,0
2016-08-01 14:41:03,0.0,"PFIZER AIMS TO BECOME INDUSTRY LEADER IN GENE THERAPY WITH AQUISITION OF BAMBOO THERAPEUTICS, INC.",0.0,1.0,0.0,0
2016-08-02 11:11:04,0.0,PFIZER REPORTS SECOND-QUARTER 2016 RESULTS,0.0,1.0,0.0,0
2016-08-02 13:23:00,0.2023,Pfizer earnings top estimates on higher sales,0.0,0.769,0.231,1
2016-08-02 17:02:35,0.5739,Pfizer beats Street 2Q forecasts despite big drop in profit,0.0,0.629,0.371,1
2016-08-02 17:06:39,-0.5499,"Pfizer beats estimates, but branded drugs disappoint",0.372,0.628,0.0,-1
2016-08-02 19:15:00,0.4019,CVS Drops Coverage of 2 Branded Biotech Drugs in Favor of Copies,0.0,0.787,0.213,1
2016-08-02 19:44:00,0.4588,Biogen Draws Takeover Interest from Rival Drugmakers--2nd Update,0.0,0.7,0.3,1
2016-08-02 20:32:39,-0.0772,Wall Street falls as weak auto sales spur growth jitters,0.215,0.593,0.193,0
2016-08-03 02:48:00,0.4767,"In Quest to Grow, Rivals Woo Biogen -- WSJ",0.0,0.721,0.279,1
2016-08-03 02:48:00,0.0,Pfizer Hit As Sales Of Older Drugs Fall -- WSJ,0.0,1.0,0.0,0
2016-08-04 13:57:00,0.0,Business Groups Sue U.S. Government Over Tax-Inversion Rules,0.0,1.0,0.0,0
2016-08-04 14:15:00,0.0,U.S. Government Sued Over Tax-Inversion Rules,0.0,1.0,0.0,0
2016-08-04 15:35:00,0.0,Business Groups Sue U.S. Government Over Tax-Inversion Rules -- Update,0.0,1.0,0.0,0
2016-08-04 16:43:00,0.0,Business Groups Sue U.S. Government Over Tax-Inversion Rules -- 2nd Update,0.0,1.0,0.0,0
2016-08-04 20:00:54,0.0,Business groups sue over new U.S. limit on tax-driven foreign buyouts,0.0,1.0,0.0,0
2016-08-05 01:51:36,0.0,US industry bodies sue over Obama corporate tax rules,0.0,1.0,0.0,0
2016-08-05 02:47:00,0.0,Business Groups Sue Over Inversion Rules -- WSJ,0.0,1.0,0.0,0
2016-08-05 14:50:09,-0.4404,"AstraZeneca hits 2014 Pfizer bid price, helped by Bristol's woes",0.244,0.756,0.0,-1
2016-08-06 09:08:02,-0.2263,"Pfizer Limited revenue up by 3.4 % for the Quarter ended June 30, 2016",0.137,0.863,0.0,-1
2016-08-08 08:19:00,0.0,Pfizer Announces Publication Of New Data From Studies Of Vyndaqel - Quick Facts,0.0,1.0,0.0,0
2016-08-08 08:35:00,-0.3182,"Allergan Revenue Increases, Though Loss Widens",0.315,0.685,0.0,-1
2016-08-08 12:08:04,0.0,Pfizer Announces Publication of New Analysis Showing Long-Term Therapy with VYNDAQEL (tafamidis) Slowed Progression of Rare Neurodegenerative Disease,0.0,1.0,0.0,0
2016-08-08 14:28:55,0.4939,"Health Care Sector Update for 08/08/2016: JNJ, PFE, ABT, MRK, AMGN",0.0,0.758,0.242,1
