date,marketcap,pricetobook,pricetoearnings,dividendyield,earningsyield,nopat,freecashflow,roe,ebitdagrowth,ebitdamargin,cashdividendspershare,bookvaluepershare,capex,currentratio,debttoequity,epsgrowth,investedcapitalgrowth,fcffgrowth,finleverage,netincomegrowth,roa,revenuegrowth,basiceps,operatingrevenue,ebitda,totalassets,totalliabilities,debt,netincome,netcashfromoperatingactivities,netcashfrominvestingactivities,netcashfromfinancingactivities,longterminvestments,one_yr_monthly_beta
01/07/2019,3.26911E+11,1.7096,17.6328,0.054206,0.056713,19549310049,18798310049,0.096933,0.175115,0.16662,3.28,44.7827,21424000000,0.774,0.2062,-0.090147,0.003834,0.275762,-0.0011,-0.072879,0.054024,0.124941,4.34,2.82696E+11,47591000000,3.56189E+11,1.58168E+11,40825000000,19044000000,19044000000,-20380000000,-14748000000,42068000000,1.2621
28/06/2019,3.2721E+11,1.7112,17.6489,0.054156,0.056661,19549310049,18798310049,0.096933,0.175115,0.16662,3.28,44.7827,21424000000,0.774,0.2062,-0.090147,0.003834,0.275762,-0.0011,-0.072879,0.054024,0.124941,4.34,2.82696E+11,47591000000,3.56189E+11,1.58168E+11,40825000000,19044000000,19044000000,-20380000000,-14748000000,42068000000,1.2654
27/06/2019,3.23751E+11,1.6931,17.4623,0.054735,0.057266,19549310049,18798310049,0.096933,0.175115,0.16662,3.28,44.7827,21424000000,0.774,0.2062,-0.090147,0.003834,0.275762,-0.0011,-0.072879,0.054024,0.124941,4.34,2.82696E+11,47591000000,3.56189E+11,1.58168E+11,40825000000,19044000000,19044000000,-20380000000,-14748000000,42068000000,1.2654
26/06/2019,3.27082E+11,1.7105,17.642,0.054178,0.056683,19549310049,18798310049,0.096933,0.175115,0.16662,3.28,44.7827,21424000000,0.774,0.2062,-0.090147,0.003834,0.275762,-0.0011,-0.072879,0.054024,0.124941,4.34,2.82696E+11,47591000000,3.56189E+11,1.58168E+11,40825000000,19044000000,19044000000,-20380000000,-14748000000,42068000000,1.2654
25/06/2019,3.25673E+11,1.7031,17.566,0.054412,0.056928,19549310049,18798310049,0.096933,0.175115,0.16662,3.28,44.7827,21424000000,0.774,0.2062,-0.090147,0.003834,0.275762,-0.0011,-0.072879,0.054024,0.124941,4.34,2.82696E+11,47591000000,3.56189E+11,1.58168E+11,40825000000,19044000000,19044000000,-20380000000,-14748000000,42068000000,1.2654
24/06/2019,3.28577E+11,1.7183,17.7226,0.053931,0.056425,19549310049,18798310049,0.096933,0.175115,0.16662,3.28,44.7827,21424000000,0.774,0.2062,-0.090147,0.003834,0.275762,-0.0011,-0.072879,0.054024,0.124941,4.34,2.82696E+11,47591000000,3.56189E+11,1.58168E+11,40825000000,19044000000,19044000000,-20380000000,-14748000000,42068000000,1.2654
21/06/2019,3.31736E+11,1.7348,17.893,0.053417,0.055888,19549310049,18798310049,0.096933,0.175115,0.16662,3.28,44.7827,21424000000,0.774,0.2062,-0.090147,0.003834,0.275762,-0.0011,-0.072879,0.054024,0.124941,4.34,2.82696E+11,47591000000,3.56189E+11,1.58168E+11,40825000000,19044000000,19044000000,-20380000000,-14748000000,42068000000,1.2654
20/06/2019,3.27125E+11,1.7107,17.6443,0.05417,0.056676,19549310049,18798310049,0.096933,0.175115,0.16662,3.28,44.7827,21424000000,0.774,0.2062,-0.090147,0.003834,0.275762,-0.0011,-0.072879,0.054024,0.124941,4.34,2.82696E+11,47591000000,3.56189E+11,1.58168E+11,40825000000,19044000000,19044000000,-20380000000,-14748000000,42068000000,1.2654
19/06/2019,3.21616E+11,1.6819,17.3472,0.055098,0.057646,19549310049,18798310049,0.096933,0.175115,0.16662,3.28,44.7827,21424000000,0.774,0.2062,-0.090147,0.003834,0.275762,-0.0011,-0.072879,0.054024,0.124941,4.34,2.82696E+11,47591000000,3.56189E+11,1.58168E+11,40825000000,19044000000,19044000000,-20380000000,-14748000000,42068000000,1.2654
18/06/2019,3.2341E+11,1.6913,17.4439,0.054793,0.057327,19549310049,18798310049,0.096933,0.175115,0.16662,3.28,44.7827,21424000000,0.774,0.2062,-0.090147,0.003834,0.275762,-0.0011,-0.072879,0.054024,0.124941,4.34,2.82696E+11,47591000000,3.56189E+11,1.58168E+11,40825000000,19044000000,19044000000,-20380000000,-14748000000,42068000000,1.2654
17/06/2019,3.20634E+11,1.6768,17.2942,0.055267,0.057823,19549310049,18798310049,0.096933,0.175115,0.16662,3.28,44.7827,21424000000,0.774,0.2062,-0.090147,0.003834,0.275762,-0.0011,-0.072879,0.054024,0.124941,4.34,2.82696E+11,47591000000,3.56189E+11,1.58168E+11,40825000000,19044000000,19044000000,-20380000000,-14748000000,42068000000,1.2654
14/06/2019,3.17475E+11,1.6602,17.1238,0.055817,0.058398,19549310049,18798310049,0.096933,0.175115,0.16662,3.28,44.7827,21424000000,0.774,0.2062,-0.090147,0.003834,0.275762,-0.0011,-0.072879,0.054024,0.124941,4.34,2.82696E+11,47591000000,3.56189E+11,1.58168E+11,40825000000,19044000000,19044000000,-20380000000,-14748000000,42068000000,1.2654
13/06/2019,3.18884E+11,1.6676,17.1998,0.05557,0.05814,19549310049,18798310049,0.096933,0.175115,0.16662,3.28,44.7827,21424000000,0.774,0.2062,-0.090147,0.003834,0.275762,-0.0011,-0.072879,0.054024,0.124941,4.34,2.82696E+11,47591000000,3.56189E+11,1.58168E+11,40825000000,19044000000,19044000000,-20380000000,-14748000000,42068000000,1.2654
12/06/2019,3.16108E+11,1.6531,17.0501,0.056058,0.058651,19549310049,18798310049,0.096933,0.175115,0.16662,3.28,44.7827,21424000000,0.774,0.2062,-0.090147,0.003834,0.275762,-0.0011,-0.072879,0.054024,0.124941,4.34,2.82696E+11,47591000000,3.56189E+11,1.58168E+11,40825000000,19044000000,19044000000,-20380000000,-14748000000,42068000000,1.2654
11/06/2019,3.19567E+11,1.6712,17.2366,0.055452,0.058016,19549310049,18798310049,0.096933,0.175115,0.16662,3.28,44.7827,21424000000,0.774,0.2062,-0.090147,0.003834,0.275762,-0.0011,-0.072879,0.054024,0.124941,4.34,2.82696E+11,47591000000,3.56189E+11,1.58168E+11,40825000000,19044000000,19044000000,-20380000000,-14748000000,42068000000,1.2654
