date,date,nopat,freecashflow,roe,ebitdagrowth,ebitdamargin,cashdividendspershare,bookvaluepershare,capex,currentratio,debttoequity,epsgrowth,investedcapitalgrowth,fcffgrowth,finleverage,netincomegrowth,roa,revenuegrowth,basiceps,operatingrevenue,ebitda,totalassets,totalliabilities,debt,netincome,netcashfromoperatingactivities,netcashfrominvestingactivities,netcashfromfinancingactivities,longterminvestments
2019-03-31,2019-03-31,19549310049.3,18798310049.3,0.096933,0.175115,0.16662,3.28,44.7827,21424000000.0,0.774,0.2062,-0.090147,0.003834,0.275762,-0.0011,-0.072879,0.054024,0.124941,4.34,282696000000.0,47591000000.0,356189000000.0,158168000000.0,40825000000.0,19044000000.0,19044000000.0,-20380000000.0,-14748000000.0,42068000000.0
2018-12-31,2018-12-31,21951109714.7,24350109714.7,0.109005,0.288399,0.173887,3.23,44.9166,19574000000.0,0.8396,0.1904,0.053996,-0.012039,4.838258,0.0079,0.079252,0.061653,0.187627,4.88,286687000000.0,50464000000.0,346196000000.0,147668000000.0,37796000000.0,21421000000.0,21421000000.0,-16446000000.0,-19446000000.0,40790000000.0
2018-09-30,2018-09-30,24297561375.7,21796561375.7,0.122395,0.18163,0.162008,3.18,44.5715,17981000000.0,0.8267,0.2034,0.771987,0.012966,1.440651,0.0059,0.754735,0.067108,0.289509,5.44,282663000000.0,46145000000.0,354628000000.0,157797000000.0,40037000000.0,23624000000.0,23624000000.0,-17398000000.0,-15782000000.0,40427000000.0
2018-06-30,2018-06-30,21879429133.9,16638429133.900002,0.112096,0.174818,0.158844,3.13,43.8356,17690000000.0,0.8096,0.213,0.772563,0.027445,0.67048,0.0206,0.73335,0.061471,0.232838,4.91,267338000000.0,42781000000.0,348790000000.0,155257000000.0,41220000000.0,21263000000.0,21263000000.0,-16046000000.0,-15811000000.0,39691000000.0
2018-03-31,2018-03-31,21217961342.3,14734961342.3,0.108487,0.165741,0.159506,3.08,44.0738,15861000000.0,0.8012,0.2084,0.9875,0.034231,0.626959,0.0174,0.922595,0.059278,0.164276,4.77,251704000000.0,40499000000.0,348826000000.0,153915000000.0,40617000000.0,20541000000.0,20541000000.0,-13828000000.0,-17626000000.0,40350000000.0
2017-12-31,2017-12-31,20486783763.5,4170783763.5,0.107773,0.274585,0.160286,3.06,44.0996,15402000000.0,0.8159,0.2177,1.462766,0.089179,-0.529155,0.0377,1.36991,0.058462,0.174179,4.63,242542000000.0,39168000000.0,348691000000.0,154191000000.0,42336000000.0,19848000000.0,19848000000.0,-15730000000.0,-15130000000.0,39160000000.0
2017-09-30,2017-09-30,13967635000.6,8930635000.6,0.073527,0.335385,0.176799,3.04,42.6776,14788000000.0,0.8508,0.2146,0.434579,0.026813,28.781558,0.0397,0.466398,0.03909,0.076165,3.07,216913000000.0,39052000000.0,349427000000.0,160229000000.0,40610000000.0,13463000000.0,13463000000.0,-10866000000.0,-20039000000.0,37649000000.0
2017-06-30,2017-06-30,12800271179.1,9960271179.1,0.06764,0.149609,0.166689,3.02,41.9522,13279000000.0,0.8279,0.2257,0.099206,0.015096,2.856648,0.0452,0.149026,0.035791,0.021237,2.77,214768000000.0,36415000000.0,343012000000.0,157174000000.0,41935000000.0,12267000000.0,12267000000.0,-11546000000.0,-16347000000.0,37719000000.0
2017-03-31,2017-03-31,11142751994.7,9056751994.7,0.058984,-0.031583,0.159305,3.0,41.9491,14452000000.0,0.8081,0.2373,-0.228296,0.011137,3.06842,0.0398,-0.194086,0.031103,-0.053222,2.4,214911000000.0,34741000000.0,344209000000.0,160438000000.0,43607000000.0,10684000000.0,10684000000.0,-11815000000.0,-13063000000.0,38268000000.0
2016-12-31,2016-12-31,8851079181.8,8858079181.8,0.04777,-0.237942,0.147659,2.98,40.0587,16163000000.0,0.8694,0.246,-0.511688,-3.8e-05,-0.061081,0.0436,-0.493988,0.02511,-0.165032,1.88,205434000000.0,30730000000.0,330314000000.0,156484000000.0,42762000000.0,8375000000.0,8375000000.0,-12403000000.0,-9293000000.0,35102000000.0
2016-09-30,2016-09-30,9473540881.8,-321459118.20000076,0.051892,-0.367697,0.142479,2.96,40.8322,18412000000.0,0.8585,0.2607,-0.548523,0.055008,-1.018792,0.0341,-0.552212,0.027001,-0.307406,2.14,203501000000.0,29244000000.0,339386000000.0,162376000000.0,46155000000.0,9181000000.0,9181000000.0,-16055000000.0,-2134000000.0,35553000000.0
2016-06-30,2016-06-30,10923623770.3,2582623770.299999,0.059999,-0.41058,0.148075,2.94,40.8308,21409000000.0,0.8898,0.2514,-0.551601,0.046394,-0.860025,0.0338,-0.563622,0.030912,-0.363599,2.52,212168000000.0,31676000000.0,342473000000.0,165598000000.0,44471000000.0,10676000000.0,10676000000.0,-18477000000.0,-4240000000.0,34182000000.0
2016-03-31,2016-03-31,13490110603.1,2226110603.1000004,0.074489,-0.409491,0.155746,2.92,41.2128,24247000000.0,0.9082,0.2415,-0.533733,0.063986,-0.886728,0.0208,-0.547851,0.038664,-0.382858,3.11,228587000000.0,35874000000.0,342789000000.0,164291000000.0,43108000000.0,13257000000.0,13257000000.0,-21821000000.0,-5659000000.0,34915000000.0
2015-12-31,2015-12-31,16785333105.7,9434333105.7,0.092496,-0.417378,0.161787,2.88,40.7081,26490000000.0,0.7897,0.2188,-0.493421,0.041859,-0.620855,0.002,-0.507631,0.048236,-0.39494,3.85,247498000000.0,40325000000.0,336758000000.0,159948000000.0,38687000000.0,16551000000.0,16551000000.0,-23824000000.0,-7037000000.0,34245000000.0
2015-09-30,2015-09-30,20735095706.2,17106095706.2,0.112551,-0.381594,0.156065,2.84,40.7453,29238000000.0,0.8615,0.194,-0.403774,0.020804,-0.131305,-0.0325,-0.42206,0.059135,-0.319551,4.74,294922000000.0,46250000000.0,340662000000.0,163823000000.0,34312000000.0,20503000000.0,20503000000.0,-27347000000.0,-6253000000.0,34315000000.0
2015-06-30,2015-06-30,24689574788.6,18450574788.6,0.133277,-0.287793,0.159878,2.8,41.1114,31035000000.0,0.8848,0.1891,-0.284076,0.03595,0.15272,-0.0376,-0.304952,0.069223,-0.237378,5.62,334708000000.0,53741000000.0,348260000000.0,169262000000.0,33840000000.0,24465000000.0,24465000000.0,-29335000000.0,-8524000000.0,34162000000.0
2015-03-31,2015-03-31,29529827594.2,19652827594.2,0.162737,-0.181419,0.16277,2.76,40.6618,32468000000.0,0.9057,0.1847,-0.092517,0.059442,0.316188,-0.0503,-0.113047,0.084254,-0.144401,6.67,369626000000.0,60751000000.0,342961000000.0,165515000000.0,32771000000.0,29320000000.0,29320000000.0,-27021000000.0,-10926000000.0,34471000000.0
