date,date,nopat,freecashflow,roe,ebitdagrowth,ebitdamargin,cashdividendspershare,bookvaluepershare,capex,currentratio,debttoequity,epsgrowth,investedcapitalgrowth,fcffgrowth,finleverage,netincomegrowth,roa,revenuegrowth,basiceps,operatingrevenue,ebitda,totalassets,totalliabilities,debt,netincome,netcashfromoperatingactivities,netcashfrominvestingactivities,netcashfromfinancingactivities,longterminvestments
07/08/2019,30/03/2019,19549310049,18798310049,0.096933,0.175115,0.16662,3.28,44.7827,21424000000,0.774,0.2062,-0.090147,0.003834,0.275762,-0.0011,-0.072879,0.054024,0.124941,4.34,2.82696E+11,47591000000,3.56189E+11,1.58168E+11,40825000000,19044000000,19044000000,-20380000000,-14748000000,42068000000
06/08/2019,30/03/2019,19549310049,18798310049,0.096933,0.175115,0.16662,3.28,44.7827,21424000000,0.774,0.2062,-0.090147,0.003834,0.275762,-0.0011,-0.072879,0.054024,0.124941,4.34,2.82696E+11,47591000000,3.56189E+11,1.58168E+11,40825000000,19044000000,19044000000,-20380000000,-14748000000,42068000000
05/08/2019,30/03/2019,19549310049,18798310049,0.096933,0.175115,0.16662,3.28,44.7827,21424000000,0.774,0.2062,-0.090147,0.003834,0.275762,-0.0011,-0.072879,0.054024,0.124941,4.34,2.82696E+11,47591000000,3.56189E+11,1.58168E+11,40825000000,19044000000,19044000000,-20380000000,-14748000000,42068000000
02/08/2019,30/03/2019,19549310049,18798310049,0.096933,0.175115,0.16662,3.28,44.7827,21424000000,0.774,0.2062,-0.090147,0.003834,0.275762,-0.0011,-0.072879,0.054024,0.124941,4.34,2.82696E+11,47591000000,3.56189E+11,1.58168E+11,40825000000,19044000000,19044000000,-20380000000,-14748000000,42068000000
01/08/2019,30/03/2019,19549310049,18798310049,0.096933,0.175115,0.16662,3.28,44.7827,21424000000,0.774,0.2062,-0.090147,0.003834,0.275762,-0.0011,-0.072879,0.054024,0.124941,4.34,2.82696E+11,47591000000,3.56189E+11,1.58168E+11,40825000000,19044000000,19044000000,-20380000000,-14748000000,42068000000
31/07/2019,30/03/2019,19549310049,18798310049,0.096933,0.175115,0.16662,3.28,44.7827,21424000000,0.774,0.2062,-0.090147,0.003834,0.275762,-0.0011,-0.072879,0.054024,0.124941,4.34,2.82696E+11,47591000000,3.56189E+11,1.58168E+11,40825000000,19044000000,19044000000,-20380000000,-14748000000,42068000000
30/07/2019,30/03/2019,19549310049,18798310049,0.096933,0.175115,0.16662,3.28,44.7827,21424000000,0.774,0.2062,-0.090147,0.003834,0.275762,-0.0011,-0.072879,0.054024,0.124941,4.34,2.82696E+11,47591000000,3.56189E+11,1.58168E+11,40825000000,19044000000,19044000000,-20380000000,-14748000000,42068000000
29/07/2019,30/03/2019,19549310049,18798310049,0.096933,0.175115,0.16662,3.28,44.7827,21424000000,0.774,0.2062,-0.090147,0.003834,0.275762,-0.0011,-0.072879,0.054024,0.124941,4.34,2.82696E+11,47591000000,3.56189E+11,1.58168E+11,40825000000,19044000000,19044000000,-20380000000,-14748000000,42068000000
26/07/2019,30/03/2019,19549310049,18798310049,0.096933,0.175115,0.16662,3.28,44.7827,21424000000,0.774,0.2062,-0.090147,0.003834,0.275762,-0.0011,-0.072879,0.054024,0.124941,4.34,2.82696E+11,47591000000,3.56189E+11,1.58168E+11,40825000000,19044000000,19044000000,-20380000000,-14748000000,42068000000
25/07/2019,30/03/2019,19549310049,18798310049,0.096933,0.175115,0.16662,3.28,44.7827,21424000000,0.774,0.2062,-0.090147,0.003834,0.275762,-0.0011,-0.072879,0.054024,0.124941,4.34,2.82696E+11,47591000000,3.56189E+11,1.58168E+11,40825000000,19044000000,19044000000,-20380000000,-14748000000,42068000000
24/07/2019,30/03/2019,19549310049,18798310049,0.096933,0.175115,0.16662,3.28,44.7827,21424000000,0.774,0.2062,-0.090147,0.003834,0.275762,-0.0011,-0.072879,0.054024,0.124941,4.34,2.82696E+11,47591000000,3.56189E+11,1.58168E+11,40825000000,19044000000,19044000000,-20380000000,-14748000000,42068000000
23/07/2019,30/03/2019,19549310049,18798310049,0.096933,0.175115,0.16662,3.28,44.7827,21424000000,0.774,0.2062,-0.090147,0.003834,0.275762,-0.0011,-0.072879,0.054024,0.124941,4.34,2.82696E+11,47591000000,3.56189E+11,1.58168E+11,40825000000,19044000000,19044000000,-20380000000,-14748000000,42068000000
22/07/2019,30/03/2019,19549310049,18798310049,0.096933,0.175115,0.16662,3.28,44.7827,21424000000,0.774,0.2062,-0.090147,0.003834,0.275762,-0.0011,-0.072879,0.054024,0.124941,4.34,2.82696E+11,47591000000,3.56189E+11,1.58168E+11,40825000000,19044000000,19044000000,-20380000000,-14748000000,42068000000
19/07/2019,30/03/2019,19549310049,18798310049,0.096933,0.175115,0.16662,3.28,44.7827,21424000000,0.774,0.2062,-0.090147,0.003834,0.275762,-0.0011,-0.072879,0.054024,0.124941,4.34,2.82696E+11,47591000000,3.56189E+11,1.58168E+11,40825000000,19044000000,19044000000,-20380000000,-14748000000,42068000000
18/07/2019,30/03/2019,19549310049,18798310049,0.096933,0.175115,0.16662,3.28,44.7827,21424000000,0.774,0.2062,-0.090147,0.003834,0.275762,-0.0011,-0.072879,0.054024,0.124941,4.34,2.82696E+11,47591000000,3.56189E+11,1.58168E+11,40825000000,19044000000,19044000000,-20380000000,-14748000000,42068000000
17/07/2019,30/03/2019,19549310049,18798310049,0.096933,0.175115,0.16662,3.28,44.7827,21424000000,0.774,0.2062,-0.090147,0.003834,0.275762,-0.0011,-0.072879,0.054024,0.124941,4.34,2.82696E+11,47591000000,3.56189E+11,1.58168E+11,40825000000,19044000000,19044000000,-20380000000,-14748000000,42068000000
16/07/2019,30/03/2019,19549310049,18798310049,0.096933,0.175115,0.16662,3.28,44.7827,21424000000,0.774,0.2062,-0.090147,0.003834,0.275762,-0.0011,-0.072879,0.054024,0.124941,4.34,2.82696E+11,47591000000,3.56189E+11,1.58168E+11,40825000000,19044000000,19044000000,-20380000000,-14748000000,42068000000
15/07/2019,30/03/2019,19549310049,18798310049,0.096933,0.175115,0.16662,3.28,44.7827,21424000000,0.774,0.2062,-0.090147,0.003834,0.275762,-0.0011,-0.072879,0.054024,0.124941,4.34,2.82696E+11,47591000000,3.56189E+11,1.58168E+11,40825000000,19044000000,19044000000,-20380000000,-14748000000,42068000000
12/07/2019,30/03/2019,19549310049,18798310049,0.096933,0.175115,0.16662,3.28,44.7827,21424000000,0.774,0.2062,-0.090147,0.003834,0.275762,-0.0011,-0.072879,0.054024,0.124941,4.34,2.82696E+11,47591000000,3.56189E+11,1.58168E+11,40825000000,19044000000,19044000000,-20380000000,-14748000000,42068000000
11/07/2019,30/03/2019,19549310049,18798310049,0.096933,0.175115,0.16662,3.28,44.7827,21424000000,0.774,0.2062,-0.090147,0.003834,0.275762,-0.0011,-0.072879,0.054024,0.124941,4.34,2.82696E+11,47591000000,3.56189E+11,1.58168E+11,40825000000,19044000000,19044000000,-20380000000,-14748000000,42068000000
10/07/2019,30/03/2019,19549310049,18798310049,0.096933,0.175115,0.16662,3.28,44.7827,21424000000,0.774,0.2062,-0.090147,0.003834,0.275762,-0.0011,-0.072879,0.054024,0.124941,4.34,2.82696E+11,47591000000,3.56189E+11,1.58168E+11,40825000000,19044000000,19044000000,-20380000000,-14748000000,42068000000
09/07/2019,30/03/2019,19549310049,18798310049,0.096933,0.175115,0.16662,3.28,44.7827,21424000000,0.774,0.2062,-0.090147,0.003834,0.275762,-0.0011,-0.072879,0.054024,0.124941,4.34,2.82696E+11,47591000000,3.56189E+11,1.58168E+11,40825000000,19044000000,19044000000,-20380000000,-14748000000,42068000000
08/07/2019,30/03/2019,19549310049,18798310049,0.096933,0.175115,0.16662,3.28,44.7827,21424000000,0.774,0.2062,-0.090147,0.003834,0.275762,-0.0011,-0.072879,0.054024,0.124941,4.34,2.82696E+11,47591000000,3.56189E+11,1.58168E+11,40825000000,19044000000,19044000000,-20380000000,-14748000000,42068000000
05/07/2019,30/03/2019,19549310049,18798310049,0.096933,0.175115,0.16662,3.28,44.7827,21424000000,0.774,0.2062,-0.090147,0.003834,0.275762,-0.0011,-0.072879,0.054024,0.124941,4.34,2.82696E+11,47591000000,3.56189E+11,1.58168E+11,40825000000,19044000000,19044000000,-20380000000,-14748000000,42068000000
04/07/2019,30/03/2019,19549310049,18798310049,0.096933,0.175115,0.16662,3.28,44.7827,21424000000,0.774,0.2062,-0.090147,0.003834,0.275762,-0.0011,-0.072879,0.054024,0.124941,4.34,2.82696E+11,47591000000,3.56189E+11,1.58168E+11,40825000000,19044000000,19044000000,-20380000000,-14748000000,42068000000
03/07/2019,30/03/2019,19549310049,18798310049,0.096933,0.175115,0.16662,3.28,44.7827,21424000000,0.774,0.2062,-0.090147,0.003834,0.275762,-0.0011,-0.072879,0.054024,0.124941,4.34,2.82696E+11,47591000000,3.56189E+11,1.58168E+11,40825000000,19044000000,19044000000,-20380000000,-14748000000,42068000000
02/07/2019,30/03/2019,19549310049,18798310049,0.096933,0.175115,0.16662,3.28,44.7827,21424000000,0.774,0.2062,-0.090147,0.003834,0.275762,-0.0011,-0.072879,0.054024,0.124941,4.34,2.82696E+11,47591000000,3.56189E+11,1.58168E+11,40825000000,19044000000,19044000000,-20380000000,-14748000000,42068000000
01/07/2019,30/03/2019,19549310049,18798310049,0.096933,0.175115,0.16662,3.28,44.7827,21424000000,0.774,0.2062,-0.090147,0.003834,0.275762,-0.0011,-0.072879,0.054024,0.124941,4.34,2.82696E+11,47591000000,3.56189E+11,1.58168E+11,40825000000,19044000000,19044000000,-20380000000,-14748000000,42068000000
28/06/2019,30/03/2019,19549310049,18798310049,0.096933,0.175115,0.16662,3.28,44.7827,21424000000,0.774,0.2062,-0.090147,0.003834,0.275762,-0.0011,-0.072879,0.054024,0.124941,4.34,2.82696E+11,47591000000,3.56189E+11,1.58168E+11,40825000000,19044000000,19044000000,-20380000000,-14748000000,42068000000
27/06/2019,30/03/2019,19549310049,18798310049,0.096933,0.175115,0.16662,3.28,44.7827,21424000000,0.774,0.2062,-0.090147,0.003834,0.275762,-0.0011,-0.072879,0.054024,0.124941,4.34,2.82696E+11,47591000000,3.56189E+11,1.58168E+11,40825000000,19044000000,19044000000,-20380000000,-14748000000,42068000000
26/06/2019,30/03/2019,19549310049,18798310049,0.096933,0.175115,0.16662,3.28,44.7827,21424000000,0.774,0.2062,-0.090147,0.003834,0.275762,-0.0011,-0.072879,0.054024,0.124941,4.34,2.82696E+11,47591000000,3.56189E+11,1.58168E+11,40825000000,19044000000,19044000000,-20380000000,-14748000000,42068000000
