date,one_yr_monthly_beta
31/07/2019,1.2621
30/07/2019,1.2654
29/07/2019,1.2654
26/07/2019,1.2654
25/07/2019,1.2654
24/07/2019,1.2654
23/07/2019,1.2654
22/07/2019,1.2654
19/07/2019,1.2654
18/07/2019,1.2654
17/07/2019,1.2654
16/07/2019,1.2654
15/07/2019,1.2654
12/07/2019,1.2654
11/07/2019,1.2654
10/07/2019,1.2654
09/07/2019,1.2654
08/07/2019,1.2654
05/07/2019,1.2654
04/07/2019,1.2654
03/07/2019,1.2654
02/07/2019,1.2654
01/07/2019,1.2654
28/06/2019,1.2657
27/06/2019,1.2657
26/06/2019,1.2657
25/06/2019,1.2657
24/06/2019,1.2657
21/06/2019,1.2657
20/06/2019,1.2657
19/06/2019,1.2657
18/06/2019,1.2657
17/06/2019,1.2657
14/06/2019,1.2657
13/06/2019,1.2657
12/06/2019,1.2657
11/06/2019,1.2657
10/06/2019,1.2657
07/06/2019,1.2657
06/06/2019,1.2657
05/06/2019,1.2657
04/06/2019,1.2657
03/06/2019,1.2657
31/05/2019,1.2657
30/05/2019,1.1649
29/05/2019,1.1649
28/05/2019,1.1649
27/05/2019,1.1649
24/05/2019,1.1649
23/05/2019,1.1649
22/05/2019,1.1649
21/05/2019,1.1649
20/05/2019,1.1649
17/05/2019,1.1649
16/05/2019,1.1649
15/05/2019,1.1649
14/05/2019,1.1649
13/05/2019,1.1649
10/05/2019,1.1649
09/05/2019,1.1649
08/05/2019,1.1649
07/05/2019,1.1649
06/05/2019,1.1649
03/05/2019,1.1649
02/05/2019,1.1649
01/05/2019,1.1649
30/04/2019,1.1649
29/04/2019,1.2234
26/04/2019,1.2234
25/04/2019,1.2234
24/04/2019,1.2234
23/04/2019,1.2234
22/04/2019,1.2234
19/04/2019,1.2234
18/04/2019,1.2234
17/04/2019,1.2234
16/04/2019,1.2234
15/04/2019,1.2234
12/04/2019,1.2234
11/04/2019,1.2234
10/04/2019,1.2234
09/04/2019,1.2234
08/04/2019,1.2234
05/04/2019,1.2234
04/04/2019,1.2234
03/04/2019,1.2234
02/04/2019,1.2234
01/04/2019,1.2234
29/03/2019,1.365
28/03/2019,1.365
27/03/2019,1.365
26/03/2019,1.365
25/03/2019,1.365
22/03/2019,1.365
21/03/2019,1.365
20/03/2019,1.365
19/03/2019,1.365
18/03/2019,1.365
15/03/2019,1.365
14/03/2019,1.365
13/03/2019,1.365
12/03/2019,1.365
11/03/2019,1.365
08/03/2019,1.365
07/03/2019,1.365
06/03/2019,1.365
05/03/2019,1.365
04/03/2019,1.365
01/03/2019,1.365
28/02/2019,1.365
27/02/2019,1.2519
26/02/2019,1.2519
25/02/2019,1.2519
22/02/2019,1.2519
21/02/2019,1.2519
20/02/2019,1.2519
19/02/2019,1.2519
18/02/2019,1.2519
15/02/2019,1.2519
14/02/2019,1.2519
13/02/2019,1.2519
12/02/2019,1.2519
11/02/2019,1.2519
08/02/2019,1.2519
07/02/2019,1.2519
06/02/2019,1.2519
05/02/2019,1.2519
04/02/2019,1.2519
01/02/2019,1.2519
31/01/2019,1.2519
30/01/2019,1.2901
29/01/2019,1.2901
28/01/2019,1.2901
25/01/2019,1.2901
24/01/2019,1.2901
23/01/2019,1.2901
22/01/2019,1.2901
21/01/2019,1.2901
18/01/2019,1.2901
17/01/2019,1.2901
16/01/2019,1.2901
15/01/2019,1.2901
14/01/2019,1.2901
11/01/2019,1.2901
10/01/2019,1.2901
09/01/2019,1.2901
08/01/2019,1.2901
07/01/2019,1.2901
04/01/2019,1.2901
03/01/2019,1.2901
02/01/2019,1.2901
01/01/2019,1.2901
31/12/2018,1.2901
28/12/2018,1.0501
27/12/2018,1.0501
26/12/2018,1.0501
25/12/2018,1.0501
24/12/2018,1.0501
21/12/2018,1.0501
20/12/2018,1.0501
19/12/2018,1.0501
18/12/2018,1.0501
17/12/2018,1.0501
14/12/2018,1.0501
13/12/2018,1.0501
12/12/2018,1.0501
11/12/2018,1.0501
10/12/2018,1.0501
07/12/2018,1.0501
06/12/2018,1.0501
05/12/2018,1.0501
04/12/2018,1.0501
03/12/2018,1.0501
30/11/2018,1.0501
29/11/2018,1.0542
28/11/2018,1.0542
27/11/2018,1.0542
26/11/2018,1.0542
23/11/2018,1.0542
22/11/2018,1.0542
21/11/2018,1.0542
20/11/2018,1.0542
19/11/2018,1.0542
16/11/2018,1.0542
15/11/2018,1.0542
14/11/2018,1.0542
13/11/2018,1.0542
12/11/2018,1.0542
09/11/2018,1.0542
08/11/2018,1.0542
07/11/2018,1.0542
06/11/2018,1.0542
05/11/2018,1.0542
02/11/2018,1.0542
01/11/2018,1.0542
31/10/2018,1.0542
30/10/2018,1.2076
29/10/2018,1.2076
26/10/2018,1.2076
25/10/2018,1.2076
24/10/2018,1.2076
23/10/2018,1.2076
22/10/2018,1.2076
19/10/2018,1.2076
18/10/2018,1.2076
17/10/2018,1.2076
16/10/2018,1.2076
15/10/2018,1.2076
12/10/2018,1.2076
11/10/2018,1.2076
10/10/2018,1.2076
09/10/2018,1.2076
08/10/2018,1.2076
05/10/2018,1.2076
04/10/2018,1.2076
03/10/2018,1.2076
02/10/2018,1.2076
01/10/2018,1.2076
28/09/2018,1.3369
27/09/2018,1.3369
26/09/2018,1.3369
25/09/2018,1.3369
24/09/2018,1.3369
21/09/2018,1.3369
20/09/2018,1.3369
19/09/2018,1.3369
18/09/2018,1.3369
17/09/2018,1.3369
14/09/2018,1.3369
13/09/2018,1.3369
12/09/2018,1.3369
11/09/2018,1.3369
10/09/2018,1.3369
07/09/2018,1.3369
06/09/2018,1.3369
05/09/2018,1.3369
04/09/2018,1.3369
03/09/2018,1.3369
31/08/2018,1.3369
30/08/2018,1.4019
29/08/2018,1.4019
28/08/2018,1.4019
27/08/2018,1.4019
24/08/2018,1.4019
23/08/2018,1.4019
22/08/2018,1.4019
21/08/2018,1.4019
20/08/2018,1.4019
17/08/2018,1.4019
16/08/2018,1.4019
15/08/2018,1.4019
14/08/2018,1.4019
13/08/2018,1.4019
10/08/2018,1.4019
09/08/2018,1.4019
08/08/2018,1.4019
07/08/2018,1.4019
06/08/2018,1.4019
03/08/2018,1.4019
02/08/2018,1.4019
01/08/2018,1.4019
31/07/2018,1.4019
30/07/2018,1.6092
27/07/2018,1.6092
26/07/2018,1.6092
25/07/2018,1.6092
24/07/2018,1.6092
23/07/2018,1.6092
20/07/2018,1.6092
19/07/2018,1.6092
18/07/2018,1.6092
17/07/2018,1.6092
16/07/2018,1.6092
13/07/2018,1.6092
12/07/2018,1.6092
11/07/2018,1.6092
10/07/2018,1.6092
09/07/2018,1.6092
06/07/2018,1.6092
05/07/2018,1.6092
04/07/2018,1.6092
03/07/2018,1.6092
02/07/2018,1.6092
29/06/2018,1.6213
28/06/2018,1.6213
27/06/2018,1.6213
26/06/2018,1.6213
25/06/2018,1.6213
22/06/2018,1.6213
21/06/2018,1.6213
20/06/2018,1.6213
19/06/2018,1.6213
18/06/2018,1.6213
15/06/2018,1.6213
14/06/2018,1.6213
13/06/2018,1.6213
12/06/2018,1.6213
11/06/2018,1.6213
08/06/2018,1.6213
07/06/2018,1.6213
06/06/2018,1.6213
05/06/2018,1.6213
04/06/2018,1.6213
01/06/2018,1.6213
31/05/2018,1.6213
30/05/2018,1.553
29/05/2018,1.553
28/05/2018,1.553
25/05/2018,1.553
24/05/2018,1.553
23/05/2018,1.553
22/05/2018,1.553
21/05/2018,1.553
18/05/2018,1.553
17/05/2018,1.553
16/05/2018,1.553
15/05/2018,1.553
14/05/2018,1.553
11/05/2018,1.553
10/05/2018,1.553
09/05/2018,1.553
08/05/2018,1.553
07/05/2018,1.553
04/05/2018,1.553
03/05/2018,1.553
02/05/2018,1.553
01/05/2018,1.553
30/04/2018,1.553
27/04/2018,1.5707
26/04/2018,1.5707
25/04/2018,1.5707
24/04/2018,1.5707
23/04/2018,1.5707
20/04/2018,1.5707
19/04/2018,1.5707
18/04/2018,1.5707
