date,date,marketcap,pricetobook,pricetoearnings,dividendyield,earningsyield
2019-08-07,2019-08-07,301105500000.0,1.5734,16.9924,0.058865,0.05885
2019-08-06,2019-08-06,303070160000.0,1.5836,17.1033,0.058484,0.058468
2019-08-05,2019-08-05,300165880000.0,1.5685,16.9394,0.05905,0.059034
2019-08-02,2019-08-02,306444250000.0,1.6013,17.2937,0.05784,0.057825
2019-08-01,2019-08-01,309476660000.0,1.6171,17.4648,0.057273,0.057258
2019-07-31,2019-07-31,317591560000.0,1.6595,17.9228,0.05581,0.055795
2019-07-30,2019-07-30,321744500000.0,1.6826,17.3541,0.055076,0.057623
2019-07-29,2019-07-29,321701800000.0,1.6823,17.3518,0.055084,0.057631
2019-07-26,2019-07-26,319438700000.0,1.6705,17.2297,0.055474,0.058039
2019-07-25,2019-07-25,319951100000.0,1.6732,17.2573,0.055385,0.057946
2019-07-24,2019-07-24,321787200000.0,1.6828,17.3564,0.055069,0.057616
2019-07-23,2019-07-23,321829900000.0,1.683,17.3587,0.055062,0.057608
2019-07-22,2019-07-22,320548900000.0,1.6763,17.2896,0.055282,0.057838
2019-07-19,2019-07-19,320207300000.0,1.6745,17.2712,0.055341,0.0579
2019-07-18,2019-07-18,319566800000.0,1.6712,17.2366,0.055452,0.058016
2019-07-17,2019-07-17,322299600000.0,1.6855,17.384,0.054981,0.057524
2019-07-16,2019-07-16,324221100000.0,1.6955,17.4877,0.054656,0.057183
2019-07-15,2019-07-15,329131600000.0,1.7212,17.7525,0.05384,0.05633
2019-07-12,2019-07-12,331480100000.0,1.7335,17.8792,0.053459,0.055931
2019-07-11,2019-07-11,331223900000.0,1.7321,17.8654,0.0535,0.055974
2019-07-10,2019-07-10,330967700000.0,1.7308,17.8515,0.053541,0.056018
2019-07-09,2019-07-09,326356100000.0,1.7067,17.6028,0.054298,0.056809
2019-07-08,2019-07-08,326569600000.0,1.7078,17.6143,0.054263,0.056772
2019-07-05,2019-07-05,325075100000.0,1.7,17.5337,0.054512,0.057033
2019-07-03,2019-07-03,326398800000.0,1.7069,17.6051,0.054291,0.056802
2019-07-02,2019-07-02,323324400000.0,1.6908,17.4393,0.054807,0.057342
2019-07-01,2019-07-01,326911200000.0,1.7096,17.6328,0.054206,0.056713
2019-06-28,2019-06-28,327210100000.0,1.7112,17.6489,0.054156,0.056661
2019-06-27,2019-06-27,323751400000.0,1.6931,17.4623,0.054735,0.057266
2019-06-26,2019-06-26,327082000000.0,1.7105,17.642,0.054178,0.056683
2019-06-25,2019-06-25,325672900000.0,1.7031,17.566,0.054412,0.056928
2019-06-24,2019-06-24,328576500000.0,1.7183,17.7226,0.053931,0.056425
2019-06-21,2019-06-21,331736300000.0,1.7348,17.893,0.053417,0.055888
2019-06-20,2019-06-20,327124700000.0,1.7107,17.6443,0.05417,0.056676
2019-06-19,2019-06-19,321616400000.0,1.6819,17.3472,0.055098,0.057646
2019-06-18,2019-06-18,323409800000.0,1.6913,17.4439,0.054793,0.057327
2019-06-17,2019-06-17,320634300000.0,1.6768,17.2942,0.055267,0.057823
2019-06-14,2019-06-14,317474500000.0,1.6602,17.1238,0.055817,0.058398
2019-06-13,2019-06-13,318883600000.0,1.6676,17.1998,0.05557,0.05814
2019-06-12,2019-06-12,316108100000.0,1.6531,17.0501,0.056058,0.058651
2019-06-11,2019-06-11,319566800000.0,1.6712,17.2366,0.055452,0.058016
2019-06-10,2019-06-10,319865700000.0,1.6727,17.2527,0.0554,0.057962
2019-06-07,2019-06-07,318456600000.0,1.6654,17.1767,0.055645,0.058218
2019-06-06,2019-06-06,317303700000.0,1.6593,17.1145,0.055847,0.05843
2019-06-05,2019-06-05,311624600000.0,1.6296,16.8082,0.056865,0.059495
2019-06-04,2019-06-04,314229300000.0,1.6433,16.9487,0.056394,0.059001
2019-06-03,2019-06-03,306927600000.0,1.6051,16.5549,0.057735,0.060405
2019-05-31,2019-05-31,302187900000.0,1.5803,16.2992,0.058641,0.061353
2019-05-30,2019-05-30,307311900000.0,1.6071,16.5756,0.057663,0.06033
2019-05-29,2019-05-29,308123200000.0,1.6113,16.6194,0.057511,0.060171
