,date,value
0,2019-07-31,1.2621
1,2019-06-30,1.2654
2,2019-05-31,1.2657
3,2019-04-30,1.1649
4,2019-03-31,1.2234
5,2019-02-28,1.365
6,2019-01-31,1.2519
7,2018-12-31,1.2901
8,2018-11-30,1.0501
9,2018-10-31,1.0542
10,2018-09-30,1.2076
11,2018-08-31,1.3369
12,2018-07-31,1.4019
13,2018-06-30,1.6092
14,2018-05-31,1.6213
15,2018-04-30,1.553
16,2018-03-31,1.5707
17,2018-02-28,1.6061
18,2018-01-31,0.7295
19,2017-12-31,0.2565
20,2017-11-30,0.8593
21,2017-10-31,1.1552
22,2017-09-30,1.0407
23,2017-08-31,0.7992
24,2017-07-31,0.2515
25,2017-06-30,0.0415
26,2017-05-31,0.0781
27,2017-04-30,-0.0893
28,2017-03-31,0.3047
29,2017-02-28,0.194
30,2017-01-31,0.2808
31,2016-12-31,0.5046
32,2016-11-30,0.4856
33,2016-10-31,0.7916
34,2016-09-30,0.7172
35,2016-08-31,0.7495
36,2016-07-31,0.6864
37,2016-06-30,0.8584
38,2016-05-31,0.8408
39,2016-04-30,0.8489
40,2016-03-31,0.8684
41,2016-02-29,0.8301
42,2016-01-31,0.8754
43,2015-12-31,1.0154
44,2015-11-30,0.8908
45,2015-10-31,0.9157
46,2015-09-30,0.5138
47,2015-08-31,0.6012
48,2015-07-31,0.6865
49,2015-06-30,0.7817
50,2015-05-31,0.7951
51,2015-04-30,0.7752
52,2015-03-31,0.77
53,2015-02-28,0.8523
54,2015-01-31,1.2498
