,adj_close,adj_high,adj_low,adj_open,adj_volume,close,date,frequency,high,intraperiod,low,open,volume
0,70.5,70.875,69.4,69.86,14968499.0,70.5,2019-08-07,daily,70.875,False,69.4,69.86,15231052.0
1,70.96,71.01,70.28,70.29,12282362.0,70.96,2019-08-06,daily,71.01,False,70.28,70.29,12282362.0
2,70.28,70.92,69.61,70.78,19080930.0,70.28,2019-08-05,daily,70.92,False,69.61,70.78,19080930.0
3,71.75,73.26,71.18,72.61,21376742.0,71.75,2019-08-02,daily,73.26,False,71.18,72.61,21376742.0
4,72.46,74.2684,72.265,73.74,17132815.0,72.46,2019-08-01,daily,74.2684,False,72.265,73.74,17132815.0
5,74.36,75.66,74.26,75.04,13104592.0,74.36,2019-07-31,daily,75.66,False,74.26,75.04,13104592.0
6,75.35,75.555,74.89,75.06,6961197.0,75.35,2019-07-30,daily,75.555,False,74.89,75.06,6961197.0
7,75.34,75.38,74.7,74.88,7091889.0,75.34,2019-07-29,daily,75.38,False,74.7,74.88,7091889.0
8,74.81,75.08,74.6,74.87,7677427.0,74.81,2019-07-26,daily,75.08,False,74.6,74.87,7677427.0
9,74.93,75.78,74.8,75.78,9083914.0,74.93,2019-07-25,daily,75.78,False,74.8,75.78,9083914.0
10,75.36,76.05,74.85,75.39,8260245.0,75.36,2019-07-24,daily,76.05,False,74.85,75.39,8260245.0
11,75.37,75.77,74.75,75.15,8551205.0,75.37,2019-07-23,daily,75.77,False,74.75,75.15,8551205.0
12,75.07,75.3,74.5,75.24,8370141.0,75.07,2019-07-22,daily,75.3,False,74.5,75.24,8370141.0
13,74.99,75.25,74.535,74.9,11243310.0,74.99,2019-07-19,daily,75.25,False,74.535,74.9,11243310.0
14,74.84,75.27,74.18,75.03,11425663.0,74.84,2019-07-18,daily,75.27,False,74.18,75.03,11425663.0
15,75.48,75.96,75.35,75.74,7419314.0,75.48,2019-07-17,daily,75.96,False,75.35,75.74,7419314.0
16,75.93,77.07,75.79,76.92,10197358.0,75.93,2019-07-16,daily,77.07,False,75.79,76.92,10197358.0
17,77.08,77.74,76.89,77.63,7116356.0,77.08,2019-07-15,daily,77.74,False,76.89,77.63,7116356.0
18,77.63,77.8799,77.5,77.75,6139299.0,77.63,2019-07-12,daily,77.8799,False,77.5,77.75,6139299.0
19,77.57,77.61,77.05,77.41,6404194.0,77.57,2019-07-11,daily,77.61,False,77.05,77.41,6404194.0
20,77.51,77.63,76.74,76.8,8077369.0,77.51,2019-07-10,daily,77.63,False,76.74,76.8,8077369.0
21,76.43,76.77,75.73,76.45,7863026.0,76.43,2019-07-09,daily,76.77,False,75.73,76.45,7863026.0
22,76.48,76.7,75.915,76.14,7876097.0,76.48,2019-07-08,daily,76.7,False,75.915,76.14,7876097.0
23,76.13,76.35,75.59,76.19,6881115.0,76.13,2019-07-05,daily,76.35,False,75.59,76.19,6881115.0
24,76.44,76.5,75.625,75.82,5246096.0,76.44,2019-07-03,daily,76.5,False,75.625,75.82,5246096.0
25,75.72,76.27,75.41,76.14,10475419.0,75.72,2019-07-02,daily,76.27,False,75.41,76.14,10475419.0
26,76.56,77.925,76.29,77.13,11453769.0,76.56,2019-07-01,daily,77.925,False,76.29,77.13,11453769.0
27,76.63,76.73,75.9407,76.19,14781298.0,76.63,2019-06-28,daily,76.73,False,75.9407,76.19,14781298.0
28,75.82,76.75,75.76,76.59,8147803.0,75.82,2019-06-27,daily,76.75,False,75.76,76.59,8147803.0
29,76.6,77.13,76.47,76.68,11365476.0,76.6,2019-06-26,daily,77.13,False,76.47,76.68,11365476.0
30,76.27,77.22,76.19,77.08,9739970.0,76.27,2019-06-25,daily,77.22,False,76.19,77.08,9739970.0
31,76.95,77.76,76.81,77.53,10012236.0,76.95,2019-06-24,daily,77.76,False,76.81,77.53,10012236.0
32,77.69,77.76,76.87,77.14,23108130.0,77.69,2019-06-21,daily,77.76,False,76.87,77.14,23108130.0
33,76.61,76.975,76.08,76.24,16229715.0,76.61,2019-06-20,daily,76.975,False,76.08,76.24,16229715.0
34,75.32,75.853,75.1735,75.4,9757390.0,75.32,2019-06-19,daily,75.853,False,75.1735,75.4,9757390.0
35,75.74,76.22,75.35,75.42,10091483.0,75.74,2019-06-18,daily,76.22,False,75.35,75.42,10091483.0
36,75.09,75.19,74.04,74.16,9355715.0,75.09,2019-06-17,daily,75.19,False,74.04,74.16,9355715.0
37,74.35,74.81,74.23,74.68,8575907.0,74.35,2019-06-14,daily,74.81,False,74.23,74.68,8575907.0
38,74.68,75.17,74.38,74.7,8986427.0,74.68,2019-06-13,daily,75.17,False,74.38,74.7,8986427.0
39,74.03,74.61,73.81,74.48,7921018.0,74.03,2019-06-12,daily,74.61,False,73.81,74.48,7921018.0
40,74.84,75.81,74.82,75.51,9415134.0,74.84,2019-06-11,daily,75.81,False,74.82,75.51,9415134.0
41,74.91,75.33,74.45,75.19,7760402.0,74.91,2019-06-10,daily,75.33,False,74.45,75.19,7760402.0
42,74.58,74.9632,74.43,74.51,9095481.0,74.58,2019-06-07,daily,74.9632,False,74.43,74.51,9095481.0
43,74.31,74.6155,73.59,73.71,11738903.0,74.31,2019-06-06,daily,74.6155,False,73.59,73.71,11738903.0
44,72.98,73.64,72.585,73.64,10617831.0,72.98,2019-06-05,daily,73.64,False,72.585,73.64,10617831.0
45,73.59,73.66,72.17,72.45,10423019.0,73.59,2019-06-04,daily,73.66,False,72.17,72.45,10423019.0
46,71.88,72.01,70.9659,71.09,11831255.0,71.88,2019-06-03,daily,72.01,False,70.9659,71.09,11831255.0
47,70.77,71.55,70.63,71.19,13983305.0,70.77,2019-05-31,daily,71.55,False,70.63,71.19,13983305.0
48,71.97,72.13,71.53,72.02,9362146.0,71.97,2019-05-30,daily,72.13,False,71.53,72.02,9362146.0
49,72.16,72.43,71.62,71.89,13645182.0,72.16,2019-05-29,daily,72.43,False,71.62,71.89,13645182.0
50,72.61,74.25,72.485,74.24,14912925.0,72.61,2019-05-28,daily,74.25,False,72.485,74.24,14912925.0
51,74.1,74.25,73.44,74.14,7056566.0,74.1,2019-05-24,daily,74.25,False,73.44,74.14,7056566.0
52,73.79,74.8,73.04,74.77,14657221.0,73.79,2019-05-23,daily,74.8,False,73.04,74.77,14657221.0
53,75.56,76.22,75.385,76.02,7858317.0,75.56,2019-05-22,daily,76.22,False,75.385,76.02,7858317.0
54,76.25,76.46,75.93,76.27,8490107.0,76.25,2019-05-21,daily,76.46,False,75.93,76.27,8490107.0
55,75.9,76.36,75.67,76.05,7154620.0,75.9,2019-05-20,daily,76.36,False,75.67,76.05,7154620.0
56,75.91,76.3,75.59,75.65,9279383.0,75.91,2019-05-17,daily,76.3,False,75.59,75.65,9279383.0
57,76.36,76.95,76.22,76.4,8105630.0,76.36,2019-05-16,daily,76.95,False,76.22,76.4,8105630.0
58,76.37,76.55,75.21,75.57,8918004.0,76.37,2019-05-15,daily,76.55,False,75.21,75.57,8918004.0
59,75.81,76.8,75.76,76.13,10548424.0,75.81,2019-05-14,daily,76.8,False,75.76,76.13,10548424.0
60,75.71,76.23,75.36,75.65,12176298.0,75.71,2019-05-13,daily,76.23,False,75.36,75.65,12176298.0
61,76.56,76.79,75.17,76.18,11055957.0,76.56,2019-05-10,daily,76.79,False,75.17,76.18,11055957.0
62,75.9,76.0087534193044,75.0991793669402,75.4847596717468,13221649.0,76.77,2019-05-09,daily,76.88,False,75.96,76.35,13221649.0
63,75.9692067213756,76.4141070730754,75.5539663931223,75.672606486909,11352859.0,76.84,2019-05-08,daily,77.29,False,76.42,76.54,11352859.0
64,75.8505666275889,75.9197733489645,74.9084654161782,75.6330597889801,13498822.0,76.72,2019-05-07,daily,76.79,False,75.7671,76.5,13498822.0
65,76.2559202813599,76.7799140289176,75.8406799531067,76.0483001172333,13367124.0,77.13,2019-05-06,daily,77.66,False,76.71,76.92,13367124.0
66,76.5920672137554,77.3236811254396,76.5624071903087,76.9084407971864,12180737.0,77.47,2019-05-03,daily,78.21,False,77.44,77.79,12180737.0
67,76.4141070730754,77.610394685424,76.3646737006643,77.3928878468152,15360385.0,77.29,2019-05-02,daily,78.5,False,77.24,78.28,15360385.0
68,77.7784681516218,79.3504493942947,77.7290347792107,79.0340758108636,13909751.0,78.67,2019-05-01,daily,80.26,False,78.62,79.94,13909751.0
69,79.3702227432591,79.6124462680735,79.0241891363814,79.4592028135991,13721521.0,80.28,2019-04-30,daily,80.525,False,79.93,80.37,13721521.0
70,79.0637358343103,79.4690894880813,78.7572489253615,79.2120359515436,10023667.0,79.97,2019-04-29,daily,80.38,False,79.66,80.12,10023667.0
71,79.5778429073857,79.7162563501368,78.6583821805393,79.3603360687769,18053468.0,80.49,2019-04-26,daily,80.63,False,79.56,80.27,18053468.0
72,81.2882375928097,81.9012114107073,80.4775302852677,80.7246971473232,11135004.0,82.22,2019-04-25,daily,82.84,False,81.4,81.65,11135004.0
