publication_date,compound,headline,neg,neu,pos,label
2015-04-08 20:21:06,0.0,Analysis - Shell's BG purchase could be catalyst needed for U.S. shale deals,0.0,1.0,0.0,0
2015-04-17 21:57:33,0.296,Exclusive - Anadarko considers selling Mozambique gas assets to Exxon,0.0,0.686,0.314,1
2015-07-31 23:12:49,0.0772,"Tumbling oil prices slam profit at Exxon Mobil, Chevron",0.208,0.56,0.232,0
2015-10-30 18:15:02,0.2382,Exxon 3rd-qtr profit falls 47 pct but beats expectations,0.0,0.804,0.196,1
2016-02-02 20:20:41,0.5106,"Exxon, tops in stock buybacks, now saving its cash",0.0,0.708,0.292,1
2016-02-07 08:14:33,-0.6249,"As Big Oil shrinks, boards plot different paths out of crisis",0.291,0.709,0.0,-1
2016-03-23 21:32:04,0.34,Exclusive - Exxon Mobil must allow climate change vote: SEC,0.0,0.673,0.327,1
2016-04-29 12:09:44,0.4404,Exxon Mobil first-quarter profit drops 63 percent,0.0,0.674,0.326,1
2016-06-23 16:07:44,-0.34,California pipeline leaks 700 barrels of oil - fire department,0.231,0.769,0.0,-1
2016-06-23 18:34:49,0.2732,Aera Energy says it was not owner of spilled California oil,0.0,0.826,0.174,1
2016-06-24 12:49:56,-0.2732,Netherlands to cut more Groningen gas production,0.259,0.741,0.0,-1
2016-06-24 13:05:21,-0.296,Dutch lower Groningen gas production cap to 24 bcm,0.216,0.784,0.0,-1
2016-06-27 14:11:32,-0.128,Engie says would have to shut output at Norway's Gjoea field if strike goes ahead,0.097,0.903,0.0,-1
2016-06-29 11:32:02,-0.5719,Indonesia's Pertamina to appoint Shell to process Iraq crude -official,0.291,0.709,0.0,-1
2016-06-29 12:11:49,-0.5719,Indonesia's Pertamina picks Shell to process Iraqi crude -official,0.316,0.684,0.0,-1
2016-06-30 00:02:37,0.4404,Exxon Mobil wins a round in climate litigation,0.171,0.476,0.352,1
2016-07-01 10:50:13,-0.1027,Exclusive: BP-Exxon impasse blocks renewal of giant Azeri oil deal - sources,0.153,0.726,0.121,-1
2016-07-02 01:54:42,-0.0516,"Norway oil workers agree wage deal, avoid strike",0.33,0.446,0.223,0
2016-07-07 01:08:41,-0.4767,The oil industry is losing the burn of Asian demand,0.339,0.661,0.0,-1
2016-07-07 09:53:06,-0.2263,"Norway labour union warns of oil service strike, may hit output",0.244,0.756,0.0,-1
2016-07-07 11:03:46,-0.2263,"Norway union warns of oil service strike, may hit output",0.266,0.734,0.0,-1
2016-07-12 15:01:35,-0.4767,Exxon refutes Nigeria oil militants' pipeline attack claim,0.307,0.693,0.0,-1
2016-07-13 17:59:22,-0.4939,NY attorney general rejects GOP lawmaker's request on Exxon,0.286,0.714,0.0,-1
2016-07-14 00:14:48,0.0,"House GOP subpoenas NY, Mass. AGs on climate change probe",0.0,1.0,0.0,0
2016-07-18 02:54:11,0.0,Oil Search mulls revised bid for InterOil,0.0,1.0,0.0,0
2016-07-18 03:18:02,0.5423,InterOil Board of Directors Determines Unsolicited ExxonMobil Proposal Constitutes a Superior Proposal to Oil Search Transaction,0.0,0.8,0.2,1
2016-07-18 03:23:37,-0.5994,ExxonMobil launches bidding war for InterOil in PNG gas push,0.302,0.698,0.0,-1
2016-07-18 07:49:57,0.0772,Oil Search faces challenge over InterOil,0.0,0.794,0.206,0
2016-07-20 08:39:35,-0.3818,Total seen unlikely to fight ExxonMobil over South Pacific gas,0.224,0.776,0.0,-1
2016-07-20 18:33:00,0.3182,"ExxonMobil to Expand Specialty Elastomers Capacity at Newport, Wales Plant",0.0,0.796,0.204,1
2016-07-21 00:37:08,-0.0516,Oil Search backs down from InterOil bid,0.167,0.833,0.0,0
2016-07-21 05:28:26,0.0,Oil Search drops InterOil bid after ExxonMobil offer,0.0,1.0,0.0,0
2016-07-21 07:27:46,0.0,Oil Search steps away from InterOil bid,0.0,1.0,0.0,0
2016-07-21 16:10:00,0.2263,ExxonMobil to Acquire InterOil in Transaction Worth More Than $2.5 Billion,0.0,0.84,0.16,1
2016-07-21 18:56:05,0.0,Exxon Mobil to buy InterOil for $2.5 billion,0.0,1.0,0.0,0
2016-07-21 21:42:13,0.0,Exxon Mobil to buy InterOil for $US2.5b,0.0,1.0,0.0,0
2016-07-25 13:18:06,0.0,ExxonMobil to Release Second Quarter 2016 Financial Results,0.0,1.0,0.0,0
2016-07-25 17:58:05,0.0,SABIC and ExxonMobil Evaluating Petrochemical Joint Venture on U.S. Gulf Coast,0.0,1.0,0.0,0
2016-07-26 07:48:02,0.0,ExxonMobil Acquisition of InterOil Presentation,0.0,1.0,0.0,0
2016-07-26 14:18:07,0.3182,ExxonMobil to Expand Ultra-Low Sulfur Fuels Production at Beaumont Refinery,0.0,0.796,0.204,1
2016-07-26 20:18:09,-0.296,2 attorneys general refuse subpoenas on climate change probe,0.239,0.761,0.0,-1
2016-07-27 11:04:15,0.4019,"Cyprus says Statoil, Exxon, ENI, Total interested in offshore gas",0.0,0.769,0.231,1
